taxon,glottocode,isocode,xd_ids,soc_ids
Abui,abui1241,abz,
Adang,adan1251,adn,
Blagar,blag1240,beu,
Kaera,kaer1234,jka,
Kamang,kama1365,woi,
Klon,kelo1247,kyo,
Kui,kuii1253,kvd,
Nedebang,nede1245,nec,
Sawila,saw1256,swt,
Teiwa,teiw1235,twe,
Wersing,wers1238,kvw,
WesternPantar,lamm1241,lev,
