taxon,glottocode,xd_ids,soc_ids
E_Po1,poko1261,xd102,Ad33
E_Gi1,giry1241,xd101,Ad32
E_Cho,chon1287,,
E_Rab,raba1248,,
E_Di1,digo1243,xd99,Ad30
E_Seg,sege1246,,
E_Daw,tait1250,xd106,Ad37
E_Sag,saga1256,,
F_Suk,suku1261,xd90,Ad22
F_Nya,nyam1276,xd88,Ad20
F_Sum,sumb1240,xd117,Ad47
F_Nyi,nila1242,,
G_Gog,gogo1263,xd92,Ad24
G_Kag,kagu1239,xd121,Ad50
G_Tav,tave1240,,
G_Cas,asut1235,xd105,Ad36
G_Par,,,
G_Sha,sham1280,xd77,Ad10
G_Bon,bond1247,,
G_Zig,zigu1244,,
G_Ngw,kwer1261,xd95,Ad27
G_Doe,doee1238,,
G_Zar,zara1247,,
G_Ngu,ngul1246,xd122,Ad51
G_Lug,lugu1238,xd81,"Ad14, SCCS10"
G_Kam,kami1256,,
G_Kut,kutu1263,,
G_Elw,ilwa1237,,
G_Had,,,
G_Mii,chim1312,,
G_Pem,pemb1239,xd97,Ad29
G_Vum,,,
G_Tik,baju1245,xd76,Ad1
G_Sw1,swah1253,,
G_Nga,ngaz1238,,
G_Mao,maor1244,,
G_Nju,ndzw1235,,
G_Mwl,mwal1237,,
G_Kin,nucl1379,,
H_Be2,beem1239,,
H_Vi1,vili1238,,
H_Su3,suun1239,,
H_Yo1,yomb1244,xd74,Ac8
H_Yo2,yomb1244,xd74,Ac8
H_Kun,kuny1238,,
H_Su4,suun1239,,
H_Snd,sond1250,xd54,Ac29
H_Man,,,
H_Mbo,,,
H_Laa,laar1238,,
H_Lar,laar1238,,
H_Nta,koon1244,xd42,Ac18
H_Sik,sans1272,xd38,Ac14
H_Su5,suun1239,,
H_Han,ghaa1238,,
H_Zoo,koon1244,xd42,Ac18
H_Kam,kaam1238,,
H_Kim,kimb1241,,
H_Sng,nson1238,,
H_Ya1,yaka1269,xd45,Ac20
H_Suk,suku1259,xd41,"Ac17, SCCS6"
H_Hu1,hung1278,,
J_Reg,kara1481,xd107,Ad38
J_Yaa,yaka1269,xd45,Ac20
J_Nyo,nyor1246,xd87,Ad2
J_Him,,,
J_Gan,gand1255,xd124,"Ad7, SCCS12"
J_Sog,soga1242,xd116,Ad46
J_Gwe,gwer1238,,
J_Tal,tali1258,,
J_Hay,haya1250,xd112,Ad42
J_Zib,,,
J_Zin,zinz1238,xd119,Ad49
J_Ker,kere1283,xd113,Ad43
J_Jit,jita1239,,
J_Kwa,kway1241,,
J_Kis,kisa1263,,
J_Mar,,,
J_Buk,buku1249,xd111,Ad41
J_Isu,idak1243,xd110,Ad40
J_Sam,saam1283,,
J_Nan,nand1264,,
J_Shu,,,
J_Swa,,,
J_Yir,,,
