taxon,glottocode,xd_ids,soc_ids
bell1263,bell1263,xd1083,"B283, Nb23"
hais1244,hais1244,xd1105,"B287, Nb8"
kwak1269,kwak1269,xd1090,"B288, Nb3"
maka1318,maka1318,xd1084,"B286, Nb24"
nuuc1236,nuuc1236,xd1070,"B273, Nb11"
