id,related
Nc2,Binford: Tubatulabal [B152]; WNAI: Tubatulabal [WNAI78]
Nc20,Binford: Wappo [B172]; WNAI: Wappo Yukian [WNAI66]
Ad42,
Nc21,Binford: Lake Miwok [B170]
Nc22,Binford: Patwin [B155]; WNAI: Patwin Wintun [WNAI67]
Nc23,Binford: Monache [B157]; WNAI: Kings River Mono (Uto-Aztecan) [WNAI72]
Nc24,Binford: Lake Yokuts [B148]; SCCS: Yokuts (Lake) [SCCS136]; WNAI: Lake Yokuts [WNAI76]; WNAI: Yauelmani Yokuts [WNAI77]
Nc25,Binford: Wukchumi [B151]; WNAI: Kaweah Yokuts [WNAI75]
Nc26,Binford: Salinan [B164]; WNAI: Salinan [WNAI80]
Nc27,Binford: Kawaiisu Shoshoni [B199]; WNAI: Kawaiisu [WNAI79]
Nc28,Binford: Chumash [B161]
Nc29,Binford: Gabrieleno [B156]; WNAI: Gabrielino [WNAI81]
Nc3,Binford: Yokuts (northern foothill) [B154]; WNAI: Chuckchansi Yokuts [WNAI73]
Ad43,
Nc30,Binford: Serrano [B149]; WNAI: Serrano [WNAI84]
Nc31,Binford: Cahuilla [B144]; WNAI: Desert Cahuilla [WNAI85]
Nc32,Binford: Cupeno [B145]; WNAI: Cupeno [WNAI83]
Nc33,Binford: Luiseno [B150]; WNAI: Luiseno [WNAI82]
Nc34,Binford: Kiliwa [B146]; WNAI: Kaliwa (Hokan) [WNAI91]
Nc4,Binford: Atsugewi [B183]; WNAI: Atsugewei [WNAI53]
Nc5,Binford: Sierra Miwok [B175]; WNAI: Central Miwok [WNAI69]
Nc6,Binford: Diegueno [B147]; WNAI: Western Diegueno [WNAI89]; WNAI: Desert Diegueno [WNAI90]
Nc7,Binford: Yuki [B171]; WNAI: Yuki [WNAI61]
Nc8,Binford: Klamath [B189]; SCCS: Klamath [SCCS138]; WNAI: Klamath [WNAI112]
Ad44,
Nc9,Binford: Modoc [B188]; WNAI: Modoc [WNAI113]
Nd1,Binford: Tenino [B315]; WNAI: Tenino [WNAI111]
Nd10,Binford: Thompson [B325]; WNAI: Upper Thompson [WNAI98]
Nd11,Binford: Shuswap [B333]; WNAI: Shuswap [WNAI96]
Nd12,Binford: Flathead [B330]; WNAI: Flathead [WNAI105]
Nd13,Binford: Kalispel [B326]; WNAI: Kalispel [WNAI104]
Nd14,Binford: Coeur d'Alene [B320]; WNAI: Coeur d’Alene [WNAI103]
Nd15,Binford: Sinkaietk [B321]
Nd16,Binford: Wenatchi [B317]; WNAI: Wenatchi [WNAI102]
Nd17,Binford: Yakima [B318]
Ad45,
Nd18,Binford: Wishram [B319]; WNAI: Wishram [WNAI110]
Nd19,Binford: Umatilla [B316]; WNAI: Umatilla [WNAI108]
Nd2,Binford: Southern Ute (Wimonantci Ute) [B222]; WNAI: Wimonuch Ute (Shoshonean) [WNAI131]
Nd20,Binford: Nez Perce [B324]; WNAI: Nez Perce [WNAI107]
Nd21,
Nd22,Binford: Wadadokado Paiute [B231]; SCCS: Paiute (Northern) [SCCS137]; WNAI: Wada-Dokado Northern Paiute [WNAI114]
Nd23,
Nd24,Binford: Kidutokado (Surprise Valley Paiute) [B226]; WNAI: Kidu-Dokado Northern Paiute [WNAI115]
Nd25,
Ad46,
Nd27,Binford: Kuyuidokado (Pyramid Lake Paiute) [B208]; WNAI: Kuyui-Dokado Northern Paiute [WNAI116]
Nd28,Binford: Cattail Paiute [B210]
Nd29,Binford: Deep Springs Paiute [B206]; Binford: Fish Lake Paiute [B211]
Nd3,SCCS: Havasupai [SCCS150]; WNAI: Havasupai [WNAI136]
Nd30,Binford: Owens Valley Paiute (Eastern Mono) [B202]; WNAI: Owens Valley Northern Paiute [WNAI117]
Nd31,Binford: Koso Mountain Shoshoni [B197]
Nd32,Binford: Death Valley Shoshoni [B192]; Binford: Panamint Shoshoni [B195]; Binford: Saline Valley Shoshoni [B200]; WNAI: Panamint Shoshone [WNAI118]
Nd33,
Nd34,
Nd35,Binford: Reese River Shoshoni [B218]; WNAI: Reese River Shoshone [WNAI120]
Ad47,
Nd36,Binford: Little Smokey Shoshoni [B233]
Nd37,Binford: Railroad Valley Shoshoni [B217]
Nd38,
Nd4,Binford: Sanpoil [B323]; WNAI: Sanpoil [WNAI100]
Nd40,Binford: Grouse Creek Shoshoni [B221]
Nd41,Binford: Wadaduica (Ruby Valley Shoshoni) [B228]; WNAI: Ruby Valley Shoshone [WNAI122]
Nd42,
