id,related
Ed1,SCCS: Koreans [SCCS116]
Ed10,
Ac38,
Ed13,
Ed14,
Ed15a,
Ed15b,SCCS: Chinese [SCCS114]
Ed16,
Ed2,SCCS: Lolo [SCCS67]
Ed3,SCCS: Manchu [SCCS115]
Ed4,
Ed5,SCCS: Japanese [SCCS117]
Ed6,
Ac39,
Ed7,
Ed8,
Ed9,
Ee1,
Ee2,SCCS: Burusho [SCCS64]
Ee3,SCCS: Lepcha [SCCS68]
Ee4,
Ee5,
Ee6,
Ee7,
Ac4,
Ee8,
Ef1,SCCS: Santal [SCCS62]
Ef10,
Ef11,SCCS: Uttar Pradesh [SCCS63]
Ef2,
Ef3,
Ef4,
Ef5,
Ef6,
Ef7,
Ac40,
Ef8,
Ef9,
Eg1,Binford: Chenchu [B15]
Eg10,
Eg11,
Eg12,
Eg13,
Eg14,
Eg2,
Eg3,SCCS: Gond [SCCS60]
Ac41,
Eg4,SCCS: Toda [SCCS61]
Eg5,
Eg6,
Eg7,
Eg8,
Eg9,
Eh1,Binford: Big Andaman Island [B8]; SCCS: Andamanese [SCCS79]
Eh10,
Eh2,
Eh3,SCCS: Tanala [SCCS81]
Ac42,
Eh4,Binford: Vedda [B10]; SCCS: Vedda [SCCS80]
Eh5,SCCS: Nicobarese [SCCS78]
Eh6,
Eh7,
Eh8,
Eh9,
Ei1,SCCS: Garo [SCCS69]
Ei10,
Ei11,
Ei12,
Aa7,Binford: Nharo [B73]
Ac43,
Ei13,
Ei14,
Ei15,
Ei16,
Ei17,
Ei18,
Ei19,
Ei2,
Ei20,
Ei3,SCCS: Burmese [SCCS71]
Ac5,
Ei4,SCCS: Lakher [SCCS70]
Ei5,
Ei6,
Ei7,
Ei8,
Ei9,
Ej1,SCCS: Lamet [SCCS72]
Ej10,SCCS: Rhade [SCCS74]
Ej11,
Ej12,
Ac6,
Ej13,
Ej14,
Ej15,SCCS: Khmer [SCCS75]
Ej16,SCCS: Negri Sembilan [SCCS82]
Ej2,
Ej3,Binford: Semang [B9]; SCCS: Semang [SCCS77]
Ej4,SCCS: Vietnamese [SCCS73]
Ej5,
Ej6,
Ej7,
Ac7,
Ej8,
Ej9,SCCS: Siamese [SCCS76]
Ia1,SCCS: Atayal [SCCS113]
Ia10,
Ia11,
Ia12,
Ia13,SCCS: Badjau [SCCS86]
Ia14,
Ia15,
Ia16,
Ac8,
Ia17,
Ia18,
Ia2,
Ia3,SCCS: Ifugao [SCCS112]
Ia4,
Ia5,
Ia6,
Ia7,
Ia8,
Ia9,
Ac9,
Ib1,SCCS: Iban [SCCS85]
Ib2,SCCS: Javanese [SCCS83]
Ib3,SCCS: Balinese [SCCS84]
Ib4,
Ib5,
Ib6,
Ib7,
Ib8,Binford: Kubu [B3]
Ib9,Binford: Punan [B1]
Ic1,
Ad1,
Ic10,SCCS: Tobelorese [SCCS88]
Ic11,
Ic12,
Ic13,
Ic2,SCCS: Alorese [SCCS89]
Ic3,
Ic4,
Ic5,SCCS: Toradja [SCCS87]
Ic6,
Ic7,
Ad10,
Ic8,
Ic9,
Id1,Binford: Northern Arenda [B124]; SCCS: Aranda [SCCS91]; CHIRILA: Eastern and Central Arrernte [CHIRILA1048]
Id10,Binford: Walbiri [B109]; CHIRILA: Warlpiri [CHIRILA192]
Id11,Binford: Gidjingali [B87]; CHIRILA: Burarra [CHIRILA1143]
Id12,Binford: Yir-yoront [B94]; CHIRILA: Yir-Yoront [CHIRILA27]
Id13,Binford: Groote Eylandt [B97]; CHIRILA: Anindilyakwa [CHIRILA1229]
Id2,Binford: Murngin [B88]; CHIRILA: Dhuwal [CHIRILA1093]
Id3,Binford: Tiwi [B95]; SCCS: Tiwi [SCCS90]; CHIRILA: Tiwi [CHIRILA300]
Id4,Binford: Dieri [B121]; CHIRILA: Diyari [CHIRILA1088]
Ad11,
Id5,Binford: Kariera [B106]; CHIRILA: Kariyarra [CHIRILA855]
Id6,Binford: Wikmunkan [B90]; CHIRILA: Wik-Mungkan [CHIRILA138]
Id7,CHIRILA: Murrinh-patha [CHIRILA608]
Id8,Binford: Tasmanians (western) [B137]
Id9,Binford: Wongaibon [B130]; CHIRILA: Ngiyambaa [CHIRILA520]
Ie1,SCCS: Kapauku [SCCS94]
Ie10,
Ie11,
Ie12,SCCS: Kwoma [SCCS95]
Ie13,
Ad12,
Ie14,
Ie15,
Ie16,
Ie17,
Ie18,SCCS: Kimam [SCCS93]
Ie19,
Ie2,
Ie20,
Ie21,
Ie22,
Aa8,Binford: /Xam [B79]
Ad13,
Ie23,
Ie24,
Ie25,
Ie26,
Ie27,
Ie28,
Ie29,
Ie3,
Ie30,
Ie31,
Ad14,SCCS: Luguru [SCCS10]
Ie32,
Ie33,
Ie34,
Ie35,
Ie36,
Ie37,
Ie38,
Ie39,
Ie4,
Ie5,
Ad15,
Ie6,
Ie7,
Ie8,
Ie9,SCCS: Orokaiva [SCCS92]
If1,SCCS: Palauans [SCCS111]
If10,
If11,
If12,
If13,
If14,SCCS: Gilbertese [SCCS107]
Ad16,
If15,
If16,
If17,SCCS: Marshallese [SCCS108]
If2,SCCS: Trukese [SCCS109]
If3,
If4,
If5,
If6,SCCS: Yapese [SCCS110]
If7,
If8,
Ad17,
If9,
Ig1,SCCS: Siuai [SCCS99]
Ig10,
Ig11,
Ig12,
Ig13,
Ig14,
Ig15,
Ig16,
Ig17,
Ad18,
Ig18,
Ig19,
Ig2,SCCS: Trobrianders [SCCS98]
Ig20,
Ig21,
Ig3,
Ig4,SCCS: New Ireland [SCCS97]
Ig5,
Ig6,
Ig7,
Ad19,
Ig8,
Ig9,SCCS: Manus [SCCS96]
Ih1,
Ih10,
Ih11,
Ih12,
Ih13,
Ih14,SCCS: Mbau Fijians [SCCS102]
Ih2,
Ih3,SCCS: Pentecost [SCCS101]
Ad2,
Ih4,
Ih5,SCCS: Ajie [SCCS103]
Ih6,
Ih7,
Ih8,
Ih9,
Ii1,
Ii10,
Ii12,
Ii13,
Ad20,
Ii14,SCCS: Western Samoans [SCCS106]
Ii2,SCCS: Tikopia [SCCS100]
Ii3,
Ii4,
Ii5,
Ii6,
Ii7,
Ii8,
Ii9,
Ij1,
Ad21,
Ij10,
Ij2,SCCS: Maori [SCCS104]
Ij3,SCCS: Marquesans [SCCS105]
Ij4,
Ij5,
Ij6,
Ij7,
Ij8,
Ij9,
Aa9,Binford: Hadza [B69]; SCCS: Hadza [SCCS9]
Ad22,
Ad23,
Ad24,
Ad25,
Ad26,
Ad27,
Ad28,
Ad29,
Ad3,
Ad30,
Nd26,Binford: Honey Lake Paiute [B212]
Nd39,Binford: Spring Valley Shoshoni [B215]; WNAI: Spring Valley Shoshone [WNAI121]
