Taxon,ISOCode,GlottoCode
KakidugenIlongot,ilk,ilon1239
Kalagan,kqe,kala1388
KallahanKayapaProper,kak,kaya1320
KallahanKeleyqiq,ify,kele1259
Kanakanabu,xnb,kana1286
Kapampangan,pam,pamp1243
KaraWest,leu,kara1486
KasiraIrahutu,irh,irar1238
Katingan,nij,ngaj1237
Kavalan,ckv,kava1241
KayanUmaJuman,ree,reja1241
Kedang,ksx,keda1252
KelabitBario,kzi,kela1258
Kemak,kem,kema1243
KenyahLongAnap,xkl,main1275
Kerinci,kvr,keri1250
KiaZabana,kja,mlap1238
KilokakaYsabel,jaj,zaza1245
Kisar,kse,kuni1263
KoiwaiIrianJaya,kwh,kowi1239
Kokota,kkk,koko1269
Komering,kge,kome1238
Kove,kvc,kove1237
Kuanua,ksd,kuan1248
Kwamera,tnk,kwam1252
KwaraaeSolomonIslands,kwf,kwar1239
Lahanan,lhn,laha1253
LamboyaLaboya,lmy,lamb1273
Lampung,ljp,lamp1243
Leipon,lek,leip1237
Lenakel,tnl,lena1238
Letinese,lti,leti1246
Levei,tlx,kheh1237
Likum,lib,liku1243
LioFloresTongah,ljl,lioo1240
Loniu,los,loni1238
Lou,loj,louu1245
Luang,lex,luan1263
LungaLungaMinigir,vmg,mini1251
LwepeSantaCruz,stc,
Maanyan,mhy,maan1238
Madara,tbf,mand1440
Madurese,mad,nucl1460
MagoriSouthEastPapua,zgr,mago1248
MalayBahasaIndonesia,ind,indo1316
Maleu,mgl,male1289
Maloh,emb,emba1238
MaloSantaCruz,stc,
Mamanwa,mmn,mama1275
Mambai,mgm,mamb1306
Mamboru,mvd,mamb1305
Manggarai,mqy,mang1405
ManoboAtadownriver,atb,zaiw1241
ManoboAtaupriver,atb,zaiw1241
ManoboDibabawon,mbd,diba1242
ManoboIlianenKibudtungan_D,mbi,ilia1236
ManoboKalamansigCotabatoParil_D,mta,cota1241
ManoboSaranganiKayaponga_D,mbs,sara1327
ManoboTigwaIglogsad_D,mtb,anyi1244
Mansaka,msk,mans1262
Mapun,sjm,mapu1244
Maranao,mrw,mara1404
MarovoNewGeorgia,mvo,maro1244
Masiwang,bnf,masi1266
