id,related
B149,EA:Serrano (Nc30);WNAI:Serrano (J84)
B144,EA:Cahuilla (Nc31);WNAI:Desert Cahuilla (J85)
B145,EA:Cupeno (Nc32);WNAI:Cupeno (J83)
B150,EA:Luiseno (Nc33);WNAI:Luiseno (J82)
B146,EA:Kiliwa (Nc34);WNAI:Kaliwa (Hokan) (J91)
B183,EA:Atsugewi (Nc4);WNAI:Atsugewei (J53)
B175,EA:Miwok (Nc5);WNAI:Central Miwok (J69)
B147,EA:Diegueno (Nc6);WNAI:Western Diegueno (J89);WNAI:Desert Diegueno (J90)
B171,EA:Yuki (Nc7);WNAI:Yuki (J61)
B189,EA:Klamath (Nc8);SCCS:Klamath (SCCS138);WNAI:Klamath (J112)
B188,EA:Modoc (Nc9);WNAI:Modoc (J113)
B315,EA:Tenino (Nd1);WNAI:Tenino (J111)
B325,EA:Thompson (Nd10);WNAI:Upper Thompson (J98)
B333,EA:Shuswap (Nd11);WNAI:Shuswap (J96)
B330,EA:Flathead (Nd12);WNAI:Flathead (J105)
B326,EA:Kalispel (Nd13);WNAI:Kalispel (J104)
B320,EA:Coeur d’Alene (Nd14);WNAI:Coeur d’Alene (J103)
B321,EA:Sinkaitk (Nd15)
B317,EA:Wenatchi (Nd16);WNAI:Wenatchi (J102)
B318,EA:Klikitat (Nd17)
B319,EA:Wishram (Nd18);WNAI:Wishram (J110)
B316,EA:Umatilla (Nd19);WNAI:Umatilla (J108)
B222,EA:Southern Ute (Nd2);WNAI:Wimonuch Ute (Shoshonean) (J131)
B324,EA:Nez Perce (Nd20);WNAI:Nez Perce (J107)
B231,EA:Wadadokado (Nd22);SCCS:Paiute (Northern) (SCCS137);WNAI:Wada-Dokado Northern Paiute (J114)
B226,EA:Kidutokado (Nd24);WNAI:Kidu-Dokado Northern Paiute (J115)
B208,EA:Kuyuidokado (Nd27);WNAI:Kuyui-Dokado Northern Paiute (J116)
B210,EA:Toedokado (Nd28)
B206,EA:Tunava (Nd29)
B211,EA:Tunava (Nd29)
B202,EA:Eastern Mono (Nd30);WNAI:Owens Valley Northern Paiute (J117)
B197,EA:Koso (Nd31)
B192,EA:Panamint (Nd32);WNAI:Panamint Shoshone (J118)
B195,EA:Panamint (Nd32);WNAI:Panamint Shoshone (J118)
B200,EA:Panamint (Nd32);WNAI:Panamint Shoshone (J118)
B218,EA:Mahaguaduka (Nd35);WNAI:Reese River Shoshone (J120)
B233,EA:Wiyambituka (Nd36)
B217,EA:Hamilton (Nd37)
B323,EA:Sanpoil (Nd4);WNAI:Sanpoil (J100)
B221,EA:Tubaduka (Nd40)
B228,EA:Wadaduka (Nd41);WNAI:Ruby Valley Shoshone (J122)
B216,EA:White Knife (Nd43);WNAI:Battle Mountain Shoshone (J123)
B229,EA:Bohogue (Nd45);WNAI:Bohogue Shoshone (J125)
B232,EA:Tukudika (Nd47)
B207,EA:Agaiduka (Nd46);WNAI:Agaiduka Shoshone (J126)
B214,EA:Gosiute (Nd48);WNAI:Gosiute Shoshone (J124)
B201,EA:Antarianunts (Nd49)
B213,EA:Hukundika (Nd5);WNAI:Hukundika Shoshone (J127)
B204,EA:Kaibab (Nd53);EA:Las Vegas (Nd55);WNAI:Kaibab Southern Paiute (J133)
B230,EA:Uintah (Nd58);WNAI:Uintah Ute (J129)
B225,EA:Washo (Nd6);WNAI:Washo (J119)
B234,EA:Uncompahgre (Nd62);WNAI:Uncompaghre Ute (J130)
B252,EA:Bannock (Nd63)
B227,EA:Wind River (Nd64);WNAI:Wind River Shoshone (J128)
B198,EA:Walapai (Nd65);WNAI:Walapai (J137)
B196,EA:Yavapai (Nd66);WNAI:Northeast Yavapai (J138);WNAI:Southeast Yavapai (J139)
B250,EA:Kutenai (Nd7);SCCS:Kutenai (SCCS139);WNAI:Kutenai (J106)
B348,EA:Chilcotin (Nd8);WNAI:Chilcotin (J95)
B276,EA:Lillooet (Nd9);WNAI:Upper Lillooet (J97)
B253,EA:Gros Ventre (Ne1);SCCS:Gros Ventre (SCCS140)
B257,EA:Assiniboin (Ne11)
B256,EA:Blackfoot (Ne12)
B259,EA:Blood (Ne13)
B254,EA:Bungi (Ne14)
B193,EA:Karankawa (Ne16)
B243,EA:Kiowa (Ne17)
B255,EA:Piegan (Ne18)
B258,EA:Plains Cree (Ne19)
B244,EA:Kiowa Apache (Ne2)
B194,EA:Coahuilteco (Ne21)
B241,EA:Comanche (Ne3);SCCS:Comanche (SCCS147)
B248,EA:Crow (Ne4)
B245,EA:Cheyenne (Ne5)
B260,EA:Sarsi (Ne7)
B249,EA:Teton (Ne8)
B246,EA:Arapaho (Ne9)
B242,EA:Chiricahua (Nh1);SCCS:Chiricahua (SCCS148);WNAI:Warm Springs Chiricahua Apache (J152);WNAI:Huachuca Chiricahua Apache (J153)
B240,EA:Lipan (Nh24);WNAI:Lipan Apache (J155)
B143,EA:Seri (Ni4)
B191,EA:Chichimec (Ni5)
B35,EA:Paraujano (Sb5)
B38,EA:Yaruro (Sc2)
B39,EA:Guahibo (Sc4)
B36,EA:Shiriana (Sd6)
B43,EA:Siriono (Se1);SCCS:Siriono (SCCS173)
B55,EA:Yahgan (Sg1);SCCS:Yahgan (SCCS186)
B54,EA:Ona (Sg3)
B51,EA:Tehuelche (Sg4);SCCS:Tehuelche (SCCS185)
B53,EA:Alacaluf (Sg5)
B41,EA:Bororo (Si1)
B45,EA:Nambicura (Si4);SCCS:Nambicuara (SCCS174)
B42,EA:Guato (Si6)
B50,EA:Aweikoma (Sj3);SCCS:Aweikoma (SCCS180)
B48,EA:Botocudo (Sj5);SCCS:Botocudo (SCCS178)
B165,
