taxon,glottocode,xd_ids,soc_ids
D21_Baali,bali1274,xd153,Ae33
D211_Kango,kang1285,xd5,"Aa5, B65, SCCS13"
D23_Kibira-Kumu_1919,komo1260,xd152,Ae32
D24_Songola,song1300,xd129,Ae11
D25_Lega,lega1250,,
D28_Holoholo,holo1240,,
D301_Kare,kari1306,,
D304_Homa_1919,homa1239,,
D305_Nyanga-li,nyan1303,,
D308_Bodo2,bodo1272,,
D308_Ebodo,bodo1272,,
D311_Bila,bila1255,xd150,Ae30
D313_Mbuttu_1919,budu1250,,
D32_Bira,bera1259,xd154,Ae34
D32_Bira_Bunia,bera1259,,
D33_Nyali,nyal1250,,
D331_Bvanuma,vanu1242,,
D333_Ndaaka,ndak1241,,
D334_Mbo,mbod1238,,
D43_Nyanga,nyan1304,,
D55_Buyu,buyu1239,xd57,Ac31
Duguri_Jarawan,dugu1249,,
E46_Sonjo,temi1247,xd108,Ad39
E51_Kikuyu,kiku1240,xd109,"Ad4, SCCS11"
E52_Embu,embu1241,,
E52_Mbeere,embu1241,,
E53_Igoji,meru1245,,
E53_Imenti,meru1245,,
E53_Meru,meru1245,xd104,Ad35
E53_Meruimenti,meru1245,,
E53_Merutig,meru1245,,
E53_Miutini,meru1245,,
E53_Tigania,meru1245,,
E531_Muthambi,mwim1241,,
E531_Mwimbi,mwim1241,,
E54_Tharaka,thar1283,,
E541_Chuka,chuk1274,,
E55_Kamba,kamb1297,xd103,Ad34
E55_Kamba_Kitu,kamb1297,,
E55_Kamba_Mach,kamb1297,,
E56_Daiso,dhai1238,,
E621B_Machame,mach1266,,
E621C_Siha,mach1266,,
E621D_Kibosho,mach1266,,
E622A_Kimochi,moch1256,xd98,Ad3
E622C_Lema,vunj1238,,
E622C_Mamba,vunj1238,,
E622C_Vunjo,vunj1238,,
E623_Mkuu,romb1244,,
E623A_Kiseri,romb1244,,
E623D_Keni,romb1244,,
E64_Kahe,kahe1238,,
E65_Gweno,gwen1239,,
E701_Elwana,ilwa1237,,
E71A_Upper_Pokomo,poko1261,xd102,Ad33
E72a_Giryama,giry1241,xd101,Ad32
E73_Digo,digo1243,xd99,Ad30
E74a_Dawida,tave1240,,
E74a_Tuveta,tave1240,,
F12_Bende,bend1258,xd85,Ad18
F21_Ntuzu,suku1261,,
F21_Sukuma,suku1261,xd90,Ad22
F22_Nyamwezi,nyam1276,,
F23_Sumbwa,sumb1240,xd117,Ad47
F24_Kimbu,kimb1242,,
F25_Bungu,bung1265,,
F31_Nyiramba,nila1242,,
F32_Nyaturucha,nyat1246,,
F32_Nyaturuwil,nyat1246,xd94,Ad26
F33_Langi,lang1320,xd93,Ad25
Fefe_Grassfields,fefe1239,xd171,Ae5
G11_Gogo,gogo1263,xd92,Ad24
G12_Kagulu,kagu1239,xd121,Ad50
G22_Asu,asut1235,xd105,Ad36
G22A_North_Pare,asut1235,,
G22B_South_Pare,asut1235,,
G23_Sambaa,asut1235,,
G24_Bondei,bond1247,,
G31_Zigua,zigu1242,xd96,Ad28
G32_Doe,kwer1261,,
G32_Kwere,kwer1261,xd95,Ad27
G33_Zaramo,zara1247,,
G34_Nguungulu,ngul1246,xd122,Ad51
G35_Luguru,lugu1238,xd81,"Ad14, SCCS10"
G36_Kami,kami1256,,
G37_Kutu,kutu1263,,
G39_Saghala,saga1256,,
G401_Mwani,mwan1247,,
G41_Bajuni,swah1253,,
G412_Mwiini,chim1312,,
G42_Swahili,swah1253,,
G42a_Amu,swah1253,,
G42d_Unguja,swah1253,,
G43_Kae,swah1253,,
G44a_Ngazija,ngaz1238,,
G44b_Ndzwani,ndzw1235,,
G44D_Maore,maor1244,,
G51_Pogoro,pogo1243,,
G52_Ndamba,ndam1239,,
G61_Sangu,sang1330,xd91,Ad23
G62_Hehe,hehe1240,xd125,Ad8
G63_Bena,bena1262,xd78,Ad11
G64_Pangwa,pang1287,,
G65_Kinga,nucl1379,,
G66_Wanji,vwan1235,,
H11_Beembe,beem1239,,
H111_Hangala,laar1238,,
H12_Civili_Congo,vili1238,,
H13_Kikunyi_1989,kuny1238,,
H131_Kisundi_Congo_Kimongo_1988,suun1239,xd42,Ac18
H16_Cilinji,yomb1244,,
H16_Cimbala,sans1272,,
H16_Cizobe,yomb1244,,
H16_Kikongo,koon1244,,
H16_Kimbata_Ngidinga,east2782,,
H16_Kimbeko,east2782,,
H16a_Kisikongo_2013,sans1272,xd38,Ac14
H16a_Kisolongo_DRC_2012,sans1272,,
H16b_Kindibu_2013,koon1244,,
H16c_Kiyombe_DRC_1982,yomb1244,,
H16c_Yombe,yomb1244,xd74,Ac8
H16d_Ciwoyo_DRC_2012,yomb1244,,
H16f_Laadi,laar1238,,
H16g_Kimpangu_2012,east2782,,
H16g_Ntandu,east2782,,
H16h_Kinkanu_2012,east2782,,
H21a_Kimbundu,kimb1241,,
H31_Yaka,yaka1269,xd45,Ac20
H32_Suku,suku1259,xd41,"Ac17, SCCS6"
H321_Soonde,sond1250,xd54,Ac29
