Taxon,ISOCode,GlottoCode
D13_Metoko,zmq,mitu1240
D14_Enya,gey,enya1247
D20B_Vamba_1919,,
D201_Liko,lik,lika1243
D21_Baali,bcp,bali1274
D211_Kango,kzy,kang1285
D23_Kibira-Kumu_1919,kmw,komo1260
D24_Songola,sod,song1300
D25_Lega,lgm,lega1250
D28_Holoholo,hoo,holo1240
D304_Homa_1919,hom,homa1239
D305_Nyanga-li,nyc,nyan1303
D308_Bodo2,boy,bodo1272
D308_Ebodo,boy,bodo1272
D311_Bila,bip,bila1255
D313_Mbuttu_1919,,
D32_Bira,brf,bera1259
D32_Bira_Bunia,brf,bera1259
D33_Nyali,nlj,nyal1250
D331_Bvanuma,vau,vanu1242
D333_Ndaaka,ndk,ndak1241
D334_Mbo,zmw,mbod1238
D43_Nyanga,nyj,nyan1304
D55_Buyu,byi,buyu1239
E46_Sonjo,soz,temi1247
E51_Kikuyu,kik,kiku1240
E52_Embu,ebu,embu1241
E52_Mbeere,ebu,embu1241
E53_Igoji,mer,meru1245
E53_Imenti,mer,meru1245
E53_Meru,mer,meru1245
E53_Meruimenti,mer,meru1245
E53_Merutig,mer,meru1245
E53_Miutini,mer,meru1245
E53_Tigania,mer,meru1245
E531_Muthambi,mws,mwim1241
E531_Mwimbi,mws,mwim1241
E54_Tharaka,thk,thar1283
E541_Chuka,cuh,chuk1274
E55_Kamba,kam,kamb1297
E55_Kamba_Kitu,kam,kamb1297
E55_Kamba_Mach,kam,kamb1297
E56_Daiso,dhs,dhai1238
E621B_Machame,jmc,mach1266
E621C_Siha,,
E621D_Kibosho,,
E622A_Kimochi,old,moch1256
E622C_Lema,vun,vunj1238
E622C_Mamba,vun,vunj1238
E622C_Vunjo,vun,vunj1238
E623_Mkuu,,
E623A_Kiseri,,
E623D_Keni,,
E64_Kahe,hka,kahe1238
E65_Gweno,gwe,gwen1239
E701_Elwana,mlk,ilwa1237
E71A_Upper_Pokomo,pkb,poko1261
E72a_Giryama,nyf,giry1241
E73_Digo,dig,digo1243
E74a_Dawida,tvs,tave1240
E74a_Tuveta,tvs,tave1240
F12_Bende,bdp,bend1258
F21_Ntuzu,,
F21_Sukuma,suk,suku1261
F22_Nyamwezi,num,niua1240
F23_Sumbwa,suw,sumb1240
F24_Kimbu,kiv,kimb1242
F25_Bungu,wun,bung1265
F31_Nyiramba,nim,nila1242
F32_Nyaturucha,rim,nyat1246
F32_Nyaturuwil,rim,nyat1246
F33_Langi,lag,lang1320
G11_Gogo,gog,gogo1263
G12_Kagulu,kki,kagu1239
G22_Asu,asa,asut1235
G22A_North_Pare,asa,asut1235
G22B_South_Pare,asa,asut1235
G23_Sambaa,asa,asut1235
G24_Bondei,bou,bond1247
G31_Zigua,ziw,zigu1242
G32_Doe,cwe,kwer1261
G32_Kwere,cwe,kwer1261
G33_Zaramo,zaj,zara1247
G34_Nguungulu,ngp,ngul1246
G35_Luguru,ruf,lugu1238
G36_Kami,kcu,kami1256
G37_Kutu,kdc,kutu1263
G39_Saghala,sbm,saga1256
G401_Mwani,wmw,mwan1247
G41_Bajuni,,
G412_Mwiini,,
G42_Swahili,swh,swah1253
G42a_Amu,,
G42d_Unguja,,
G43_Kae,,
G44a_Ngazija,zdj,ngaz1238
G44b_Ndzwani,wni,ndzw1235
G44D_Maore,,
G51_Pogoro,poy,pogo1243
G52_Ndamba,ndj,ndam1239
G61_Sangu,sbp,sang1330
G62_Hehe,heh,hehe1240
G63_Bena,bez,bena1262
G64_Pangwa,pbr,pang1287
G65_Kinga,zga,nucl1379
G66_Wanji,wbi,vwan1235
H11_Beembe,beq,beem1239
H111_Hangala,ldi,laar1238
H12_Civili_Congo,vif,vili1238
H13_Kikunyi_1989,njx,kuny1238
H131_Kisundi_Congo_Kimongo_1988,sdj,suun1239
H16_Cilinji,,
H16_Cimbala,,
H16_Cizobe,,
H16_Kikongo,kng,koon1244
H16_Kimbata_Ngidinga,,
H16_Kimbeko,,
H16a_Kisikongo_2013,kwy,sans1272
H16a_Kisolongo_DRC_2012,kwy,sans1272
H16b_Kindibu_2013,,
H16c_Kiyombe_DRC_1982,yom,yomb1244
H16c_Yombe,yom,yomb1244
H16d_Ciwoyo_DRC_2012,,
H16f_Laadi,ldi,laar1238
H16g_Kimpangu_2012,,
H16g_Ntandu,,
H16h_Kinkanu_2012,,
H21a_Kimbundu,kmb,kimb1241
H31_Yaka,yaf,yaka1269
H32_Suku,sub,suku1259
H321_Soonde,shc,sond1250
H41_Mbala,mdp,mbal1257
H42_Hunganna,hum,hung1278
JD53_Shi,shr,shii1238
JD62_Rundi,run,rund1242
JD64_Shubi,suj,shub1238
JD65_Hangaza,han,hang1260
JD66_Kiha,haq,haaa1252
JD67_Kivinza,vin,vinz1238
JE11_Runyoro,nyo,nyor1246
JE12_Rutooro,ttj,toor1238
JE13_Runyankore,,
JE14_Rukiga,,
JE15_Luganda,lug,gand1255
JE16_Lusoga,xog,soga1242
JE17_Gwere,gwr,gwer1238
JE21_Runyambo,now,nyam1277
JE22_Haya,hay,haya1250
JE23_Zinza,zin,zinz1238
JE24_Kerebe,ked,kere1283
JE25_Jita,jit,jita1239
JE25_Kilegi,jit,jita1239
JE25_Mkwaya,jit,jita1239
JE31_Lumasaaba,myx,masa1299
JE31c_Bukusu,bxk,buku1249
JE32_Luyia,luy,
JE34_Samialugwe,,
JE401_Ngoreme,ngq,ngur1263
JE402_Ikizu,ikz,ikiz1238
JE403_Suba,suh,
JE404_Shasi,szk,
JE41_Maragoli,rag,logo1258
JE42_Gusii,guz,gusi1247
JE43_Kuria,kuj,kuri1259
JE43_Kuria_Mago,kuj,kuri1259
JE43_Kuria_Tari,kuj,kuri1259
JE44_Zanaki,zak,zana1238
JE45_Nata,ntk,ikom1245
K11_Ciokwe,cjk,chok1245
K14_Lwena,lue,luva1239
K15_Mbunda,mck,mbun1249
K21_Lozi,loz,lozi1239
K31_Luyana,lyn,luya1241
K33_Kwangali,kwn,kwan1273
K332_Rumanyo,diu,diri1252
L11_Pende,pem,phen1239
L12b_Holu,hol,holu1245
L13_Kwese,kws,kwes1244
L221_Lwalwa,lwa,lwal1238
L23_Songe,sop,song1303
L31a_Luba-Kasai,lub,luba1250
L32_Kanyok,kny,kany1247
L33_Luba-Shaba,lub,luba1250
L34_Hemba,kqn,kaon1241
L35_Sanga,sng,sang1331
L41_Kaonde,kqn,kaon1241
L51_Salampasu,slx,sala1268
L52_Lunda,lun,lund1266
L53_Runda,rnd,ruun1238
L62_Nkoya,nka,nkoy1244
M11_Pimbwe,piw,pimb1238
M12_Lungwa,rnw,rung1255
M13_Fipa,fip,fipa1238
M14_Rungu,,
M15_Mambwe,,
M21_Ndali,ndh,ndal1241
M21_Wanda,wbh,wand1264
M22_Namwanga,nih,nyih1240
M23_Nyiha,nih,nyih1240
M24_Malila,mgq,mali1279
M25_Safwa,sbk,safw1238
M28_Lambya,lai,lamb1272
M31_Nyakyusa,nyy,nyak1260
M41_Taabwa,tap,shil1264
M42_Bemba,bem,bemb1257
M52_Lala,leb,lala1264
M54_Lamba,lam,lamb1271
M61_Lenje,leh,lenj1248
M62_Soli,sby,soli1239
M64_Tonga,tog,tong1321
N11_Manda,mgs,mand1423
N12_Ngoni,ngo,ngon1269
N13_Matengo,mgv,mate1258
N14_Mpoto,mpa,mpot1240
N21_Tumbuka_Malawi,tum,tumb1250
N31_Chewa,nya,nyan1308
N42_Kunda,kdn,kund1255
P11_Ndengeleko,ndg,nden1248
P12_Rufiji,rui,rufi1234
P13_Matumbi,mgw,matu1259
P14_Ngindo,nnq,ngin1244
P15_Mbunga,mgy,mbun1248
P21_Yao,yao,yaoo1241
P22_Mwera,mjh,mwer1247
P23_Simakonde,kde,mako1251
P25_Mabia,kde,mako1251
P31_Emakhua,vmw,makh1264
P31G_Ikorovere,,
R11_Umbundu,umb,umbu1257
R21_Kwanyama,kua,kuan1247
R22_Ndonga,sna,shon1251
R31_Herero,her,here1253
S11_Shona,sna,shon1251
S16_Kalanga,her,here1253
S21_Venda,ven,vend1245
S31_Tswana,tsn,tswa1253
S311_Shekgalagari,xkv,kgal1244
S41_Xhosa,xho,xhos1239
S42_Zulu,zul,zulu1248
S44_Ndebele,nde,nort2795
S51_Tshwa,tsc,tswa1255
S53_Tsonga,tso,tson1249
