soc_id,sub_case,year,var_id,code,comment,references,source_coded_data,admin_comment
SCCS138,,,Elevation,1453.211911,,,,
SCCS139,,,Elevation,1280.403379,,,,
SCCS140,,,Elevation,798.5379458,,,,
SCCS141,,,Elevation,569.7661938,,,,
SCCS142,,,Elevation,789.0104898,,,,
SCCS143,,,Elevation,357.8272391,,,,
SCCS144,,,Elevation,229.0414066,,,,
SCCS145,,,Elevation,184.0373376,,,,
SCCS146,,,Elevation,75.84794085,,,,
SCCS147,,,Elevation,881.5286822,,,,
SCCS148,,,Elevation,1513.00633,,,,
SCCS149,,,Elevation,2112.141041,,,,
SCCS150,,,Elevation,1823.548909,,,,
SCCS151,,,Elevation,872.3212644,,,,
SCCS152,,,Elevation,667.0883457,,,,
SCCS153,,,Elevation,1612.250082,,,,
SCCS154,,,Elevation,135.7459382,,,,
SCCS155,,,Elevation,1481.195292,,,,
SCCS156,,,Elevation,0.013430198,,,,
SCCS157,,,Elevation,409.0022502,,,,
SCCS158,,,Elevation,115.213918,,,,
SCCS159,,,Elevation,53.81142977,,,,
SCCS160,,,Elevation,411.996407,,,,
SCCS161,,,Elevation,73.0764176,,,,
SCCS162,,,Elevation,7.969606046,,,,
SCCS163,,,Elevation,371.9399212,,,,
SCCS164,,,Elevation,123.7962262,,,,
SCCS165,,,Elevation,238.9938542,,,,
SCCS166,,,Elevation,276.2847185,,,,
SCCS167,,,Elevation,206.5130927,,,,
SCCS168,,,Elevation,890.2215043,,,,
SCCS169,,,Elevation,512.8703343,,,,
SCCS170,,,Elevation,378.9754301,,,,
SCCS171,,,Elevation,3865.750051,,,,
SCCS172,,,Elevation,334.2467435,,,,
SCCS173,,,Elevation,216.4127154,,,,
SCCS174,,,Elevation,474.4098809,,,,
SCCS175,,,Elevation,322.4355063,,,,
SCCS176,,,Elevation,430.4605752,,,,
SCCS177,,,Elevation,564.0096916,,,,
SCCS178,,,Elevation,449.1006891,,,,
SCCS179,,,Elevation,235.4973156,,,,
SCCS180,,,Elevation,998.6653611,,,,
SCCS181,,,Elevation,339.2511239,,,,
SCCS182,,,Elevation,90.89928307,,,,
SCCS183,,,Elevation,50.55743102,,,,
SCCS184,,,Elevation,190.2503976,,,,
SCCS185,,,Elevation,780.0804888,,,,
SCCS186,,,Elevation,35.70397339,,,,
Aa1,,,Elevation,1024.89219,,,,
Aa2,,,Elevation,2204.778224,,,,
Aa3,,,Elevation,1032.856327,,,,
Aa4,,,Elevation,1290.067165,,,,
Aa5,,,Elevation,805.0753666,,,,
Aa6,,,Elevation,1343.785994,,,,
Aa7,,,Elevation,941.8764401,,,,
Aa8,,,Elevation,1084.954077,,,,
Aa9,,,Elevation,1665.35726,,,,
Ab1,,,Elevation,1442.044548,,,,
Ab10,,,Elevation,63.24467804,,,,
Ab11,,,Elevation,445.1339961,,,,
Ab12,,,Elevation,280.5902567,,,,
Ab13,,,Elevation,975.552356,,,,
Ab14,,,Elevation,434.6451113,,,,
Ab15,,,Elevation,1567.999753,,,,
Ab16,,,Elevation,10.2955058,,,,
Ab17,,,Elevation,85.23603139,,,,
Ab18,,,Elevation,1309.606773,,,,
Ab19,,,Elevation,1126.174483,,,,
Ab2,,,Elevation,142.7527194,,,,
Ab20,,,Elevation,1236.542468,,,,
Ab21a,,,Elevation,361.1033001,,,,
Ab21b,,,Elevation,636.7317252,,,,
Ab22,,,Elevation,41.45072177,,,,
Ab3,,,Elevation,1048.138378,,,,
Ab4,,,Elevation,168.0009342,,,,
Ab5,,,Elevation,1655.279132,,,,
Ab6,,,Elevation,776.1113153,,,,
Ab7,,,Elevation,1380.915342,,,,
Ab8,,,Elevation,2345.147433,,,,
Ab9,,,Elevation,1289.504026,,,,
Ac1,,,Elevation,1078.256102,,,,
Ac10,,,Elevation,1036.922154,,,,
Ac11,,,Elevation,1080.157026,,,,
Ac12,,,Elevation,1089.975313,,,,
Ac13,,,Elevation,604.9057013,,,,
Ac14,,,Elevation,1000.971712,,,,
Ac15,,,Elevation,598.6494685,,,,
Ac16,,,Elevation,496.12335,,,,
Ac17,,,Elevation,875.0457515,,,,
Ac18,,,Elevation,401.2910699,,,,
Ac19,,,Elevation,569.2873912,,,,
Ac2,,,Elevation,613.3439131,,,,
Ac20,,,Elevation,638.9204942,,,,
Ac21,,,Elevation,642.8056962,,,,
Ac22,,,Elevation,450.9036848,,,,
Ac23,,,Elevation,513.6493497,,,,
Ac24,,,Elevation,353.508347,,,,
Ac25,,,Elevation,598.6494685,,,,
Ac26,,,Elevation,402.5027468,,,,
Ac27,,,Elevation,1108.539662,,,,
Ac28,,,Elevation,1399.457047,,,,
Ac29,,,Elevation,977.0337705,,,,
Ac3,,,Elevation,1331.514682,,,,
Ac30,,,Elevation,996.8984164,,,,
Ac31,,,Elevation,766.364351,,,,
Ac32,,,Elevation,1268.505791,,,,
Ac33,,,Elevation,753.9558026,,,,
Ac34,,,Elevation,1273.228594,,,,
Ac35,,,Elevation,1060.788698,,,,
Ac36,,,Elevation,604.9057013,,,,
Ac37,,,Elevation,655.6759386,,,,
Ac38,,,Elevation,514.0138612,,,,
Ac39,,,Elevation,1046.553607,,,,
Ac4,,,Elevation,544.0393164,,,,
Ac40,,,Elevation,118.7653479,,,,
Ac41,,,Elevation,97.17694399,,,,
Ac42,,,Elevation,324.5845137,,,,
Ac43,,,Elevation,402.2889343,,,,
Ac5,,,Elevation,1221.867252,,,,
Ac6,,,Elevation,1497.341084,,,,
Ac7,,,Elevation,710.8083683,,,,
Ac8,,,Elevation,330.7696533,,,,
Ac9,,,Elevation,1181.945222,,,,
Ad1,,,Elevation,2.699036545,,,,
Ad10,,,Elevation,530.827317,,,,
Ad11,,,Elevation,585.4013933,,,,
Ad12,,,Elevation,1772.318918,,,,
Ad13,,,Elevation,1564.505008,,,,
