soc_id,sub_case,year,var_id,code,comment,references,source_coded_data,admin_comment
SCCS97,,,MonthlyMeanPrecipitation,211328.1996,,,,
SCCS98,,,MonthlyMeanPrecipitation,206628.7631,,,,
SCCS99,,,MonthlyMeanPrecipitation,289372.4645,,,,
SCCS100,,,MonthlyMeanPrecipitation,239613.6026,,,,
SCCS101,,,MonthlyMeanPrecipitation,173785.6256,,,,
SCCS102,,,MonthlyMeanPrecipitation,157112.2663,,,,
SCCS103,,,MonthlyMeanPrecipitation,95858.65084,,,,
SCCS104,,,MonthlyMeanPrecipitation,96335.55263,,,,
SCCS105,,,MonthlyMeanPrecipitation,154798.1428,,,,
SCCS106,,,MonthlyMeanPrecipitation,219723.2625,,,,
SCCS107,,,MonthlyMeanPrecipitation,209493.3766,,,,
SCCS108,,,MonthlyMeanPrecipitation,302548.2286,,,,
SCCS109,,,MonthlyMeanPrecipitation,281260.5623,,,,
SCCS110,,,MonthlyMeanPrecipitation,240615.9721,,,,
SCCS111,,,MonthlyMeanPrecipitation,268661.4461,,,,
SCCS112,,,MonthlyMeanPrecipitation,167495.6076,,,,
SCCS113,,,MonthlyMeanPrecipitation,108121.6935,,,,
SCCS114,,,MonthlyMeanPrecipitation,124585.9307,,,,
SCCS115,,,MonthlyMeanPrecipitation,53252.18915,,,,
SCCS116,,,MonthlyMeanPrecipitation,79581.19522,,,,
SCCS117,,,MonthlyMeanPrecipitation,132984.2437,,,,
SCCS118,,,MonthlyMeanPrecipitation,105774.0933,,,,
SCCS119,,,MonthlyMeanPrecipitation,53529.81596,,,,
SCCS120,,,MonthlyMeanPrecipitation,32568.67283,,,,
SCCS121,,,MonthlyMeanPrecipitation,50583.29046,,,,
SCCS122,,,MonthlyMeanPrecipitation,58884.31679,,,,
SCCS123,,,MonthlyMeanPrecipitation,81344.04697,,,,
SCCS124,,,MonthlyMeanPrecipitation,23707.46593,,,,
SCCS125,,,MonthlyMeanPrecipitation,77742.71082,,,,
SCCS126,,,MonthlyMeanPrecipitation,99384.76652,,,,
SCCS127,,,MonthlyMeanPrecipitation,42363.33643,,,,
SCCS128,,,MonthlyMeanPrecipitation,31319.66652,,,,
SCCS129,,,MonthlyMeanPrecipitation,81754.22642,,,,
SCCS130,,,MonthlyMeanPrecipitation,174457.3566,,,,
SCCS131,,,MonthlyMeanPrecipitation,110998.4727,,,,
