taxon,glottocode,xd_ids,soc_ids
east2545,east2545,xd1116,"Nc18, B158, B159"
kash1280,kash1280,xd1418,B165
nort2966,nort2966,xd1115,"Nc17, B173"
sout2984,sout2984,xd1117,Nc19
