taxon,glottocode,xd_ids,soc_ids
apin1244,apin1244,xd1415,Sj7
cane1242,cane1242,xd1412,"SCCS176, Sj4"
kara1500,kara1500,xd1407,Sj1
kaya1330,kaya1330,xd1417,Sj9
kren1239,kren1239,xd1413,"B48, SCCS178, Sj5"
xava1240,xava1240,xd1409,"SCCS179, Sj11"
xere1240,xere1240,xd1410,Sj2
xokl1240,xokl1240,xd1411,"B50, SCCS180, Sj3"
