Name_on_tree_tip,ISO,glottologID,xd_id,other_xd_id,N_xdid,AdminComment,full_matches1,soc_id_matches1,full_matches2,soc_id_matches2,full_matches3,soc_id_matches3,,FINAL_xd_id,FINAL_soc_id,Fixed_order
Ngadjumaya,nju,ngad1258,xd976,,1,,Mineng (B132),B132,,,,,,xd976,B132,0
Ngadjuri,,,,,,,,,,,,,,,,
Ngaiawang,,,,,,,,,,,,,,,,
Ngamini,,,,,,,,,,,,,,,,
Ngardily,,,,,,,,,,,,,,,,
Ngarigu,,,,,,,,,,,,,,,,
Ngarinyman,,,,,,,,,,,,,,,,
Ngarla,,,,,,,,,,,,,,,,
Ngarluma,,,,,,,,,,,,,,,,
Ngarrindjeri,nay,narr1259,xd975,,1,,Jaralde (B131),B131,,,,,,xd975,B131,0
Ngawun,,,,,,,,,,,,,,,,
NggoiMwoi,,,,,,,,,,,,,,,,
Ngiyambaa,wyb,wang1291,xd784,,1,,"Wongaibon (Id9), Wongaibon (B130)","Id9, B130",,,,,,xd784,"Id9, B130",0
Ngunawal,,,,,,,,,,,,,,,,
Nhanta,,,,,,,,,,,,,,,,
Nhirrpi,,,,,,,,,,,,,,,,
NorthernMangarla,,,,,,,,,,,,,,,,
NorthernNyangumarta,,,,,,,,,,,,,,,,
Nyamal,,,,,,,,,,,,,,,,
Nyangumarta,,,,,,,,,,,,,,,,
Nyungar,,,,,,,,,,,,,,,,
Paakantyi,drl,darl1243,xd973,,1,,Barkindji (B128),B128,,,,,,xd973,B128,0
Pakanh,,,,,,,,,,,,,,,,
Pallanganmiddang,,,,,,,,,,,,,,,,
Panyjima,,,,,,,,,,,,,,,,
Parnkala,,,,,,,,,,,,,,,,
Payungu,,,,,,,,,,,,,,,,
Piangil,,,,,,,,,,,,,,,,
PintupiLuritja,piu,pint1250,xd960,,1,,Pintubi (B113),B113,,,,,,xd960,B113,0
Pirriya,,,,,,,,,,,,,,,,
Pitjantjatjara,pjt,nucl1331,xd967,,1,,Pitjandjara (B120),B120,,,,,,xd967,B120,0
PittaPitta,,,,,,,,,,,,,,,,
Rirratjingu,,,,,,,,,,,,,,,,
Ritharrngu,,,,,,,,,,,,,,,,
SouthernWalmajarri,,,,,,,,,,,,,,,,
Thalanyji,,,,,,,,,,,,,,,,
Tharrgari,,,,,,,,,,,,,,,,
Umpila,ump,ump1239,xd945,,1,,Yintjingga (B93),B93,,,,,,xd945,B93,0
Wadjabangayi,,,,,,,,,,,,,,,,
Wajarri,,,,,,,,,,,,,,,,
Wakaya,,,,,,,,,,,,,,,,
WalmajarriBilliluna,,,,,,,,,,,,,,,,
WalmajarriHR,,,,,,,,,,,,,,,,
WalmajarriNW,,,,,,,,,,,,,,,,
Wangkangurru,,,,,,,,,,,,,,,,
Wangkatja,,,,,,,,,,,,,,,,
Wangkayutyuru,,,,,,,,,,,,,,,,
Wangkumara,,,,,,,,,,,,,,,,
WangkumaraMcDWur,,,,,,,,,,,,,,,,
Wardandi,,,,,,,,,,,,,,,,
Wargamay,,,,,,,,,,,,,,,,
Warlmanpa,,,,,,,,,,,,,,,,
Warlpiri,wbp,warl1254,xd773,,1,,"Walbiri (Id10), Walbiri (B109)","Id10, B109",,,,,,xd773,"Id10, B109",0
Warluwarra,,,,,,,,,,,,,,,,
Warnman,wbt,wanm1242,xd959,,1,,Ildawongga (B112),B112,,,,,,xd959,B112,0
Warriyangga,,,,,,,,,,,,,,,,
Warumungu,,,,,,,,,,,,,,,,
Warungu,wrg,waru1264,xd955,,1,,Warunggu (B107),B107,,,,,,xd955,B107,0
Wathawurrung,,,,,,,,,,,,,,,,
WathiWathi,,,,,,,,,,,,,,,,
Watjuk,,,,,,,,,,,,,,,,
WesternArrarnta,,,,,,,,,,,,,,,,
WikMungkan,wim,wikm1247,xd781,,1,,"Wikmunkan (Id6), Wikmunkan (B90)","Id6, B90",,,,,,xd781,"Id6, B90",0
Wiradjuri,,,,,,,,,,,,,,,,
Wirangu,wgu,wira1265,xd972,,1,,Ooldea (B127),B127,,,,,,xd972,B127,0
Woiwurrung,x04,woiw1237,xd978,,1,,Bunurong (B134),B134,,,,,,xd978,B134,0
Wulguru,,,,,,,,,,,,,,,,
YabulaYabula,,,,,,,,,,,,,,,,
Yagara,,,,,,,,,,,,,,,,
Yalarnnga,,,,,,,,,,,,,,,,
Yandruwandha,,,,,,,,,,,,,,,,
Yannhangu,,,,,,,,,,,,,,,,
Yanyuwa,,,,,,,,,,,,,,,,
Yarluyandi,,,,,,,,,,,,,,,,
Yawarrawarrka,,,,,,,,,,,,,,,,
Yidiny,,,,,,,,,,,,,,,,
Yindjibarndi,,,,,,,,,,,,,,,,
Yindjilandji,,,,,,,,,,,,,,,,
Yiningay,,,,,,,,,,,,,,,,
Yirandali,,,,,,,,,,,,,,,,
YortaYorta,,,,,,,,,,,,,,,,
Yugambeh,,,,,,,,,,,,,,,,
Yulparija,,,,,,,,,,,,,,,,
Yuwaalaraay,kld,gami1243,xd970,,1,,Ualarai (B125),B125,,,,,,xd970,B125,0
