taxon,glottocode,xd_ids,soc_ids
AICHI,gifu1238,,
AKITA,akit1240,,
AOMORI,,,
CHIBA,chib1248,,
EHIME,,,
FUKUI,fuku1241,,
FUKUOKA,,,
FUKUSHIMA,fuku1243,,
GIFU,gifu1238,,
GUNMA,gunm1237,,
HIROSHIMA,,,
HOKKAIDO,hokk1243,,
HYOGO,,,
HACHIJO,hach1239,,
HATERUMA,hate1238,,
HIRARA,miya1260,xd642,Ed15a
HIROSHIMA,hiro1237,,
IBARAGI,ibar1242,,
IKEMA,,,
IRAFU,,,
ISHIGAKI,ishi1240,xd640,Ed13
ISHIKAWA,,,
IWATE,,,
KAGAWA,kaga1258,,
KAGOSHIMA,nort2935,,
KANAGAWA,kana1290,,
KOCHI,,,
KUMAMOTO,kuma1281,,
KYOTO,kyot1238,,
MIDDLE_JAPANESE,,,
MIE,miee1237,,
MIYAGI,,,
MIYAZAKI,miya1258,,
NAGANO,naga1408,,
NAGASAKI,naga1405,,
NARA,,,
NAZE,naze1238,,
NIGATA,niig1237,,
OITA,oita1237,,
OKAYAMA,okay1237,xd648,"Ed5, SCCS117"
OKINAWA,okin1244,xd650,Ed7
OLD_JAPANESE,oldj1239,,
OSAKA,osak1237,,
SAGA,saga1265,,
SAITAMA,,,
SHIGA,shig1237,,
SHIMANE,,,
SHIZUOKA,shiz1237,,
TAKETOMI,take1256,,
TARAMA,tara1319,,
TOCHIGI,toch1258,,
TOKUSHIMA,toku1245,,
TOKYO,toky1238,,
TOTTORI,tott1237,,
TOYAMA,toya1237,,
WAKAYAMA,waka1279,,
YAMAGATA,yama1262,,
YAMAGUCHI,yama1261,,
YAMANASHI,yama1263,,
YONAGUNI,yona1241,,
