id,related
WNAI40,EA: Sinkyone (Nb39) [Nb39]; Binford: Sinkyone (B166) [B166]
WNAI47,EA: Wintu (Nc14) [Nc14]; Binford: Wintu (B160) [B160]
WNAI46,EA: Chimariko (Nb33) [Nb33]; Binford: Chimariko (B162) [B162]
WNAI45,EA: Shasta (Nb32) [Nb32]; Binford: Shasta (B179) [B179]
WNAI44,EA: Shasta (Nb32) [Nb32]; Binford: Shasta (B179) [B179]
WNAI118,EA: Panamint (Nd32) [Nd32]; Binford: Death Valley Shoshoni (B192) [B192]; Binford: Panamint Shoshoni (B195) [B195]; Binford: Saline Valley Shoshoni (B200) [B200]
WNAI119,EA: Washo (Nd6) [Nd6]; Binford: Washo (B225) [B225]
WNAI112,EA: Klamath (Nc8) [Nc8]; Binford: Klamath (B189) [B189]; SCCS: Klamath (SCCS138) [SCCS138]
WNAI113,EA: Modoc (Nc9) [Nc9]; Binford: Modoc (B188) [B188]
WNAI110,EA: Wishram (Nd18) [Nd18]; Binford: Wishram (B319) [B319]
WNAI111,EA: Tenino (Nd1) [Nd1]; Binford: Tenino (B315) [B315]
WNAI116,EA: Kuyuidokado (Nd27) [Nd27]; Binford: Kuyuidokado (Pyramid Lake Paiute) (B208) [B208]
WNAI117,EA: Eastern Mono (Nd30) [Nd30]; Binford: Owens Valley Paiute (Eastern Mono) (B202) [B202]
WNAI114,EA: Wadadokado (Nd22) [Nd22]; Binford: Wadadokado Paiute (B231) [B231]; SCCS: Paiute (Northern) (SCCS137) [SCCS137]
WNAI115,EA: Kidutokado (Nd24) [Nd24]; Binford: Kidutokado (Surprise Valley Paiute) (B226) [B226]
WNAI8,
WNAI9,EA: Bellabella (Nb23) [Nb23]; Binford: Bella-Bella (B283) [B283]
WNAI6,Binford: Gitksan (B293) [B293]
WNAI7,EA: Haisla (Nb8) [Nb8]; Binford: Haisla (B287) [B287]
WNAI4,
WNAI5,EA: Tsimshian (Nb7) [Nb7]; Binford: Tsimshim (B289) [B289]
WNAI2,EA: Tlingit (Nb22) [Nb22]; Binford: Tlingit (B292) [B292]
WNAI171,EA: Isleta (Nh10) [Nh10]
WNAI172,EA: Jemez (Nh8) [Nh8]
WNAI1,
WNAI38,EA: Hupa (Nb35) [Nb35]; Binford: Hupa (B180) [B180]
WNAI39,EA: Wiyot (Nb36) [Nb36]; Binford: Wiyot (B184) [B184]
WNAI36,EA: Yurok (Nb4) [Nb4]; Binford: Yurok (B186) [B186]; SCCS: Yurok (SCCS134) [SCCS134]
WNAI37,EA: Karok (Nb34) [Nb34]; Binford: Karok (B182) [B182]
WNAI34,
WNAI35,EA: Tolowa (Nb6) [Nb6]; Binford: Tolowa (B178) [B178]
WNAI32,EA: Tututni (Nb31) [Nb31]; Binford: Tututni (B181) [B181]
WNAI33,
WNAI30,EA: Siuslaw (Nb29) [Nb29]
WNAI31,EA: Coos (Nb21) [Nb21]; Binford: Coos (B275) [B275]
WNAI149,EA: Western Apache (Nh17) [Nh17]
WNAI148,EA: Western Apache (Nh17) [Nh17]
WNAI141,EA: Yuma (Nh22) [Nh22]
WNAI140,EA: Mohave (Nh21) [Nh21]
WNAI143,EA: Cocopa (Nh19) [Nh19]
WNAI142,EA: Kamia (Nh20) [Nh20]
WNAI145,EA: Pima (Ni6) [Ni6]
WNAI144,EA: Maricopa (Nh5) [Nh5]
WNAI147,EA: Western Apache (Nh17) [Nh17]
WNAI146,EA: Papago (Ni2) [Ni2]; SCCS: Papago (SCCS151) [SCCS151]
WNAI29,EA: Alsea (Nb28) [Nb28]; Binford: Alsea (B269) [B269]
WNAI28,EA: Tillamok (Nb20) [Nb20]; Binford: Tillamook (B281) [B281]
WNAI25,EA: Puyallup (Nb17) [Nb17]; Binford: Puyallup (B270) [B270]
WNAI24,EA: Quinault (Nb25) [Nb25]; Binford: Quinault (B278) [B278]
WNAI27,EA: Chinook (Nb19) [Nb19]; Binford: Chinook (B274) [B274]
WNAI26,EA: Quileute (Nb18) [Nb18]; Binford: Quileute (B284) [B284]
WNAI21,EA: Lummi (Nb15) [Nb15]; Binford: Lummi (B277) [B277]
WNAI20,
WNAI23,EA: Twana (Nb2) [Nb2]; Binford: Twana (B271) [B271]; SCCS: Twana (SCCS133) [SCCS133]
WNAI22,EA: Klallam (Nb16) [Nb16]; Binford: Clallam (B285) [B285]
WNAI18,
WNAI19,EA: Stalo (Nb27) [Nb27]; Binford: Stalo (B279) [B279]
WNAI10,EA: Kwakiutl (Nb3) [Nb3]; Binford: Kwakiutl (B288) [B288]
WNAI11,EA: Bellacoola (Nb9) [Nb9]; Binford: Bella-Coola (B291) [B291]; SCCS: Bellacoola (SCCS132) [SCCS132]
WNAI12,EA: Nootka (Nb11) [Nb11]; Binford: Nootka (B273) [B273]
WNAI13,EA: Makah (Nb24) [Nb24]; Binford: Makah (B286) [B286]
WNAI14,EA: Klahuse (Nb12) [Nb12]
WNAI15,
WNAI16,EA: Squamish (Nb13) [Nb13]; Binford: Squamish (B268) [B268]
WNAI17,EA: Cowichan (Nb26) [Nb26]; Binford: Cowichan (B280) [B280]
WNAI90,EA: Diegueno (Nc6) [Nc6]; Binford: Diegueno (B147) [B147]
WNAI91,EA: Kiliwa (Nc34) [Nc34]; Binford: Kiliwa (B146) [B146]
WNAI92,
WNAI93,EA: Carrier (Na19) [Na19]; Binford: Carrier (B349) [B349]
WNAI94,EA: Carrier (Na19) [Na19]; Binford: Carrier (B349) [B349]
WNAI95,EA: Chilcotin (Nd8) [Nd8]; Binford: Chilcotin (B348) [B348]
WNAI96,EA: Shuswap (Nd11) [Nd11]; Binford: Shuswap (B333) [B333]
WNAI97,EA: Lillooet (Nd9) [Nd9]; Binford: Lillooet (B276) [B276]
WNAI98,EA: Thompson (Nd10) [Nd10]; Binford: Thompson (B325) [B325]
WNAI99,Binford: Okanagan (B322) [B322]
WNAI89,EA: Diegueno (Nc6) [Nc6]; Binford: Diegueno (B147) [B147]
WNAI88,
WNAI158,EA: Navaho (Nh3) [Nh3]
WNAI84,EA: Serrano (Nc30) [Nc30]; Binford: Serrano (B149) [B149]
WNAI156,EA: Jicarilla (Nh16) [Nh16]
WNAI157,EA: Navaho (Nh3) [Nh3]
WNAI154,EA: Mescalero (Nh15) [Nh15]
WNAI155,EA: Lipan (Nh24) [Nh24]; Binford: Lipan Apache (B240) [B240]
WNAI152,EA: Chiricahua (Nh1) [Nh1]; Binford: Chiricahua Apache (B242) [B242]; SCCS: Chiricahua (SCCS148) [SCCS148]
WNAI153,EA: Chiricahua (Nh1) [Nh1]; Binford: Chiricahua Apache (B242) [B242]; SCCS: Chiricahua (SCCS148) [SCCS148]
WNAI150,EA: Western Apache (Nh17) [Nh17]
WNAI151,EA: Western Apache (Nh17) [Nh17]
WNAI87,
WNAI86,
WNAI85,EA: Cahuilla (Nc31) [Nc31]; Binford: Cahuilla (B144) [B144]
WNAI80,EA: Salinan (Nc26) [Nc26]; Binford: Salinan (B164) [B164]
WNAI83,EA: Cupeno (Nc32) [Nc32]; Binford: Cupeno (B145) [B145]
WNAI82,EA: Luiseno (Nc33) [Nc33]; Binford: Luiseno (B150) [B150]
WNAI81,EA: Gabrielo (Nc29) [Nc29]; Binford: Gabrieleno (B156) [B156]
WNAI159,EA: Hopi (Nh18) [Nh18]
