id,xd_id,pref_name_for_society,glottocode,ORIG_name_and_ID_in_this_dataset,alt_names_by_society,main_focal_year,HRAF_name_ID,HRAF_link,origLat,origLong,Lat,Long,Comment,glottocode_comment
WNAI149,xd1267,Western Apache (San Carlos),west2615,San Carlos Western Apache (J149),"Ndee, Western Apache, San Carlos Western Apache",NA,Western (NT21),http://ehrafworldcultures.yale.edu/collection?owc=NT21,33.5,110.8,33.5,-110.8,Original,
WNAI150,xd1267,Western Apache (Cibecue),west2615,Cibecue Western Apache (J150),"Ndee, Western Apache, Cibecue Western Apache",NA,Western (NT21),http://ehrafworldcultures.yale.edu/collection?owc=NT21,34.6,110.6,34.6,-110.6,Original,
WNAI151,xd1267,Western Apache (White Mountain),west2615,White Mountain Western Apache (J151),"Ndee, Western Apache, White Mountain Western Apache",NA,Western (NT21),http://ehrafworldcultures.yale.edu/collection?owc=NT21,33.8,110,33.8,-110,Original,
WNAI152,xd1259,Chiricahua (Warm Springs),mesc1238,Warm Springs Chiricahua Apache (J152),"Chiricahua Apache, Eastern Apache, Warm Springs Chiricahua Apache",NA,Eastern Apache (NT08),http://ehrafworldcultures.yale.edu/collection?owc=NT08,33,108,33,-108,Original,
WNAI153,xd1259,Chiricahua (Huachuca),mesc1238,Huachuca Chiricahua Apache (J153),"Chiricahua Apache, Eastern Apache, Huachuca Chiricahua Apache",NA,Eastern Apache (NT08),http://ehrafworldcultures.yale.edu/collection?owc=NT08,31.8,110,31.8,-110,Original,
WNAI154,xd1265,Mescalero,mesc1238,Mescalero Apache (J154),Mescalero Apache,NA,,,32.5,105,32.5,-105,Original,
WNAI155,xd1275,Lipan Apache,lipa1241,Lipan Apache (J155),Lipan,NA,,,30,104,30,-104,Original,
WNAI156,xd1266,Jicarilla,jica1244,Jicarilla Apache (J156),Jicarilla Apache,NA,Jicarilla (NT26),in process,37,105.5,37,-105.5,Original,
WNAI157,xd1279,Navajo (Western),nava1243,Western Navaho (J157),"Diné Bizaad, Navaho, Western Navaho",NA,Navaho (NT13),http://ehrafworldcultures.yale.edu/collection?owc=NT13,36,112,36,-112,Original,
WNAI158,xd1279,Navajo (Eastern),nava1243,Eastern Navaho (J158),"Diné Bizaad, Navaho, Eastern Navaho",NA,Navaho (NT13),http://ehrafworldcultures.yale.edu/collection?owc=NT13,35.5,108.7,35.5,-108.7,Original,
WNAI159,xd1268,Hopi,hopi1249,Hopi (J159),Hopi of Old Oraiibi,NA,Hopi (NT09),http://ehrafworldcultures.yale.edu/collection?owc=NT09,36,110.5,36,-110.5,Original,
WNAI160,xd1280,Zuni,zuni1245,Zuni (J160),,NA,Zuni (NT23),http://ehrafworldcultures.yale.edu/collection?owc=NT23,35.2,108.9,35.2,-108.9,Original,
WNAI161,xd1263,Acoma,acom1246,Acoma (J161),,NA,,,35,107.5,35,-107.5,Original,
WNAI162,xd1276,Sia,ziaa1251,Sia Keres (J162),"Sia, Tsiya, Zia",NA,Zia Pueblo (NT38),http://ehrafworldcultures.yale.edu/collection?owc=NT38,35.3,106.5,35.3,-106.5,Original,
WNAI163,xd1262,Santa Ana,sant1426,Santa Ana Keres (J163),Santa Ana Keres,NA,,,35.2,106.4,35.2,-106.4,Original,
WNAI164,xd1278,Kewa,sant1425,Santo Domingo Keres (J164),"Kewa, Santo Domingo, Santo Domingo Pueblo",NA,,,35.3,106.1,35.3,-106.1,Original,
WNAI165,xd1283,Cochiti,coch1273,Cochiti (J165),,NA,,,35.6,106,35.6,-106,Original,
WNAI166,xd1429,Ohkay Owingeh,sanj1276,San Juan Tewa (J166),San Juan Tewa,NA,Tewa Pueblos (NT18),http://ehrafworldcultures.yale.edu/collection?owc=NT18,36.1,106.1,36.1,-106.1,Original,
WNAI167,xd1261,San Ildefonso,sani1273,San Ildefonso Tewa (J167),"San Ildefonso, Tewa, San Ildefonso Pueblo",NA,Tewa (NT18),http://ehrafworldcultures.yale.edu/collection?owc=NT18,35.9,106.2,35.9,-106.2,Original,"Note 8Feb2018: Not changed, as focus is the pueblo of San Ildefonso, despite comment from HH: ""Hopi Tewa now has its own language-level glottocode Arizona Tewa ariz1237"". However, ariz1237 now linked to another society in EA."
WNAI168,xd1277,Santa Clara,sant1421,Santa Clara Tewa (J168),Santa Clara Tewa,NA,,,36,106.3,36,-106.3,Original,
WNAI169,xd1430,Nambé Pueblo,namb1296,Nambe Tewa (J169),Nambe Tewa,NA,Tewa Pueblos (NT18),http://ehrafworldcultures.yale.edu/collection?owc=NT18,35.9,105.9,35.9,-105.9,Original,
WNAI170,xd1282,Taos,taos1236,Taos (J170),,NA,Taos (NT17),in process,36.5,105.5,36.5,-105.5,Original,
WNAI171,xd1260,Isleta,sout2961,Isleta (J171),,NA,,,34.8,106.7,34.8,-106.7,Original,
WNAI172,xd1284,Jemez,jeme1245,Jemez (J172),"Walatowa, Towa",NA,,,35.8,106.8,35.8,-106.8,Original,
