category,id,title,definition,type,units,source,changes,notes
Ecology,AnnualNetPrimaryProductionVariance,Variance in net primary production per month,Variance in net primary production per month,Continuous,,Moderate Resolution Imaging Spectroradiometer,,
Ecology,MonthlyMeanNetPrimaryProduction,Net primary production per month (grams of carbon uptake per square meter of land per month),Net primary production per month (grams of carbon uptake per square meter of land per month),Continuous,gC m-2 month-1,Moderate Resolution Imaging Spectroradiometer,,
Ecology,NetPrimaryProductionConstancy,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable because conditions are constant. Varies between 0 (completely unpredictable) and 1 (fully predictable).,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable because conditions are constant. Varies between 0 (completely unpredictable) and 1 (fully predictable).,Continuous,,Moderate Resolution Imaging Spectroradiometer,,
Ecology,NetPrimaryProductionContingency,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable because conditions oscillate in a very predictable manner.  Varies between 0 (completely unpredictable) and 1 (fully predictable).,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable because conditions oscillate in a very predictable manner.  Varies between 0 (completely unpredictable) and 1 (fully predictable).,Continuous,,Moderate Resolution Imaging Spectroradiometer,,
Ecology,NetPrimaryProductionPredictability,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable due to either constancy or contingency.  Varies between 0 (completely unpredictable) and 1 (fully predictable).,Colwell's (1974) information theoretic index. Indicates the extent to which a climate patterns are predictable due to either constancy or contingency.  Varies between 0 (completely unpredictable) and 1 (fully predictable).,Continuous,,Moderate Resolution Imaging Spectroradiometer,,
