taxon,glottocode,xd_ids,soc_ids
luba1249,luba1249,xd134,Ae16
luba1250,luba1250,"xd182, xd61","Ac35, Ae6"
luch1239,luch1239,xd52,Ac27
lugu1238,lugu1238,xd81,"Ad14, SCCS10"
luim1238,luim1238,xd53,Ac28
lund1266,lund1266,xd72,Ac6
luse1252,luse1252,xd148,Ae29
luun1238,luun1238,xd60,Ac34
luva1239,luva1239,xd35,Ac11
makh1264,makh1264,xd69,Ac42
mako1251,mako1251,xd68,Ac41
mama1271,mama1271,xd268,Ag31
mamb1296,mamb1296,xd70,Ac43
mamp1244,mamp1244,xd284,Ag46
manz1243,manz1243,xd353,Ai24
masa1299,masa1299,xd126,Ad9
mbal1257,mbal1257,xd39,Ac15
mban1263,mban1263,xd354,Ai25
mbes1238,mbes1238,xd156,Ae36
mbug1242,mbug1242,xd120,Ad5
mbul1258,mbul1258,xd249,Ag14
mbum1254,mbum1254,xd342,Ai14
meru1245,meru1245,xd104,Ad35
meta1238,meta1238,xd181,Ae59
mmen1238,mmen1238,xd174,Ae52
moba1244,moba1244,xd289,Ag50
moch1256,moch1256,xd98,Ad3
mokp1239,mokp1239,xd138,Ae2
momj1237,momj1237,xd323,Ah32
moss1236,moss1236,"xd255, xd285","Ag2, Ag47"
mpon1252,mpon1252,xd11,Ab10
mpuo1241,mpuo1241,xd46,Ac21
mund1325,mund1325,xd343,Ai15
mung1266,mung1266,xd170,Ae49
mwer1247,mwer1247,xd65,Ac39
myen1241,myen1241,xd167,Ae46
nank1249,nank1249,xd247,Ag12
ndas1238,ndas1238,xd162,Ae41
ndau1241,ndau1241,xd18,Ab17
ndon1254,ndon1254,xd20,Ab19
ndoo1241,ndoo1241,xd316,Ah26
ngan1302,ngan1302,xd142,Ae23
ngba1284,ngba1284,xd352,Ai23
ngon1268,ngon1268,xd83,Ad16
ngon1269,ngon1269,xd75,Ac9
ngul1246,ngul1246,xd122,Ad51
njye1238,njye1238,xd161,Ae40
nkhu1238,nkhu1238,xd22,Ab20
nkun1238,nkun1238,xd160,"Ae4, SCCS14"
nort2765,nort2765,xd197,Af2
nort2774,nort2774,xd355,Ai26
nort2775,nort2775,xd381,Ai7
nort2795,nort2795,xd32,Ab9
ntch1242,ntch1242,xd286,Ag48
nucl1240,nucl1240,xd322,Ah31
nucl1347,nucl1347,xd469,"Cb2, SCCS21"
nucl1395,nucl1395,xd64,Ac38
nucl1396,nucl1396,xd67,Ac40
nucl1417,nucl1417,xd187,"Af10, SCCS17"
nupe1254,nupe1254,xd242,Af8
nyak1261,nyak1261,xd123,"Ad6, SCCS8"
nyam1275,nyam1275,xd82,Ad15
nyam1276,nyam1276,xd88,Ad20
nyan1305,nyan1305,xd30,Ab7
nyan1307,nyan1307,xd115,Ad45
nyat1246,nyat1246,xd94,Ad26
nyor1246,nyor1246,xd87,Ad2
orok1266,orok1266,xd166,Ae45
pape1239,pape1239,xd256,Ag20
pemb1239,pemb1239,xd97,Ad29
phen1239,phen1239,xd44,Ac2
pimb1238,pimb1238,xd89,Ad21
poke1238,poke1238,xd145,Ae26
poko1261,poko1261,xd102,Ad33
pula1262,pula1262,xd294,Ag6
pula1263,pula1263,xd473,Cb23
resh1242,resh1242,xd304,Ah15
rund1242,rund1242,xd184,Ae8
safw1238,safw1238,xd84,Ad17
saka1287,saka1287,xd49,Ac24
sama1300,sama1300,xd23,Ab21a
samb1305,samb1305,xd318,Ah28
samb1311,samb1311,xd319,Ah29
sang1330,sang1330,xd91,Ad23
sang1331,sang1331,xd137,Ae19
sans1272,sans1272,xd38,Ac14
sapo1251,sapo1251,xd229,Af49
sere1260,sere1260,xd258,Ag22
sham1280,sham1280,xd77,Ad10
sher1258,sher1258,xd191,Af14
shii1238,shii1238,xd131,Ae13
shon1251,shon1251,xd19,Ab18
siwu1238,siwu1238,xd216,Af37
soga1242,soga1242,xd116,Ad46
sond1250,sond1250,xd54,Ac29
song1299,song1299,xd50,Ac25
song1300,song1300,xd129,Ae11
song1303,song1303,xd136,Ae18
sout2782,sout2782,xd340,Ai12
sout2789,sout2789,xd276,Ag39
sout2790,sout2790,"xd273, xd288","Ag36, Ag5"
sout2795,sout2795,xd280,Ag42
sout2807,sout2807,xd31,Ab8
suku1259,suku1259,xd41,"Ac17, SCCS6"
suku1261,suku1261,xd90,Ad22
sumb1240,sumb1240,xd117,Ad47
swat1243,swat1243,xd21,Ab2
tait1250,tait1250,xd106,Ad37
taln1239,taln1239,xd277,"Ag4, SCCS23"
taro1263,taro1263,xd312,Ah22
teke1278,teke1278,xd43,Ac19
temi1247,temi1247,xd108,Ad39
temm1241,temm1241,xd291,Ag52
tete1250,tete1250,xd144,Ae25
tige1238,tige1238,xd180,Ae58
tigo1236,tigo1236,xd315,Ah25
timn1235,timn1235,xd238,Af57
tivv1240,tivv1240,xd320,"Ah3, SCCS16"
tong1318,tong1318,xd56,Ac30
tong1321,tong1321,xd37,Ac13
toor1238,toor1238,xd118,Ad48
town1238,town1238,xd55,"Ac3, SCCS7"
tsog1243,tsog1243,xd40,Ac16
tson1249,tson1249,xd27,"Ab4, SCCS3"
tswa1253,tswa1253,xd14,Ab13
tswe1238,tswe1238,xd16,Ab15
tumb1250,tumb1250,xd62,Ac36
tumu1242,tumu1242,xd278,Ag40
tune1261,tune1261,xd173,"Ae51, SCCS15"
tupu1244,tupu1244,xd349,Ai20
umbu1257,umbu1257,xd28,"Ab5, SCCS5"
