taxon,language,glottocode,xd_ids,soc_ids
borong,Kosorong,boro1279,,
burum,Burum,buru1306,,
dedua,Dedua,dedu1240,,
kate,Kâte,kate1253,,
komba,Komba,komb1273,,
kube,Hube,kube1244,,
mape,Mape,mape1249,,
mesem,Mese,mese1244,,
mindik,Mindik,buru1306,,
nabak,Nabak,naba1256,,
ono,Ono,onoo1246,,
selepet,Selepet,sele1250,,
timbe,Timbe,timb1251,,
tobo,Tobo,tobo1251,,
