taxon,glottocode,xd_ids,soc_ids
wapp1239,wapp1239,xd1119,"B172, WNAI66, Nc20"
yuki1243,yuki1243,"xd1138, xd1114, xd1113","Nc16, B177, B171, Nc15, WNAI60, WNAI61, Nc7"
