taxon,glottocode,xd_ids,soc_ids
Brahui,brah1256,,
Malto,saur1249,,
Kurukh,kuru1302,xd668,Ef6
Ollari_Gadba,pott1240,,
Parji,duru1236,,
Kolami,nort2699,,
Kuwi,kuvi1243,,
Gondi,nort2702,xd676,Eg13
Koya,koya1251,xd674,Eg11
Telugu,telu1262,xd673,Eg10
Tamil,tami1289,xd678,Eg2
Malayalam,mala1464,xd682,Eg6
Kannada,nucl1305,,
Kodava,koda1255,xd681,Eg5
Tulu,tulu1258,,
Yeruva,ravu1237,,
Toda,toda1252,xd680,Eg4
Kota,kota1263,,
Badga,bada1257,,
Betta_Kurumba,bett1235,,
