Name_on_tree_tip,xd_id,soc_id,fixed_order
Argobba,,,
Akkadian,,,
Amharic,xd455,"Ca7, SCCS37",0
Moroccan.Arabic,"xd514, xd513","Cd16, Cd15",1
Mehri,,,
Geez,,,
Gafat,,,
Soddo,,,
Harari,,,
Hebrew,xd589,"Cj3, SCCS44",0
Harsusi,,,
Innemor,,,
Mesqan,,,
Mesmes,,,
Chaha,xd456,Ca8,0
Geto,,,
Jibbali,,,
Soqotri,,,
Tigre,"xd446, xd444","Ca38, Ca36",1
Tigrinya,xd437,Ca3,0
Walani,,,
Zway,,,
Aramaic,,,
Ugaritic,,,
Ogaden.Arabic,,,
