90844	borong	cloud	mcelhanon-1967	koosuk	cloud	094.1dfe
91922	borong	wind	mcelhanon-1967	haamok	wind	
91250	borong	to-hit	mcelhanon-1967	kpe-	(he) hit him	094.1f2f
92300	borong	to-shoot	mcelhanon-1967	do-	(he) shoots	
90858	borong	rain	mcelhanon-1967	koŋ	rain	f51
91628	borong	bone	mcelhanon-1967	siita	(its) bone	094.1f1a
91264	borong	to-know	mcelhanon-1967	mo-	(he) knows	094.1dea
91460	borong	woman	mcelhanon-1967	embak	woman	094.1e2b
91278	borong	sand	mcelhanon-1967	sakasiŋ	sand	094.1e98
91726	borong	there	mcelhanon-1967	endu	there	094.1e1a
90662	borong	breast	mcelhanon-1967	adzu-	breast	094.1e97
92314	borong	to-count	mcelhanon-1967	weeŋgo-	(he) counts	
90872	borong	belly	mcelhanon-1967	keri-	(its) belly	094.1f2c
91474	borong	man	mcelhanon-1967	edzak	man	
91292	borong	stone	mcelhanon-1967	dzamok	stone	
91642	borong	he-she	mcelhanon-1967	i	he	094.1ec0
91306	borong	mountain	mcelhanon-1967	baaŋa	mountain	094.1eb4
91936	borong	sky	mcelhanon-1967	siwek	sky	
91320	borong	ashes	mcelhanon-1967	took	ashes	
92174	borong	old	mcelhanon-1967	kerugaha	old	
90886	borong	nose	mcelhanon-1967	sewaŋ-	(its) nose	
91558	borong	tail	mcelhanon-1967	dzi-	(its) tail	094.1ecf
91334	borong	earth	mcelhanon-1967	namok	earth	
92048	borong	animal	mcelhanon-1967	osoŋ	animal	094.1f3d
91348	borong	leaf	mcelhanon-1967	seŋ-	(its) leaf	094.1ed5
92034	borong	snake	mcelhanon-1967	mokoleŋ	snake	094.1e26
90508	borong	what	mcelhanon-1967	namuŋak	what	
92286	borong	rope	mcelhanon-1967	dzowak	rope	
90564	borong	two	mcelhanon-1967	woik	two	094.1e05
91656	borong	you-pl	mcelhanon-1967	oŋo	ye	094.1f1d
90676	borong	to-come	mcelhanon-1967	waa-	(he) comes	
92160	borong	to-spit	mcelhanon-1967	sulaak-	(he) spits	
90900	borong	heart	mcelhanon-1967	bakota	(its) heart	
91838	borong	to-push	mcelhanon-1967	kpetanoke-	(he) pushes	
91362	borong	tree	mcelhanon-1967	ik	tree	094.1f55
91572	borong	meat	mcelhanon-1967	busi-	(its) meat	094.1f13
91376	borong	root	mcelhanon-1967	tiita-	(its) root	
91740	borong	right-side	mcelhanon-1967	orowak	right (side)	
90928	borong	neck	mcelhanon-1967	are-	its neck	
92062	borong	back	mcelhanon-1967	gemasit-	(its) back	094.1e38
91390	borong	seed	mcelhanon-1967	kota	(its) seed	094.1e6e
91670	borong	they	mcelhanon-1967	ioŋoŋoŋ	they	
91404	borong	ear	mcelhanon-1967	gedza-	(its) ear	094.1ebc
91488	borong	blood	mcelhanon-1967	saya	(its) blood	094.1f5d
91418	borong	louse	mcelhanon-1967	imoŋ	louse	094.1e02
91950	borong	dust	mcelhanon-1967	ilawela	dust	
90690	borong	to-sit	mcelhanon-1967	ra-	(he) sits	094.1f0a
91754	borong	left-side	mcelhanon-1967	kanik	left side	094.1e22
90942	borong	hair	mcelhanon-1967	dzui-	(its) hair	094.1f40
