id,category,title,definition,type,units,source,changes,notes
Biome,Ecology,Biome,Classification by Olson et al. (2001) of the earth into fourteen units that host similar formations of plants and animals due to their climates. A single biome can be found over a range of continents.,Categorical,,,,1988
EcoRegion,Ecology,EcoRegion,Classification by Olson et al. (2001) of the earth into zones (ecoregions) encompassing distinct biotas. Ecoregions are nested within Biomes.,Categorical,,,,1981
