id,category,title,definition,type,units,source,changes,notes
Elevation,Physical Landscape,Meters above sea level,Meters above sea level,Continuous,masl,Global Multi-resolution Terrain Elevation Data 2010,,
Slope,Physical Landscape,Mean incline (in degrees) in the terrain (unit of sample 0.5 by 0.5 degree cell),Mean incline (in degrees) in the terrain (unit of sample 0.5 by 0.5 degree cell),Continuous,degrees,Global Multi-resolution Terrain Elevation Data 2010,,
