taxon,glottocode,xd_ids,soc_ids
assi1247,assi1247,xd1210,"B257, Ne11"
cata1286,cata1286,xd1258,Ng9
crow1244,crow1244,xd1223,"B248, Ne4"
dako1258,dako1258,xd1220,Ne20
hida1246,hida1246,xd1214,Ne15
hoch1243,hoch1243,xd1236,Nf2
iowa1246,iowa1246,xd1230,Nf10
lako1247,lako1247,xd1227,"B249, Ne8"
mand1446,mand1446,xd1225,Ne6
omah1248,omah1248,xd1237,Nf3
otoo1241,otoo1241,xd1231,Nf11
ponc1241,ponc1241,xd1232,Nf12
