Name_on_tree_tip,xd_id,soc_id,fixed_order
Bar,,,
Bas,,,
Des,,,
Kar,,,
Kor,,,
Kub,xd1369,"Se5, SCCS167",0
Kue,,,
Mai,,,
Mak,,,
Pir,,,
Pis,,,
Sek,,,
Sio,,,
Sir,,,
Tan,,,
Tat,,,
Tuk,xd1365,Se12,0
Tuy,,,
Wan,,,
Yup,,,
Yur,,,
