Directory	Name	Author	Year	Scaling	Reference
bouckaert_et_al2012	Indo-European (Bouckaert et al. 2012)	Bouckaert	2012	time	"Bouckaert, R. R., Lemey, P., Dunn, M., Greenhill, S. J., Alekseyenko, A. V, Drummond, a. J., ? Atkinson, Q. D. (2012). Mapping the Origins and Expansion of the Indo-European Language Family. Science, 337(6097), 957?960. http://doi.org/10.1126/science.1219669"
bowern_and_atkinson2012	Pama-Nyungen (Bowern and Atkinson 2012)	Bowern & Atkinson	2012	change	"Bowern, C., & Atkinson, Q. D. (2012). Computational phylogenetics and the internal structure of Pama-Nyungan. Language, 88(4), 817?845. Retrieved from http://muse.jhu.edu/journals/language/v088/88.4.bowern.html"
dunn_et_al2011	Uto-Aztecan (Dunn et al. 2011)	Dunn et al.	2011	change	"Dunn, M., Greenhill, S. J., Levinson, S. C., & Gray, R. D. (2011). Evolved structure of language shows lineage-specific trends in word-order universals. Nature, 473(7345), 79?82. http://doi.org/10.1038/nature09923"
gray_et_al2009	Austronesian (Gray et al. 2009)	Gray et al.	2009	time	"Gray, R. D., Drummond, A. J., & Greenhill, S. J. (2009). Language phylogenies reveal expansion pulses and pauses in Pacific settlement. Science, 323(5913), 479?83. http://doi.org/10.1126/science.1166858"
grollemund_et_al2015	Bantu (Grollemund et al. 2015)	Grollemund et al.	2015	time	"Grollemund, R., Branford, S., Bostoen, K., Meade, A., Venditti, C., & Pagel, M. (2015). Bantu expansion shows habitat alters the route and pace of human dispersals. Proceedings of the National Academy of Sciences of the USA. http://doi.org/10.1073/pnas.1503793112"
kitchen_et_al2009	Semitic (Kitchen et al. 2009)	Kitchen et al.	2009	time	"Kitchen, A., Ehret, C., Assefa, S., & Mulligan, C. J. (2009). Bayesian phylogenetic analysis of Semitic languages identifies an Early Bronze Age origin of Semitic in the Near East. Proceedings of the Royal Society B: Biological Sciences, 270(1668), 2703?10. http://doi.org/10.1098/rspb.2009.0408"
