taxon,glottocode,xd_ids,soc_ids
chic1272,chic1272,xd1290,"B191, Ni5"
huau1238,huau1238,xd1304,Nj5
juxt1235,juxt1235,xd1298,Nj12
mezq1235,mezq1235,xd1299,Nj13
ojit1237,ojit1237,xd1295,Nj1
yala1267,yala1267,xd1296,Nj10
