id,society_name,lat,long,source,iso
Id13,Groote Eylandt,-14,137,EA,aoi
Ah6,Gure,10,8,EA,grh
Ad12,Gusii,-1,35,EA,guz
Ae14,Ha,-5,30,EA,haq
Ad29,Hadimu,-6,40,EA,swh
Ad42,Haya,-1,32,EA,hay
Ad8,Hehe,-8,35,EA,heh
Ab1,Herero,-21,16,EA,her
Ae15,Hunde,-2,28,EA,hke
Af20,Ibibio,5,8,EA,ibb
Ac1,Ila,-16,27,EA,ilb
Ad15,Iwa,-10,32,EA,mwn
Ah23,Jibu,8,11,EA,jib
Ah2,Jukun,8,10,EA,jbu
Ah19,Kadara,10,8,EA,kad
Ah20,Kagoro,10,8,EA,kcg
Ad50,Kaguru,-6,37,EA,kki
Ad34,Kamba,-2,38,EA,kam
Ah14,Kamuku,11,6,EA,cdr
Ac32,Kaonde,-13,26,EA,kqn
Ad38,Kara,-2,33,EA,reg
Ah1,Katab,10,8,EA,kcg
Ae21,Kela,-3,23,EA,kel
Ah24,Kentu,7,10,EA,ich
Ad43,Kerewe,-3,33,EA,ked
Ad4,Kikuyu,-1,37,EA,kik
Ab21a,Kisama,-10,14,EA,smd
Ae53,Koko,4,11,EA,NA
Ae54,Kom,6,10,EA,bkm
Ac14,Kongo,-7,15,EA,kwy
Ad44,Konjo,-1,30,EA,koo
Ae41,Kota,1,14,EA,koq
Ae5,Bamileke,5,10,EA,NA
Ac4,Kuba,-5,22,EA,NA
Ae32,Kumu,-1,27,EA,kmw
Ac37,Kunda,-15,32,EA,kdn
Ae45,Kundu,10,9,EA,bdu
Ah21,Kurama,10,9,EA,krh
Ae22,Kutshu,-4,22,EA,ksv
Ad27,Kwere,-7,39,EA,NA
Ac13,Lake Tonga,-12,34,EA,tog
Ac33,Lala,-15,31,EA,leb
Ae23,Lalia,-1,23,EA,lal
Ac5,Lamba,-13,28,EA,lam
Ac23,Lele,-5,21,EA,lel
Ab16,Lenge,-25,34,EA,cce
Ae27,Lokele,1,25,EA,khy
Ab14,Lovedu,-24,31,EA,nso
Ab3,Lozi,-15,23,EA,loz
Ac34,Luapula,-10,29,EA,bem
Ae6,Luba,-8,26,EA,NA
Ac27,Luchazi,-13,23,EA,lch
Ad14,Luguru,-8,38,EA,ruf
Ac28,Luimbe,-12,18,EA,lum
Ae16,Lulua,-6,23,EA,lua
Ac11,Luvale,-12,22,EA,lue
Ae59,Eidekum,6,10,EA,NA
Ac41,Makonde,-11,40,EA,kde
Ac42,Makua,-15,39,EA,NA
Ah4,Mambila,7,12,EA,mcu
Ac15,Mbala,-5,18,EA,mdp
Ad5,Mbugwe,-4,36,EA,mgz
Ab5,Mbundu,-12,16,EA,NA
Aa5,Mbuti,2,28,EA,les
Ad35,Meru,0,35,EA,mer
Ae24,Mongo,1,22,EA,lol
Ae46,Mpongwe,-2,10,EA,mye
Ae33,Ndaka Babali,1,27,EA,bcp
Ab17,Ndau,-20,34,EA,ndc
Ab9,Ndebele,-20,28,EA,nde
Ac6,Ndembu,-11,26,EA,lun
Ae55,Ndob,6,10,EA,tik
Ae9,Fut,6,10,EA,bfd
Ah26,Ndoro,7,11,EA,ndr
Ae28,Ngala,1,18,EA,NA
