ISO,LMP_LAT,LMP_LON
zmy,-13.76571,129.88477
xru,-14.26490,129.53627
zmg,-14.00440,129.85668
mpj,-24.30166,122.02575
vma,-20.92102,116.63356
mph,-11.81584,133.19816
xmy,-18.11468,140.33745
mnt,-20.43524,140.48053
vmb,-20.13889,143.43797
mvl,-24.46000,136.64100
zmv,-14.52902,143.78882
mep,-16.37227,128.90539
vmi,-14.34845,126.92120
mwd,-16.78030,132.21102
mpb,-13.25667,130.65946
vmu,-17.06013,145.32900
mwf,-14.39221,129.74133
zmu,-28.96178,146.54642
nck,-12.07449,134.29963
nam,-14.26697,131.16512
nay,-36.23007,140.15755
ntj,-25.59911,127.76648
nju,-32.23139,124.19403
nig,-14.42805,134.71647
ngk,-13.78231,133.98152
nmv,-27.17971,138.70084
nid,-12.84476,134.64913
nyx,-29.58100,151.31300
nbj,-15.50219,130.64996
ung,-16.34724,126.46321
nlr,-20.21088,119.31037
nrl,-20.89472,117.18443
nxn,-19.44839,141.47104
nbx,-29.24114,143.21593
nrx,-12.64830,132.50752
nha,-26.63134,114.38273
nhf,-21.15889,115.97987
nad,-22.76430,120.69634
nmp,-17.37396,123.22832
nnv,-31.98991,133.90787
nug,-14.91093,131.64050
nuy,-13.92905,135.73231
nly,-20.97041,119.80535
nny,-16.74001,138.02317
nna,-20.73496,121.58422
nyt,-18.87429,146.21560
nyh,-18.00635,124.24897
nyv,-16.91292,122.85075
nys,-33.11995,118.15081
pkn,-15.08103,142.79704
pnw,-22.76183,118.73796
pnv,-22.48259,116.47658
pii,-26.76990,121.91246
pti,-29.93756,127.51490
piu,-23.16735,130.80012
bxi,-29.52400,139.77000
pjt,-26.95012,131.24226
pit,-22.79522,139.98275
rmb,-13.00821,134.27635
rit,-13.52623,135.19142
thd,-14.82163,142.01589
typ,-14.82924,143.32412
tbh,-35.28532,147.47512
tiw,-11.56136,130.80932
tju,-22.84200,118.26700
woa,-12.48854,130.66566
umd,-13.92100,143.32815
umr,-12.93247,131.82455
umg,-14.25876,143.63050
ump,-13.17389,143.45434
urf,-12.06792,142.13487
urc,-13.47664,133.02310
wdj,-12.88915,130.66169
wdu,-23.80289,147.42089
wga,-20.32900,137.62348
waq,-13.77667,131.86325
wbv,-28.15486,117.23012
wkw,-26.24803,151.86800
wmt,-19.60675,126.07361
wmb,-17.45217,135.67438
wmi,-18.37266,143.94347
wnd,-14.29959,135.70480
wyb,-30.71694,146.15518
wnm,-24.70217,137.43344
wgg,-25.81485,135.94079
wbt,-22.64766,122.44837
wrz,-13.09414,131.23575
wrr,-15.51558,132.78047
wri,-24.35300,116.92700
wrl,-18.93836,133.84970
wbp,-20.16941,131.24478
wrb,-22.29092,138.73801
wgy,-18.54808,146.16612
wwr,-17.09646,123.97143
wrm,-19.22333,134.18592
wrg,-18.24957,144.37004
wik,-13.68624,141.55772
wie,-13.84599,141.85775
wij,-14.12779,142.74342
wif,-14.26486,142.00476
wih,-14.06436,141.92809
wim,-13.73431,141.79020
wig,-13.87081,141.52541
wua,-13.48742,141.59705
wil,-14.91051,126.60003
wrh,-34.07423,145.99414
wiw,-31.71786,132.07089
kda,-32.48064,152.10658
unp,-15.95438,124.64610
wlu,-24.41500,149.84300
wux,-12.32054,131.24942
wub,-15.34526,125.33821
wur,-11.36400,132.30300
ylr,-21.73100,139.51100
ynd,-28.47439,140.58294
jng,-14.49642,132.52004
kdd,-26.42627,133.57212
jay,-12.09388,134.87443
jao,-15.77551,135.89275
yww,-26.73343,140.87095
ywr,-18.01005,122.79483
yii,-17.15404,145.86376
yij,-21.54524,117.07418
yil,-19.24252,137.58940
yia,-25.46434,115.63743
yiy,-15.11044,141.77485
yub,-27.80300,153.08200
rop,-18.13500,137.66900
tcs,-11.06600,142.69200
asw,-12.73709,136.30100
asf,-37.56293,145.87165
ulk,-9.91044,144.05763
bpl,-17.92695,122.23344
asq,48.11967,16.22499
bar,47.81682,13.25656
azj,40.26286,47.46247
bdk,41.24139,48.33895
kjf,38.64296,48.85162
kjj,41.17913,48.05821
kry,41.17885,48.18208
tly,38.74522,48.62614
ttt,41.09124,48.75129
tkr,41.55684,46.86823
udi,40.89675,47.72075
bah,24.70564,-78.04446
tnq,25.05418,-77.41868
abv,26.00272,50.56950
ben,24.06955,89.97996
ccp,23.29076,92.16865
ctg,22.28719,92.10436
cdz,24.53461,88.51118
rmz,22.42403,92.31767
mef,25.12981,91.04150
mro,21.72544,92.44701
pkh,22.64916,92.45905
rkt,25.79969,88.95058
sdr,25.28502,89.01633
syl,24.91251,91.97996
tnv,22.37930,92.49255
tpe,23.27153,91.98902
usi,21.91580,92.44549
aml,24.56442,92.04131
bjs,13.16731,-59.55495
bel,53.54239,28.05363
vgt,51.04467,3.02790
sfb,50.30954,5.03434
vls,51.01357,3.05917
wln,50.31748,5.14872
bzj,17.39785,-88.50816
mop,16.68886,-88.69596
aug,7.54303,1.74091
ajg,6.97793,1.76127
blo,9.21671,1.67144
bba,10.22141,2.62001
beh,10.77580,1.04245
bqc,10.25625,3.33827
ddn,11.73223,3.29129
tbz,9.40013,1.95308
cbj,8.37055,2.53304
ica,8.41275,1.84158
idd,7.75521,2.27577
ijj,7.10649,2.64003
nqg,7.44045,2.65731
nqk,9.43921,1.49361
xkb,8.97819,1.84584
fon,7.21958,2.17158
fod,9.56297,1.40228
fue,10.92358,3.40995
ayb,6.64994,2.22016
cib,6.85322,2.01810
gbh,6.40795,2.68660
gbx,6.38928,2.56083
gbs,6.54703,2.03334
kqk,6.64380,1.73329
mxl,8.15378,2.14719
sxw,6.60152,1.92499
tfi,6.51010,2.43473
wem,6.78089,2.48114
xwl,6.29804,1.88453
xwe,6.40239,2.02286
guw,6.52222,2.59426
dop,9.44782,1.85221
mql,10.46452,0.93859
soy,9.96673,1.40604
mkl,11.05616,3.05567
ntm,10.48434,1.29367
bly,10.70569,1.27549
bqa,8.42723,2.55275
wwa,10.59284,1.67495
pil,9.84193,1.79538
adp,27.13780,90.33616
bro,27.65289,90.65003
sgt,27.33680,91.98742
kjz,27.63744,90.74346
tgf,27.32016,91.25909
cgk,27.47975,91.21506
dka,27.37522,91.82228
dzl,27.78518,91.38925
dzo,27.48473,89.73722
goe,27.06592,91.16799
xkf,27.08761,90.88402
xkz,27.77672,91.00441
lkh,27.63192,90.30973
lya,28.07075,89.70637
lhp,26.91504,89.30663
luk,28.12933,90.11325
npb,27.42932,90.53413
neh,27.37319,90.37397
ole,27.29284,90.55572
tsj,27.11883,91.39715
aro,-12.42032,-67.72562
ayr,-17.68365,-68.23123
brg,-13.12949,-64.18585
bvl,-16.38949,-67.57823
caw,-15.88451,-68.10176
caz,-14.09545,-64.91855
cav,-13.37814,-66.61171
cyb,-13.24822,-65.48219
cao,-12.10047,-66.69048
cap,-18.74467,-67.89966
cax,-17.65922,-59.92685
ese,-12.32414,-68.45973
gui,-19.88578,-63.04695
gnw,-20.43645,-64.10134
gyr,-15.88728,-61.62019
ign,-15.11785,-65.39532
ite,-12.29945,-64.98409
ito,-12.81008,-64.35833
jor,-15.74923,-63.20942
lec,-15.00922,-67.88181
mzp,-13.82386,-65.63081
pcp,-11.99498,-65.55662
psm,-12.85527,-63.19031
qul,-14.48649,-68.71715
quh,-19.80112,-66.38119
rey,-14.63704,-67.00124
sar,-11.94232,-65.39446
snh,-14.37979,-62.34039
srq,-15.50165,-63.97023
tna,-13.36994,-68.05712
tno,-13.21630,-68.64499
trn,-15.30953,-65.37744
cas,-14.64692,-67.83074
ure,-16.72618,-68.97190
mtp,-21.67575,-63.29461
yuq,-16.79929,-64.94854
yuz,-16.70820,-65.10205
bos,44.17453,17.78143
hnh,-19.06392,22.96317
brl,-22.35528,28.15541
gnk,-21.78070,22.31348
gwj,-22.29781,22.05850
huc,-23.94004,24.76275
ktz,-19.62308,21.61438
xkv,-23.70811,22.12660
tyu,-21.85940,26.06263
nhr,-22.17840,21.57212
shg,-20.72794,26.26589
hio,-22.73125,25.81165
tsn,-23.25667,21.39171
two,-22.96906,27.30757
nmn,-24.20159,21.64203
yey,-19.56084,23.65565
acs,-12.59400,-40.21445
avo,-13.29849,-53.43936
tba,-12.67125,-60.53345
ama,-3.79772,-48.66126
adw,-9.04525,-62.31393
