dataset,soc_id,origLat,origLong,Lat,Long,Comment
Binford,B209,40.22,-111.81,40.22,-111.81,Original
Binford,B21,11.9,77.21,11.9,77.21,Original
Binford,B210,40.12,-118.37,40.12,-118.37,Original
Binford,B211,37.69,-118.14,37.69,-118.14,Original
Binford,B212,40.27,-120.44,40.27,-120.44,Original
Binford,B213,41.55,-112.22,41.55,-112.22,Original
Binford,B214,39.88,-114,39.88,-114,Original
Binford,B215,39.19,-114.48,39.19,-114.48,Original
Binford,B216,41,-117.31,41,-117.31,Original
Binford,B217,38.33,-115.78,38.33,-115.78,Original
Binford,B218,39.25,-117.32,39.25,-117.32,Original
Binford,B219,37,-119.07,37,-119.07,Original
Binford,B22,44.01,144.17,44.01,144.17,Original
Binford,B221,41.59,-113.94,41.59,-113.94,Original
Binford,B222,37.67,-109,37.67,-109,Original
Binford,B223,43.94,-120.49,43.94,-120.49,Original
Binford,B224,40.19,-114.24,40.19,-114.24,Original
Binford,B225,39.08,-119.82,39.08,-119.82,Original
Binford,B226,41.5,-120.06,41.5,-120.06,Original
Binford,B227,43.19,-108.86,43.19,-108.86,Original
Binford,B228,40.36,-115.39,40.36,-115.39,Original
Binford,B229,43,-112,43,-112,Original
Binford,B23,51.91,122.5,51.91,122.5,Original
Binford,B230,40.47,-110.22,40.47,-110.22,Original
Binford,B231,43.25,-119.14,43.25,-119.14,Original
Binford,B232,45.17,-113.84,45.17,-113.84,Original
Binford,B233,39.33,-115.84,39.33,-115.84,Original
Binford,B234,38.14,-107.8,38.14,-107.8,Original
Binford,B24,62,90,62,90,Original
Binford,B240,28.96,-98.48,28.96,-98.48,Original
Binford,B241,36.83,-100.5,36.83,-100.5,Original
Binford,B242,32.52,-101.76,32.52,-101.76,Original
Binford,B243,36.9,-99.1,36.9,-99.1,Original
Binford,B244,35.83,-98.9,35.83,-98.9,Original
Binford,B245,38.83,-102.35,38.83,-102.35,Original
Binford,B246,40.13,-102.72,40.13,-102.72,Original
Binford,B248,45.83,-108.48,45.83,-108.48,Original
Binford,B249,44.5,-102.27,44.5,-102.27,Original
Binford,B25,51.54,140,51.54,140,Original
Binford,B250,47.48,-114.08,47.48,-114.08,Original
Binford,B252,43.66,-112.32,43.66,-112.32,Original
Binford,B253,48.12,-105.6,48.12,-105.6,Original
Binford,B254,47.6,-97.25,47.6,-97.25,Original
Binford,B255,49.34,-111.21,49.34,-111.21,Original
Binford,B256,51.01,-110.76,51.01,-110.76,Original
Binford,B257,49.49,-102.43,49.49,-102.43,Original
Binford,B258,51.86,-102.67,51.86,-102.67,Original
Binford,B259,52.79,-113.86,52.79,-113.86,Original
Binford,B26,70,145,70,145,Original
Binford,B260,53.15,-111.04,53.15,-111.04,Original
Binford,B268,49.77,-123.19,49.77,-123.19,Original
Binford,B269,44.42,-123.84,44.42,-123.84,Original
Binford,B27,73.83,90,73.83,90,Original
Binford,B270,47.11,-122.04,47.11,-122.04,Original
Binford,B271,47.55,-123.16,47.55,-123.16,Original
Binford,B272,46.87,-123.67,46.87,-123.67,Original
Binford,B273,49.34,-125.74,49.34,-125.74,Original
Binford,B274,46.06,-123.75,46.06,-123.75,Original
Binford,B275,43.43,-124.11,43.43,-124.11,Original
Binford,B276,50.46,-123,50.46,-123,Original
Binford,B277,48.84,-122.34,48.84,-122.34,Original
Binford,B278,47.38,-123.82,47.38,-123.82,Original
Binford,B279,49.23,-122.7,49.23,-122.7,Original
Binford,B28,65.96,170.08,65.96,170.08,Original
Binford,B280,48.41,-123.64,48.41,-123.64,Original
Binford,B281,45.4,-123.82,45.4,-123.82,Original
Binford,B282,50,-125.5,50,-125.5,Original
Binford,B283,52.87,-127.87,52.87,-127.87,Original
Binford,B284,47.77,-124.14,47.77,-124.14,Original
Binford,B285,47.95,-123.55,47.95,-123.55,Original
Binford,B286,48.22,-124.58,48.22,-124.58,Original
Binford,B287,53.5,-128.42,53.5,-128.42,Original
Binford,B288,50.42,-126.67,50.42,-126.67,Original
Binford,B289,54,-129.58,54,-129.58,Original
Binford,B290,53.54,-132.29,53.54,-132.29,Original
Binford,B291,52.32,-126.58,52.32,-126.58,Original
Binford,B292,57,-133.59,57,-133.59,Original
Binford,B293,55.65,-128.06,55.65,-128.06,Original
Binford,B294,57.93,-153.16,57.93,-153.16,Original
Binford,B295,60.48,-144,60.48,-144,Original
Binford,B296,61.01,-161.55,61.01,-161.55,Original
Binford,B297,61.21,-147.61,61.21,-147.61,Original
Binford,B298,55,-162.85,55,-162.85,Original
Binford,B299,60.03,-166.3,60.03,-166.3,Original
Binford,B3,-3.04,102.69,-3.04,102.69,Original
Binford,B315,45.59,-120.45,45.59,-120.45,Original
Binford,B316,45.49,-119.94,45.49,-119.94,Original
Binford,B317,47.41,-120.31,47.41,-120.31,Original
Binford,B318,46.33,-120.27,46.33,-120.27,Original
Binford,B319,45.72,-121.13,45.72,-121.13,Original
Binford,B320,47.42,-116.34,47.42,-116.34,Original
Binford,B321,48.78,-119.56,48.78,-119.56,Original
Binford,B322,49.46,-119.63,49.46,-119.63,Original
Binford,B323,47.94,-118.44,47.94,-118.44,Original
Binford,B324,46.25,-116.46,46.25,-116.46,Original
Binford,B325,51.26,-121.75,51.26,-121.75,Original
Binford,B326,47.94,-115.67,47.94,-115.67,Original
Binford,B327,45.21,-85.1,45.21,-85.1,Original
Binford,B328,45,-91,45,-91,Original
Binford,B329,46.99,-65,46.99,-65,Original
Binford,B330,46.28,-113.26,46.28,-113.26,Original
Binford,B331,45.21,-85.1,45.21,-85.1,Original
Binford,B332,52.28,-96.78,52.28,-96.78,Original
Binford,B333,53.41,-119.53,53.41,-119.53,Original
Binford,B334,51.84,-93.85,51.84,-93.85,Original
Binford,B335,52.71,-90.62,52.71,-90.62,Original
