xd_id,xd_name,iso_6933,N_iso_shared,DisplayGlottocode,DisplayGlottocodeLevel,HighestGlottocode,HighestGlottocodeName,HighestGlottocodeLevel,Ethnologue
xd252,Biafada,bif,1,biaf1240,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd202,Edo,bin,1,bini1246,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd911,Birhor,biy,1,birh1242,language,aust1305,Austroasiatic,family,Austro-Asiatic
xd157,Budja,bja,1,budz1238,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd253,Bijogo,bjg,1,bidy1244,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd420,Burji,bji,1,burj1242,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd226,Bakwe,bjw,1,bakw1243,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd926,Baka,bkc,1,baka1272,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd175,Koko,bkh,1,bako1249,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd176,Kom,bkm,1,komc1235,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd183,Babwa,bko,1,kwaa1265,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1400,Bacairi,bkq,1,baka1277,language,cari1283,Cariban,family,Cariban
xd194,Boki,bky,1,boky1238,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1212,Blood,bla,3,bloo1239,dialect,algi1248,Algic,family,Algic
xd1211,Blackfoot,bla,3,pieg1239,dialect,algi1248,Algic,family,Algic
xd1217,Piegan,bla,3,pieg1239,dialect,algi1248,Algic,family,Algic
xd1106,Bellacoola,blc,1,bell1243,language,sali1255,Salishan,family,Salish
xd250,Balante,ble,1,bala1301,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd350,Bagirmi,bmi,1,bagi1246,language,cent2225,Central Sudanic,family,"Nilo-Saharan, Central Sudanic"
xd164,Sanga,bmw,1,bomw1238,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd168,Puku,bnm,1,bata1285,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd733,Bunun,bnn,1,bunu1267,language,aust1307,Austronesian,family,Austronesian
xd847,Bakovi,bnp,1,bola1250,language,aust1307,Austronesian,family,Austronesian
xd656,Tibetans,bod,1,tibe1272,language,sino1245,Sino-Tibetan,family,Sino-Tibetan
xd484,Bolewa,bol,1,nucl1695,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd306,Birom,bom,1,bero1242,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1397,Bororo,bor,1,boro1282,language,boro1281,Bororoan,family,Bororoan
xd365,Bongo,bot,1,bong1285,language,cent2225,Central Sudanic,family,"Nilo-Saharan, Central Sudanic"
xd295,Bozo,boz,1,tiey1235,language,mand1469,Mande,family,"Niger-Congo, Mande"
xd812,Bgu,bpg,1,bong1287,language,aust1307,Austronesian,family,Austronesian
xd740,Bilaan,bpr,1,koro1310,language,aust1307,Austronesian,family,Austronesian
xd607,Bakhtiari,bqi,1,bakh1245,language,indo1319,Indo-European,family,Indo-European
xd150,Bira,brf,2,bera1259,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd154,Plains Bira,brf,2,bera1259,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd138,Kpe,bri,1,mokp1239,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd356,Abarambo,brm,1,bara1361,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd257,Bassari,bsc,1,bass1258,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd435,Basketo,bst,1,bask1236,language,gong1255,Ta-Ne-Omotic,family,Afro-Asiatic
xd325,Bata,bta,1,bata1314,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd286,Basari,bud,1,ntch1242,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd805,Busama,buk,1,buga1250,language,aust1307,Austronesian,family,Austronesian
xd569,Bulgarians,bul,1,bulg1262,language,indo1319,Indo-European,family,Indo-European
xd191,Sherbro,bun,1,sher1258,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd151,Budu,buu,1,budu1250,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd307,Borrom,bux,1,bogh1241,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd165,Bubi,bvb,1,bube1242,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd941,Anbarra,bvr,2,gunn1247,dialect,mani1293,Maningrida,family,Gunwingguan
xd774,Gidjingali,bvr,2,gunn1248,dialect,mani1293,Maningrida,family,Gunwingguan
xd848,Bwaidoga,bwd,1,bwai1242,language,aust1307,Austronesian,family,Austronesian
xd326,Bura,bwr,1,bura1292,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd275,Builsa,bwu,1,buli1254,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd111,Vugusu,bxk,1,buku1249,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd57,Buye,byi,1,buyu1239,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd445,Bogo,byn,1,bili1260,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd235,Gbande,bza,1,band1352,language,mand1469,Mande,family,"Niger-Congo, Mande"
xd1321,Bribri,bzd,1,brib1243,language,chib1249,Chibchan,family,Chibchan
xd264,Nono,bze,1,jena1242,language,mand1469,Mande,family,"Niger-Congo, Mande"
xd301,Basakomo,bzw,2,basa1282,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1319,Chorti,caa,1,chor1273,language,maya1287,Mayan,family,Mayan
xd1323,Black Carib,cab,1,gari1256,language,araw1281,Arawakan,family,Maipurean
xd1234,Caddo,cad,2,cadd1256,language,cadd1255,Caddoan,family,Caddoan
xd1242,Hasinai,cad,2,cadd1256,language,cadd1255,Caddoan,family,Caddoan
xd1069,Alkatcho,caf,1,sout2958,language,atha1245,Athapaskan-Eyak-Tlingit,family,Eyak-Athabaskan
xd1311,Cakchiquel,cak,1,kaqc1270,language,maya1287,Mayan,family,Mayan
xd830,Carolinians,cal,1,caro1242,language,aust1307,Austronesian,family,Austronesian
xd1364,Chacobo,cao,1,chac1251,language,pano1256,Panoan,family,Panoan
xd1329,Carinya,car,3,gali1262,language,cari1283,Cariban,family,Cariban
xd1346,Barama Carib,car,3,mura1272,dialect,cari1283,Cariban,family,Cariban
xd1326,Callinago,car,3,tyre1237,dialect,cari1283,Cariban,family,Cariban
xd1376,Cayapa,cbi,1,chac1249,language,barb1265,Barbacoan,family,Barbacoan
xd25,Chopi,cce,2,copi1238,dialect,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd319,Daka,ccg,1,samb1311,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd299,Chawai,cch,1,atsa1241,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd697,Chakma,ccp,1,chak1266,language,indo1319,Indo-European,family,Indo-European
xd672,Chenchu,cde,1,chen1255,language,drav1251,Dravidian,family,Dravidian
xd303,Kamuku,cdr,1,cind1241,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd997,Chehalis,cea,1,lowe1427,language,sali1255,Salishan,family,Salish
xd735,Sugbuhanon,ceb,1,cebu1242,language,aust1307,Austronesian,family,Austronesian
xd1393,Chamacoco,ceg,1,cham1315,language,zamu1243,Zamucoan,family,Zamucoan
xd567,Czechs,ces,1,czec1258,language,indo1319,Indo-European,family,Indo-European
xd80,Chiga,cgg,1,chig1238,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd839,Chamorro,cha,1,cham1312,language,aust1307,Austronesian,family,Austronesian
xd1379,Chibcha,chb,1,chib1270,language,chib1249,Chibchan,family,Chibchan
xd1258,Catawba,chc,1,cata1286,language,siou1252,Siouan,family,Siouan-Catawban
xd1300,Tequistlatec,chd,1,high1242,language,tequ1244,Tequistlatecan,family,Tequistlatecan
xd583,Chechen,che,1,chec1245,language,nakh1245,Nakh-Daghestanian,family,East Caucasian
xd1078,Chinook,chh,1,chin1286,language,chin1490,Chinookan,family,Chinookan
xd833,Trukese,chk,1,chuu1238,language,aust1307,Austronesian,family,Austronesian
xd1131,Cahuilla,chl,1,cahu1264,language,utoa1244,Uto-Aztecan,family,Uto-Aztecan
xd1247,Choctaw,cho,1,choc1276,language,musk1252,Muskogean,family,Muskogean
xd1046,Chipewyan,chp,1,chip1261,language,atha1245,Athapaskan-Eyak-Tlingit,family,Eyak-Athabaskan
xd1254,Cherokee,chr,1,cher1273,language,iroq1247,Iroquoian,family,Iroquoian
xd551,Chuvash,chv,1,chuv1255,language,turk1311,Turkic,family,Altaic
xd1224,Cheyenne,chy,1,chey1247,language,algi1248,Algic,family,Algic
xd1249,Chickasaw,cic,1,chic1270,language,musk1252,Muskogean,family,Muskogean
xd1052,Chippewa,ciw,2,redl1238,dialect,algi1248,Algic,family,Algic
xd1054,Katikitegon,ciw,2,uppe1274,dialect,algi1248,Algic,family,Algic
xd36,Chokwe,cjk,1,chok1245,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd718,Cham,cjm,1,east2563,language,aust1307,Austronesian,family,Austronesian
xd576,Kurd,ckb,1,cent1972,language,indo1319,Indo-European,family,Indo-European
xd631,Chukchee,ckt,1,chuk1273,language,chuk1271,Chukotko-Kamchatkan,family,Chukotko-Kamchatkan
xd1206,Chilcotin,clc,1,chil1280,language,atha1245,Athapaskan-Eyak-Tlingit,family,Eyak-Athabaskan
xd1075,Klallam,clm,1,clal1241,language,sali1255,Salishan,family,Salish
xd639,Shantung,cmn,1,mand1415,language,sino1245,Sino-Tibetan,family,Sino-Tibetan
xd1269,Cocopa,coc,1,coco1261,language,coch1271,Cochimi-Yuman,family,Cochimí-Yuman
xd1363,Cocama,cod,1,coca1259,language,tupi1275,Tupian,family,Tupian
xd1148,Wenatchi,col,1,colu1241,language,sali1255,Salishan,family,Salish
xd1222,Comanche,com,1,coma1245,language,utoa1244,Uto-Aztecan,family,Uto-Aztecan
xd1073,Comox,coo,2,isla1276,dialect,sali1255,Salishan,family,Salish
xd1071,Klahuse,coo,2,slia1241,dialect,sali1255,Salishan,family,Salish
xd296,Coniagui,cou,1,wame1240,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1146,Coeur d'Alene,crd,1,coeu1236,language,sali1255,Salishan,family,Salish
xd1047,Eastern Cree,crj,4,sout2978,language,algi1248,Algic,family,Algic
xd1062,Mistassini Cree,crj,4,sout2978,language,algi1248,Algic,family,Algic
xd1011,Rupert House Cree,crj,4,sout2978,language,algi1248,Algic,family,Algic
xd1005,Waswanipi Cree,crj,4,sout2978,language,algi1248,Algic,family,Algic
xd1218,Plains Cree,crk,1,plai1258,language,algi1248,Algic,family,Algic
xd1223,Crow,cro,1,crow1244,language,siou1252,Siouan,family,Siouan-Catawban
xd1035,Carrier,crx,1,carr1249,language,atha1245,Athapaskan-Eyak-Tlingit,family,Eyak-Athabaskan
xd983,Coast Miwok,csi,1,coas1301,language,miwo1274,Miwok-Costanoan,family,Miwok-Costanoan
xd1065,Attawapiskat Cree,csw,1,swam1239,language,algi1248,Algic,family,Algic
xd1081,Coos,csz,1,coos1249,language,coos1248,Coosan,family,Coosan
xd1369,Cubeo,cub,1,cube1242,language,tuca1253,Tucanoan,family,Tucanoan
xd1132,Cupeno,cup,1,cupe1243,language,utoa1244,Uto-Aztecan,family,Uto-Aztecan
xd95,Kwere,cwe,1,kwer1261,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd282,Dagomba,dag,1,dagb1246,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1220,Santee,dak,1,dako1258,language,siou1252,Siouan,family,Siouan-Catawban
xd679,Maria Gond,daq,1,dand1238,language,drav1251,Dravidian,family,Dravidian
xd106,Teita,dav,1,tait1250,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd954,Mamu,dbl,2,mamu1253,dialect,pama1250,Pama-Nyungan,family,Pama-Nyungan
xd957,Ngatjan,dbl,2,ngad1260,dialect,pama1250,Pama-Nyungan,family,Pama-Nyungan
xd956,Djaru,ddj,1,jaru1254,language,pama1250,Pama-Nyungan,family,Pama-Nyungan
xd1255,Delaware,dep,1,pidg1246,language,amer1257,Amerindian pidgin (Pidgin),family,Pidgin
xd906,Agta (Casiguran),dgc,1,casi1235,language,aust1307,Austronesian,family,Austronesian
xd1032,Dogrib,dgr,1,dogr1252,language,atha1245,Athapaskan-Eyak-Tlingit,family,Eyak-Athabaskan
xd873,Lifu,dhv,1,dehu1237,language,aust1307,Austronesian,family,Austronesian
xd394,Didinga,did,1,didi1258,language,surm1244,Surmic,family,"Nilo-Saharan, Eastern Sudanic"
xd779,Dieri,dif,1,dier1241,language,pama1250,Pama-Nyungan,family,Pama-Nyungan
xd99,Digo,dig,1,digo1243,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1137,Diegueno,dih,2,kumi1248,language,coch1271,Cochimi-Yuman,family,Cochimí-Yuman
xd1271,Kamia,dih,2,kumi1248,language,coch1271,Cochimi-Yuman,family,Cochimí-Yuman
xd382,Dilling,dil,1,dill1242,language,nubi1251,Nubian,family,"Nilo-Saharan, Eastern Sudanic"
xd431,Dime,dim,1,dime1235,language,sout2845,South Omotic,family,Afro-Asiatic
xd47,Dzing,diz,1,ding1239,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd940,Mirrngadja,djb,1,djin1252,language,pama1250,Pama-Nyungan,family,Pama-Nyungan
xd470,Zerma,dje,1,zarm1239,language,song1307,Songhay,family,"Nilo-Saharan, Songhai"
xd1344,Djuka,djk,1,ndyu1242,language,indo1319,Indo-European,family,Creole
xd237,Ngere,dnj,2,dann1241,language,mand1469,Mande,family,"Niger-Congo, Mande"
xd231,Dan,dnj,2,gwee1242,dialect,mand1469,Mande,family,"Niger-Congo, Mande"
xd857,Dobuans,dob,1,dobu1241,language,aust1307,Austronesian,family,Austronesian
xd344,Namshi,dow,1,doya1240,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd450,Dorse,doz,1,dorz1235,language,gong1255,Ta-Ne-Omotic,family,Afro-Asiatic
xd302,Dakakari,dri,1,clel1238,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd973,Barkindji,drl,1,darl1243,language,pama1250,Pama-Nyungan,family,Pama-Nyungan
xd421,Darasa,drs,1,gede1246,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd427,Galab,dsh,1,daas1238,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd612,Dagur,dta,1,daur1238,language,mong1329,Mongolic,family,Altaic
xd130,Duala,dua,1,dual1243,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd100,Duruma,dug,1,duru1249,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd777,Murngin,duj,1,dhuw1249,language,pama1250,Pama-Nyungan,family,Pama-Nyungan
xd270,Dian,dya,1,dyan1251,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd254,Diola,dyo,1,jola1263,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd263,Diula,dyu,1,dyul1238,language,mand1469,Mande,family,"Niger-Congo, Mande"
xd492,Daza,dzg,1,daza1242,language,saha1256,Saharan,family,"Nilo-Saharan, Saharan"
xd927,Efe,efe,1,efee1239,language,cent2225,Central Sudanic,family,"Nilo-Saharan, Central Sudanic"
xd196,Efik,efi,1,efik1245,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd785,Kapauku,ekg,1,ekar1243,language,nucl1709,Nuclear Trans New Guinea,family,Trans-New Guinea
xd534,Greeks,ell,1,mode1248,language,indo1319,Indo-European,family,Indo-European
xd1027,Chugach,ems,1,paci1278,language,eski1264,Eskimo-Aleut,family,Eskimo-Aleut
xd538,Tristan da Cunha,eng,2,stan1293,language,indo1319,Indo-European,family,Indo-European
xd865,Eromangans,erg,1,siee1239,language,aust1307,Austronesian,family,Austronesian
xd1029,Nunamiut,esi,4,anak1241,dialect,eski1264,Eskimo-Aleut,family,Eskimo-Aleut
xd1036,Tareumiut,esi,4,nort2944,dialect,eski1264,Eskimo-Aleut,family,Eskimo-Aleut
xd1021,Point Hope Inuit,esi,4,poin1245,dialect,eski1264,Eskimo-Aleut,family,Eskimo-Aleut
xd1020,Sivokamiut Inuit,esi,4,poin1245,dialect,eski1264,Eskimo-Aleut,family,Eskimo-Aleut
xd1015,Kobuk Inuit,esk,3,kobu1239,dialect,eski1264,Eskimo-Aleut,family,Eskimo-Aleut
xd1018,Noatak Inuit,esk,3,nort2945,language,eski1264,Eskimo-Aleut,family,Eskimo-Aleut
xd1016,Kotzebue Sound Inuit,esk,3,kotz1238,dialect,eski1264,Eskimo-Aleut,family,Eskimo-Aleut
xd1028,Sivokakmeit,ess,2,aiwa1238,dialect,eski1264,Eskimo-Aleut,family,Eskimo-Aleut
xd622,Ungazikmit,ess,2,chap1266,dialect,eski1264,Eskimo-Aleut,family,Eskimo-Aleut
xd553,Estonians,est,1,esto1258,language,ural1272,Uralic,family,Macrolanguage
xd1000,Kuskowagmut,esu,3,kusk1241,dialect,eski1264,Eskimo-Aleut,family,Eskimo-Aleut
xd1014,Norton Sound Inuit,esu,3,kusk1241,dialect,eski1264,Eskimo-Aleut,family,Eskimo-Aleut
xd1064,Nunivak,esu,3,kusk1241,dialect,eski1264,Eskimo-Aleut,family,Eskimo-Aleut
xd204,Kukuruku,ets,1,yekh1238,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd195,Ekoi,etu,1,ejag1239,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd624,Evenk,evn,1,even1259,language,tung1282,Tungusic,family,Altaic
xd215,Ewe,ewe,2,aguu1242,dialect,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd274,Awuna,ewe,2,awun1244,dialect,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1102,Eyak,eya,1,eyak1241,language,atha1245,Athapaskan-Eyak-Tlingit,family,Eyak-Athabaskan
xd401,Keyu,eyo,1,keiy1238,language,nilo1247,Nilotic,family,"Nilo-Saharan, Eastern Sudanic"
xd149,Fang,fan,1,fang1246,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd867,Mbau Fijians,fij,2,bauu1243,dialect,aust1307,Austronesian,family,Austronesian
xd874,Vanua Levu,fij,2,nort2843,dialect,aust1307,Austronesian,family,Austronesian
xd86,Fipa,fip,1,fipa1238,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1144,Flathead,fla,2,kali1309,dialect,sali1255,Salishan,family,Salish
xd1145,Kalispel,fla,2,kali1309,dialect,sali1255,Salishan,family,Salish
xd947,Walmbaria,fln,1,flin1247,language,pama1250,Pama-Nyungan,family,Pama-Nyungan
xd171,Bamileke,fmp,1,fefe1239,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd792,Kutubu,foi,1,foii1241,language,east2499,East Kutubu,family,Trans-New Guinea
xd186,Fon,fon,1,fonn1241,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd809,Fore,for,1,fore1270,language,nucl1709,Nuclear Trans New Guinea,family,Trans-New Guinea
xd540,French Canadians,fra,1,stan1290,language,indo1319,Indo-European,family,Indo-European
xd471,Djafun,fub,1,adam1253,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd473,Tukulor,fuc,1,pula1263,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd887,Futunans,fud,1,east2447,language,aust1307,Austronesian,family,Austronesian
xd294,Futajalonke,fuf,1,pula1262,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd472,Liptako,fuh,1,west2454,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd348,Nyaro,fuj,1,kooo1244,language,heib1242,Heiban,family,"Niger-Congo, Kordofanian"
xd485,Bororo Fulani,fuv,2,boro1274,dialect,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd474,Wodaabe Fulani,fuv,2,boro1274,dialect,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd802,Mafulu,fuy,1,fuyu1242,language,goil1242,Goilalan,family,Trans-New Guinea
xd466,Fur,fvr,1,furr1244,language,fura1235,Furan,family,"Nilo-Saharan, Fur"
xd223,Ga,gaa,1,gaaa1244,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd554,Gagauz,gag,1,gaga1249,language,turk1311,Turkic,family,Altaic
xd417,Arusi,gax,1,bora1271,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd419,Macha,gaz,1,west2721,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd953,Karadjeri,gbd,1,kara1476,language,pama1250,Pama-Nyungan,family,Pama-Nyungan
xd206,Gbari,gby,1,gbar1246,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd327,Gude,gde,1,gude1246,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd232,Gagu,ggu,1,gagu1242,language,mand1469,Mande,family,"Niger-Congo, Mande"
xd950,Lungga,gia,1,kitj1240,language,jarr1235,Jarrakan,family,Djeragan
xd829,Makin,gil,2,bana1287,dialect,aust1307,Austronesian,family,Austronesian
xd838,Gilbert Onotoa,gil,2,nuii1237,dialect,aust1307,Austronesian,family,Austronesian
xd998,Gitksan,git,1,gitx1241,language,tsim1258,Tsimshian,family,Tsimshian
xd637,Goldi,gld,1,nana1257,language,tung1282,Tungusic,family,Altaic
xd543,Irish,gle,1,iris1253,language,indo1319,Indo-European,family,Indo-European
xd509,Guanche,gnc,1,guan1277,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd676,Muria Gond,gno,1,nort2702,language,drav1251,Dravidian,family,Dravidian
xd233,Guro,goa,1,guro1248,language,mand1469,Mande,family,"Niger-Congo, Mande"
xd92,Gogo,gog,1,gogo1263,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd236,Gola,gol,1,gola1255,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd457,Goroa,gow,1,goro1270,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd333,Gure,grh,1,gbir1241,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd696,Garo,grt,1,garo1247,language,sino1245,Sino-Tibetan,family,Sino-Tibetan
xd1331,Goajiro,guc,1,wayu1243,language,araw1281,Arawakan,family,Maipurean
xd1347,Guahibo,guh,1,guah1255,language,guah1252,Guahibo,family,Guajiboan
xd1394,Chiriguano,gui,1,east2555,language,tupi1275,Tupian,family,Tupian
xd671,Gujarati,guj,1,guja1252,language,indo1319,Indo-European,family,Indo-European
xd1408,Cayua,gun,1,mbya1239,language,tupi1275,Tupian,family,Tupian
xd939,Gunwinggu,gup,1,gunw1252,language,gunw1250,Gunwinyguan,family,Gunwingguan
xd920,Guayaki (Ache),guq,1,ache1246,language,tupi1275,Tupian,family,Tupian
xd247,Nankanse,gur,2,nank1249,dialect,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd277,Tallensi,gur,2,taln1239,dialect,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1361,Yanomamo,guu,1,yano1261,language,yano1260,Yanomam,family,Yanomaman
xd283,Gurma,gux,1,gour1243,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd79,Gusii,guz,1,gusi1247,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd946,Kuku (Yalanji),gvn,1,kuku1273,language,pama1250,Pama-Nyungan,family,Pama-Nyungan
xd1037,Kutchin,gwi,1,gwic1235,language,atha1245,Athapaskan-Eyak-Tlingit,family,Eyak-Athabaskan
xd932,G/wi,gwj,1,gwii1239,language,khoe1240,Khoe-Kwadi,family,Southern Africa
xd952,Kaiadilt,gyd,1,kaya1319,language,tang1340,Tangkic,family,Pama-Nyungan
xd1314,Guaymi,gym,1,ngab1239,language,chib1249,Chibchan,family,Chibchan
xd1008,Han,haa,1,hann1241,language,atha1245,Athapaskan-Eyak-Tlingit,family,Eyak-Athabaskan
xd132,Ha,haq,1,haaa1252,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1105,Haisla,has,1,hais1244,language,waka1280,Wakashan,family,Wakashan
xd1334,Haitians,hat,1,hait1244,language,indo1319,Indo-European,family,Creole
xd476,Zazzagawa Hausa,hau,4,araw1280,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd486,Hausa Kanawa,hau,4,kano1249,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd475,Tazarawa,hau,4,haus1257,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd458,Maguzawa,hau,4,kano1249,dialect,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd895,Hawaiians,haw,1,hawa1245,language,aust1307,Austronesian,family,Austronesian
xd112,Haya,hay,1,haya1250,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd602,Hazara,haz,1,haza1239,language,indo1319,Indo-European,family,Indo-European
xd1288,Huichol,hch,1,huic1243,language,utoa1244,Uto-Aztecan,family,Uto-Aztecan
xd1068,Haida,hdn,1,nort2938,language,haid1248,Haida,family,Haida
xd589,Hebrews,heb,1,hebr1245,language,afro1255,Afro-Asiatic,family,Afro-Asiatic
xd125,Hehe,heh,1,hehe1240,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd1083,Bellabella,hei,1,heil1246,language,waka1280,Wakashan,family,Wakashan
xd10,Herero,her,1,here1253,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd930,Hai//om,hgm,1,haio1238,language,khoe1240,Khoe-Kwadi,family,Southern Africa
xd1214,Hidatsa,hid,1,hida1246,language,siou1252,Siouan,family,Siouan-Catawban
xd133,Hunde,hke,1,hund1239,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd480,Songhai,hmb,1,humb1243,language,song1307,Songhay,family,"Nilo-Saharan, Songhai"
xd685,Baiga,hne,1,chha1249,language,indo1319,Indo-European,family,Indo-European
xd745,Hanunoo,hnn,1,hanu1241,language,aust1307,Austronesian,family,Austronesian
xd666,Ho,hoc,1,hooo1248,language,aust1305,Austroasiatic,family,Austro-Asiatic
xd1013,Holikachuk,hoi,1,holi1241,language,atha1245,Athapaskan-Eyak-Tlingit,family,Eyak-Athabaskan
xd1268,Hopi,hop,1,hopi1249,language,utoa1244,Uto-Aztecan,family,Uto-Aztecan
