xd_id,xd_name,iso_6933,N_iso_shared,DisplayGlottocode,DisplayGlottocodeLevel,HighestGlottocode,HighestGlottocodeName,HighestGlottocodeLevel,Ethnologue
xd251,Banyune,bab,1,bain1259,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd267,Bobo,bbo,1,nort2819,language,mand1469,Mande,family,"Niger-Congo, Mande"
xd337,Banda,bbp,1,west2458,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd153,Ndaka Babali,bcp,1,bali1274,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd60,Luapula,bem,2,luun1238,dialect,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd241,Bete,bet,1,guib1246,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd249,Baga,bgo,1,baga1273,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd667,Bhil,bhb,1,bhil1251,language,indo1319,Indo-European,family,Indo-European
xd288,Birifor,biv,1,sout2790,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
xd614,Buryat,bxr,1,russ1264,language,mong1329,Mongolic,family,Altaic
xd691,Nicobarese,caq,1,carn1240,language,aust1305,Austroasiatic,family,Austro-Asiatic
xd1380,Campa,cni,1,asha1243,language,araw1281,Arawakan,family,Maipurean
xd1392,Choroti,crq,1,iyow1239,language,mata1289,Matacoan,family,Matacoan
xd1127,Chumash,crz,1,cruz1243,language,chum1262,Chumashan,family,Chumashan
xd1295,Chinantec,csa,1,chil1282,language,otom1299,Otomanguean,family,Otomanguean
xd1136,Miwok,csm,1,cent2140,language,miwo1274,Miwok-Costanoan,family,Miwok-Costanoan
xd266,Dogon,dbw,1,bank1259,language,dogo1299,Dogon,family,"Niger-Congo, Atlantic-Congo"
xd276,Dagari,dga,1,sout2789,language,atla1278,Atlantic-Congo,family,"Niger-Congo, Atlantic-Congo"
