Dataset,soc_id,xd_id,SpecRef,Year,DND.VarID_Code,VarID,Code,Comment,References,DND.SourceCodedData,DND.Display,DND.AdminComment
LRB,B124,xd772,,1900,5_1,5,1,,,,,
LRB,B125,xd970,,1880,5_1,5,1,,,,,
LRB,B126,xd971,,1912,5_1,5,1,,,,,
LRB,B127,xd972,,1941,5_2,5,2,,,,,
LRB,B128,xd973,,1890,5_1,5,1,,,,,
LRB,B129,xd974,,1840,5_1,5,1,,,,,
LRB,B130,xd784,,1910,5_1,5,1,,,,,
LRB,B131,xd975,,1850,5_1,5,1,,,,,
LRB,B132,xd976,,1850,5_1,5,1,,,,,
LRB,B133,xd977,,1850,5_1,5,1,,,,,
LRB,B134,xd978,,1850,5_1,5,1,,,,,
LRB,B135,xd979,,1850,5_1,5,1,,,,,
LRB,B136,xd980,,1830,5_1,5,1,,,,,
LRB,B137,xd783,,1830,5_1,5,1,,,,,
LRB,B143,xd1289,,1900,5_1,5,1,,,,,
LRB,B144,xd1131,,1870,5_2,5,2,,,,,
LRB,B145,xd1132,,1870,5_2,5,2,,,,,
LRB,B146,xd1134,,1880,5_1,5,1,,,,,
LRB,B147,xd1137,,1850,5_1,5,1,,,,,
LRB,B148,xd1123,,1860,5_1,5,1,,,,,
LRB,B149,xd1130,,1870,5_1,5,1,,,,,
LRB,B150,xd1133,,1860,5_1,5,1,,,,,
LRB,B151,xd1124,,1860,5_1,5,1,,,,,
LRB,B152,xd1118,,1850,5_1,5,1,,,,,
LRB,B153,xd1107,,1850,5_1,5,1,,,,,
LRB,B154,xd1129,,1850,5_1,5,1,,,,,
LRB,B155,xd1121,,1850,5_1,5,1,,,,,
LRB,B156,xd1128,,1770,5_1,5,1,,,,,
LRB,B157,xd1122,,1870,5_1,5,1,,,,,
LRB,B158,xd1116,,1860,5_1,5,1,,,,,
LRB,B159,xd1116,,1860,5_1,5,1,,,,,
LRB,B160,xd1112,,1860,5_1,5,1,,,,,
LRB,B161,xd1127,,1860,5_1,5,1,,,,,
LRB,B162,xd1094,,1860,5_1,5,1,,,,,
LRB,B163,xd1111,,1850,5_1,5,1,,,,,
LRB,B164,xd1125,,1805,5_1,5,1,,,,,
LRB,B165,xd1117,,1860,5_1,5,1,,,,,
LRB,B166,xd1100,,1860,5_1,5,1,,,,,
LRB,B167,xd1098,,NA,5_1,5,1,,,,,
LRB,B168,xd983,,1850,5_1,5,1,,,,,
LRB,B169,xd1099,,NA,5_1,5,1,,,,,
LRB,B170,xd1120,,NA,5_1,5,1,,,,,
LRB,B171,xd1138,,1850,5_1,5,1,,,,,
LRB,B172,xd1119,,1860,5_1,5,1,,,,,
LRB,B173,xd1115,,1860,5_1,5,1,,,,,
LRB,B174,xd1109,,1860,5_1,5,1,,,,,
LRB,B175,xd1136,,1850,5_1,5,1,,,,,
LRB,B176,xd1091,,1860,5_1,5,1,,,,,
LRB,B177,xd1113,,1860,5_1,5,1,,,,,
LRB,B178,xd1103,,1870,5_1,5,1,,,,,
LRB,B179,xd1093,,1860,5_1,5,1,,,,,
LRB,B180,xd1096,,1860,5_1,5,1,,,,,
LRB,B181,xd1092,,1870,5_1,5,1,,,,,
LRB,B182,xd1095,,1860,5_1,5,1,,,,,
LRB,B183,xd1135,,1860,5_1,5,1,,,,,
LRB,B184,xd1097,,1860,5_1,5,1,,,,,
LRB,B185,xd1110,,1850,5_1,5,1,,,,,
LRB,B186,xd1101,,1850,5_1,5,1,,,,,
LRB,B187,xd1108,,1860,5_1,5,1,,,,,
LRB,B188,xd1140,,1860,5_1,5,1,,,,,
LRB,B189,xd1139,,1860,5_1,5,1,,,,,
LRB,B190,xd985,,1760,5_1,5,1,,,,,
LRB,B191,xd1290,,1570,5_1,5,1,,,,,
LRB,B192,xd1166,,1860,5_1,5,1,,,,,
LRB,B193,xd1215,,1800,5_1,5,1,,,,,
LRB,B194,xd1221,,1715,5_1,5,1,,,,,
LRB,B195,xd1166,,1850,5_1,5,1,,,,,
LRB,B196,xd1203,,1870,5_2,5,2,,,,,
LRB,B197,xd1165,,1860,5_1,5,1,,,,,
LRB,B198,xd1202,,1870,5_2,5,2,,,,,
LRB,B199,xd1126,,1860,5_1,5,1,,,,,
LRB,B200,xd1166,,1860,5_1,5,1,,,,,
LRB,B201,xd1184,,1860,5_1,5,1,,,,,
LRB,B202,xd1164,,1870,5_1,5,1,,,,,
LRB,B203,xd988,,1860,5_1,5,1,,,,,
LRB,B204,xd1189,,1860,5_1,5,1,,,,,
LRB,B205,xd989,,1870,5_1,5,1,,,,,
LRB,B206,xd1162,,1860,5_1,5,1,,,,,
LRB,B207,xd1182,,1860,5_1,5,1,,,,,
LRB,B208,xd1160,,1860,5_1,5,1,,,,,
LRB,B209,xd991,,1860,5_1,5,1,,,,,
LRB,B210,xd1161,,1870,5_1,5,1,,,,,
LRB,B211,xd1162,,1860,5_1,5,1,,,,,
LRB,B212,xd992,,1870,5_1,5,1,,,,,
LRB,B213,xd1185,,1870,5_1,5,1,,,,,
LRB,B214,xd1183,,1860,5_1,5,1,,,,,
LRB,B215,xd995,,1870,5_1,5,1,,,,,
LRB,B216,xd1178,,1860,5_1,5,1,,,,,
LRB,B217,xd1171,,1860,5_1,5,1,,,,,
LRB,B218,xd1169,,1860,5_1,5,1,,,,,
LRB,B219,xd993,,1860,5_1,5,1,,,,,
LRB,B221,xd1175,,1860,5_1,5,1,,,,,
LRB,B222,xd1152,,1860,5_1,5,1,,,,,
LRB,B223,xd994,,1870,5_1,5,1,,,,,
LRB,B224,xd995,,1860,5_1,5,1,,,,,
LRB,B225,xd1196,,1850,5_1,5,1,,,,,
LRB,B226,xd1157,,1870,5_1,5,1,,,,,
LRB,B227,xd1201,,1860,5_1,5,1,,,,,
LRB,B228,xd1176,,1860,5_1,5,1,,,,,
LRB,B229,xd1180,,1860,5_1,5,1,,,,,
LRB,B230,xd1194,,1860,5_1,5,1,,,,,
LRB,B231,xd1155,,1870,5_1,5,1,,,,,
LRB,B232,xd1181,,1860,5_1,5,1,,,,,
LRB,B233,xd1170,,1860,5_1,5,1,,,,,
LRB,B234,xd1199,,1860,5_1,5,1,,,,,
LRB,B240,xd1275,,1880,5_2,5,2,,,,,
LRB,B241,xd1222,,1870,5_1,5,1,,,,,
LRB,B242,xd1259,,1880,5_2,5,2,,,,,
LRB,B243,xd1216,,1870,5_1,5,1,,,,,
LRB,B244,xd1219,,1860,5_1,5,1,,,,,
LRB,B245,xd1224,,1860,5_1,5,1,,,,,
LRB,B246,xd1228,,1860,5_1,5,1,,,,,
LRB,B248,xd1223,,1870,5_1,5,1,,,,,
LRB,B249,xd1227,,1870,5_1,5,1,,,,,
LRB,B250,xd1205,,1880,5_1,5,1,,,,,
LRB,B252,xd1200,,1860,5_1,5,1,,,,,
LRB,B253,xd1208,,1870,5_1,5,1,,,,,
LRB,B254,xd1229,,1850,5_1,5,1,,,,,
LRB,B255,xd1217,,1850,5_1,5,1,,,,,
LRB,B256,xd1211,,1850,5_1,5,1,,,,,
LRB,B257,xd1210,,1870,5_1,5,1,,,,,
LRB,B258,xd1218,,1850,5_1,5,1,,,,,
LRB,B259,xd1212,,1850,5_1,5,1,,,,,
LRB,B260,xd1226,,1880,5_1,5,1,,,,,
LRB,B268,xd1072,,1880,5_1,5,1,,,,,
LRB,B269,xd1088,,1860,5_1,5,1,,,,,
LRB,B270,xd1076,,1870,5_1,5,1,,,,,
LRB,B271,xd1079,,1850,5_1,5,1,,,,,
LRB,B272,xd997,,1880,5_1,5,1,,,,,
LRB,B273,xd1070,,1880,5_1,5,1,,,,,
LRB,B274,xd1078,,1850,5_1,5,1,,,,,
LRB,B275,xd1081,,1860,5_1,5,1,,,,,
LRB,B276,xd1207,,1860,5_1,5,1,,,,,
LRB,B277,xd1074,,1880,5_1,5,1,,,,,
LRB,B278,xd1085,,1860,5_1,5,1,,,,,
LRB,B279,xd1087,,1880,5_1,5,1,,,,,
LRB,B280,xd1086,,1880,5_1,5,1,,,,,
LRB,B281,xd1080,,NA,5_1,5,1,,,,,
LRB,B282,xd1073,,1860,5_1,5,1,,,,,
LRB,B283,xd1083,,1880,5_1,5,1,,,,,
LRB,B284,xd1077,,1880,5_1,5,1,,,,,
LRB,B285,xd1075,,1860,5_1,5,1,,,,,
LRB,B286,xd1084,,1860,5_1,5,1,,,,,
LRB,B287,xd1105,,1880,5_1,5,1,,,,,
LRB,B288,xd1090,,1890,5_1,5,1,,,,,
LRB,B289,xd1104,,1880,5_1,5,1,,,,,
LRB,B290,xd1068,,1890,5_1,5,1,,,,,
LRB,B291,xd1106,,1880,5_1,5,1,,,,,
LRB,B292,xd1082,,1880,5_1,5,1,,,,,
LRB,B293,xd998,,1880,5_1,5,1,,,,,
LRB,B294,xd999,,1840,5_1,5,1,,,,,
LRB,B295,xd1102,,1890,5_1,5,1,,,,,
LRB,B296,xd1000,,1850,5_1,5,1,,,,,
LRB,B297,xd1027,,1930,5_1,5,1,,,,,
LRB,B298,xd1067,,1830,5_1,5,1,,,,,
LRB,B299,xd1064,,1930,5_1,5,1,,,,,
LRB,B315,xd1141,,1850,5_1,5,1,,,,,
LRB,B316,xd1151,,1860,5_1,5,1,,,,,
LRB,B317,xd1148,,1870,5_1,5,1,,,,,
LRB,B318,xd1149,,1880,5_1,5,1,,,,,
LRB,B319,xd1150,,1860,5_1,5,1,,,,,
LRB,B320,xd1146,,1860,5_1,5,1,,,,,
LRB,B321,xd1147,,1880,5_1,5,1,,,,,
LRB,B322,xd1001,,1860,5_1,5,1,,,,,
LRB,B323,xd1174,,1870,5_1,5,1,,,,,
LRB,B324,xd1153,,1850,5_1,5,1,,,,,
LRB,B325,xd1142,,1860,5_1,5,1,,,,,
LRB,B326,xd1145,,1870,5_1,5,1,,,,,
LRB,B327,xd1055,,1870,5_1,5,1,,,,,
LRB,B328,xd1054,,1800,5_1,5,1,,,,,
LRB,B329,xd1058,,1700,5_1,5,1,,,,,
LRB,B330,xd1144,,1860,5_1,5,1,,,,,
LRB,B331,xd1053,,1880,5_1,5,1,,,,,
LRB,B332,xd1049,,1870,5_1,5,1,,,,,
LRB,B333,xd1143,,1850,5_1,5,1,,,,,
LRB,B334,xd1050,,1940,5_1,5,1,,,,,
LRB,B335,xd1003,,1900,5_1,5,1,,,,,
LRB,B336,xd1069,,1865,5_1,5,1,,,,,
LRB,B337,xd1051,,1800,5_1,5,1,,,,,
LRB,B338,xd1062,,1880,5_1,5,1,,,,,
LRB,B339,xd1004,,1850,5_1,5,1,,,,,
LRB,B340,xd1005,,1900,5_1,5,1,,,,,
LRB,B341,xd1006,,1890,5_1,5,1,,,,,
LRB,B342,xd1048,,1880,5_1,5,1,,,,,
LRB,B343,xd1044,,1880,5_1,5,1,,,,,
LRB,B344,xd1045,,1850,5_1,5,1,,,,,
LRB,B345,xd1034,,1860,5_1,5,1,,,,,
LRB,B346,xd1056,,1920,5_1,5,1,,,,,
LRB,B347,xd1043,,1870,5_1,5,1,,,,,
LRB,B348,xd1206,,1880,5_1,5,1,,,,,
LRB,B349,xd1035,,1880,5_1,5,1,,,,,
LRB,B350,xd1007,,1800,5_1,5,1,,,,,
LRB,B351,xd1008,,1880,5_1,5,1,,,,,
LRB,B352,xd1009,,1860,5_1,5,1,,,,,
LRB,B353,xd1065,,1900,5_1,5,1,,,,,
LRB,B354,xd1010,,1880,5_1,5,1,,,,,
LRB,B355,xd1046,,1880,5_1,5,1,,,,,
LRB,B356,xd1037,,1880,5_1,5,1,,,,,
LRB,B357,xd1066,,1880,5_1,5,1,,,,,
LRB,B358,xd1033,,1860,5_1,5,1,,,,,
LRB,B359,xd1026,,1930,5_1,5,1,,,,,
LRB,B360,xd1011,,1900,5_1,5,1,,,,,
LRB,B361,xd1032,,1860,5_1,5,1,,,,,
LRB,B362,xd1042,,1870,5_1,5,1,,,,,
LRB,B363,xd1012,,1890,5_1,5,1,,,,,
LRB,B364,xd1013,,1860,5_1,5,1,,,,,
LRB,B365,xd1063,,1890,5_1,5,1,,,,,
LRB,B369,xd1014,,1870,5_1,5,1,,,,,
LRB,B370,xd1015,,1890,5_1,5,1,,,,,
LRB,B371,xd1016,,1880,5_1,5,1,,,,,
LRB,B372,xd1039,,1890,5_1,5,1,,,,,
LRB,B373,xd1017,,1890,5_1,5,1,,,,,
LRB,B374,xd1038,,1900,5_1,5,1,,,,,
LRB,B375,xd1018,,1900,5_1,5,1,,,,,
LRB,B377,xd1029,,1950,5_1,5,1,,,,,
LRB,B378,xd1019,,1910,5_1,5,1,,,,,
LRB,B379,xd1020,,1920,5_1,5,1,,,,,
LRB,B380,xd1021,,1880,5_1,5,1,,,,,
LRB,B381,xd1022,,1920,5_1,5,1,,,,,
LRB,B382,xd1023,,1920,5_1,5,1,,,,,
LRB,B383,xd1024,,1880,5_1,5,1,,,,,
LRB,B384,xd1025,,1920,5_1,5,1,,,,,
LRB,B385,xd1041,,1880,5_1,5,1,,,,,
LRB,B386,xd1030,,1880,5_1,5,1,,,,,
LRB,B387,xd1060,,1880,5_1,5,1,,,,,
LRB,B388,xd1040,,1880,5_1,5,1,,,,,
LRB,B389,xd1036,,1880,5_1,5,1,,,,,
LRB,B390,xd1031,,1880,5_1,5,1,,,,,
LRB,B1,xd758,,1970,6_349,6,349,,,,,
LRB,B2,xd900,,1968,6_424,6,424,,,,,
LRB,B3,xd757,,1900,6_11800,6,11800,,,,,
LRB,B4,xd901,,1989,6_342,6,342,,,,,
LRB,B5,xd902,,1952,6_393,6,393,,,,,
LRB,B6,xd903,,1906,6_255,6,255,,,,,
LRB,B7,xd904,,1903,6_1645,6,1645,,,,,
LRB,B8,xd686,,1870,6_464,6,464,,,,,
LRB,B9,xd725,,1920,6_366,6,366,,,,,
LRB,B10,xd690,,1900,6_72,6,72,,,,,
LRB,B11,xd905,,1972,6_556,6,556,,,,,
LRB,B12,xd906,,1965,6_609,6,609,,,,,
LRB,B13,xd907,,1979,6_1644,6,1644,,,,,
LRB,B14,xd908,,1924,6_46,6,46,,,,,
LRB,B15,xd672,,1940,6_426,6,426,,,,,
LRB,B16,xd909,,1963,6_139,6,139,,,,,
LRB,B17,xd910,,1963,6_3000,6,3000,,,,,
LRB,B18,xd911,,1963,6_629,6,629,,,,,
LRB,B19,xd912,,1946,6_565,6,565,,,,,
LRB,B20,xd913,,1974,6_254,6,254,,,,,
LRB,B21,xd914,,1978,6_70,6,70,,,,,
LRB,B22,xd635,,1900,6_122,6,122,,,,,
LRB,B23,xd915,,1900,6_3200,6,3200,,,,,
LRB,B24,xd636,,1900,6_1000,6,1000,,,,,
LRB,B25,xd617,,1920,6_1481,6,1481,,,,,
LRB,B26,xd634,,1900,6_2360,6,2360,,,,,
LRB,B27,xd620,,1933,6_876,6,876,,,,,
LRB,B28,xd622,,1860,6_1292,6,1292,,,,,
LRB,B35,xd1330,,1950,6_5000,6,5000,,,,,
LRB,B36,xd1358,,1960,6_1200,6,1200,,,,,
LRB,B37,xd916,,1968,6_66,6,66,,,,,
LRB,B38,xd1345,,1989,6_164,6,164,,,,,
LRB,B39,xd1347,,1960,6_1540,6,1540,,,,,
LRB,B40,xd917,,1990,6_282,6,282,,,,,
LRB,B41,xd1397,,1920,6_850,6,850,,,,,
LRB,B42,xd1403,,1901,6_450,6,450,,,,,
LRB,B43,xd1362,,1940,6_94,6,94,,,,,
LRB,B44,xd918,,1968,6_43,6,43,,,,,
LRB,B45,xd1401,,1938,6_235,6,235,,,,,
LRB,B46,xd919,,1600,6_5500,6,5500,,,,,
LRB,B47,xd920,,1975,6_100,6,100,,,,,
LRB,B48,xd1413,,1880,6_2346,6,2346,,,,,
LRB,B49,xd921,,1954,6_30,6,30,,,,,
LRB,B50,xd1411,,1910,6_106,6,106,,,,,
LRB,B51,xd1386,,1870,6_9000,6,9000,,,,,
LRB,B52,xd922,,1880,6_2100,6,2100,,,,,
LRB,B53,xd1387,,1900,6_3400,6,3400,,,,,
LRB,B54,xd1385,,1880,6_3497,6,3497,,,,,
LRB,B55,xd1383,,1870,6_2500,6,2500,,,,,
LRB,B60,xd923,,1980,6_1088,6,1088,,,,,
LRB,B61,xd924,,1976,6_1223,6,1223,,,,,
LRB,B62,xd925,,1977,6_937,6,937,,,,,
LRB,B63,xd926,,1980,6_3000,6,3000,,,,,
LRB,B64,xd927,,1980,6_750,6,750,,,,,
LRB,B65,xd5,,1930,6_1496,6,1496,,,,,
LRB,B66,xd928,,NA,6_300,6,300,,,,,
LRB,B67,xd929,,1950,6_124,6,124,,,,,
LRB,B68,xd930,,1920,6_2000,6,2000,,,,,
LRB,B69,xd9,,1910,6_600,6,600,,,,,
LRB,B70,xd2,,1920,6_151,6,151,,,,,
LRB,B71,xd931,,1928,6_3500,6,3500,,,,,
LRB,B72,xd1,,1950,6_726,6,726,,,,,
LRB,B73,xd7,,1910,6_7500,6,7500,,,,,
LRB,B74,xd932,,1962,6_528,6,528,,,,,
LRB,B75,xd933,,1976,6_954,6,954,,,,,
LRB,B76,xd934,,1968,6_122,6,122,,,,,
LRB,B77,xd935,,1920,6_364,6,364,,,,,
LRB,B78,xd936,,1950,6_280,6,280,,,,,
LRB,B79,xd8,,NA,6_300,6,300,,,,,
LRB,B82,xd937,,1848,6_140,6,140,,,,,
LRB,B83,xd938,,1900,6_1560,6,1560,,,,,
LRB,B84,xd939,,1978,6_1302,6,1302,,,,,
LRB,B85,xd940,,1970,6_77,6,77,,,,,
LRB,B86,xd941,,1973,6_35,6,35,,,,,
LRB,B87,xd774,,1950,6_400,6,400,,,,,
LRB,B88,xd777,,1930,6_588,6,588,,,,,
LRB,B89,xd942,,1920,6_442,6,442,,,,,
LRB,B90,xd781,,1920,6_1602,6,1602,,,,,
LRB,B91,xd943,,1920,6_528,6,528,,,,,
LRB,B92,xd944,,1960,6_1610,6,1610,,,,,
LRB,B93,xd945,,1930,6_217,6,217,,,,,
LRB,B94,xd775,,1937,6_104,6,104,,,,,
LRB,B95,xd778,,1920,6_2662,6,2662,,,,,
LRB,B96,xd946,,1880,6_650,6,650,,,,,
LRB,B97,xd776,,1930,6_595,6,595,,,,,
LRB,B98,xd947,,1926,6_75,6,75,,,,,
LRB,B99,xd948,,1900,6_445,6,445,,,,,
LRB,B100,xd949,,NA,6_1114,6,1114,,,,,
LRB,B101,xd950,,1934,6_562,6,562,,,,,
LRB,B102,xd951,,1909,6_120,6,120,,,,,
LRB,B103,xd952,,1928,6_165,6,165,,,,,
LRB,B104,xd953,,NA,6_536,6,536,,,,,
LRB,B105,xd954,,1900,6_585,6,585,,,,,
LRB,B106,xd780,,1910,6_1111,6,1111,,,,,
LRB,B107,xd955,,1870,6_1562,6,1562,,,,,
LRB,B108,xd956,,1934,6_1345,6,1345,,,,,
LRB,B109,xd773,,1965,6_1598,6,1598,,,,,
LRB,B110,xd957,,1880,6_299,6,299,,,,,
LRB,B111,xd958,,1960,6_169,6,169,,,,,
LRB,B112,xd959,,1968,6_354,6,354,,,,,
LRB,B113,xd960,,1936,6_343,6,343,,,,,
LRB,B114,xd961,,1848,6_500,6,500,,,,,
LRB,B115,xd962,,1840,6_219,6,219,,,,,
LRB,B116,xd963,,1900,6_660,6,660,,,,,
LRB,B117,xd964,,1965,6_560,6,560,,,,,
LRB,B118,xd965,,1968,6_312,6,312,,,,,
LRB,B119,xd966,,1850,6_804,6,804,,,,,
LRB,B120,xd967,,1968,6_358,6,358,,,,,
LRB,B121,xd779,,1900,6_420,6,420,,,,,
LRB,B122,xd968,,1870,6_500,6,500,,,,,
LRB,B123,xd969,,1922,6_572,6,572,,,,,
LRB,B124,xd772,,1900,6_2045,6,2045,,,,,
LRB,B125,xd970,,1880,6_1080,6,1080,,,,,
LRB,B126,xd971,,1912,6_429,6,429,,,,,
LRB,B127,xd972,,1941,6_300,6,300,,,,,
LRB,B128,xd973,,1890,6_3008,6,3008,,,,,
LRB,B129,xd974,,1840,6_1296,6,1296,,,,,
LRB,B130,xd784,,1910,6_3589,6,3589,,,,,
LRB,B131,xd975,,1850,6_200,6,200,,,,,
LRB,B132,xd976,,1850,6_889,6,889,,,,,
LRB,B133,xd977,,1850,6_2450,6,2450,,,,,
LRB,B134,xd978,,1850,6_1953,6,1953,,,,,
LRB,B135,xd979,,1850,6_336,6,336,,,,,
LRB,B136,xd980,,1830,6_700,6,700,,,,,
LRB,B137,xd783,,1830,6_450,6,450,,,,,
LRB,B143,xd1289,,1900,6_550,6,550,,,,,
LRB,B144,xd1131,,1870,6_3675,6,3675,,,,,
LRB,B145,xd1132,,1870,6_195,6,195,,,,,
LRB,B146,xd1134,,1880,6_445,6,445,,,,,
LRB,B147,xd1137,,1850,6_3000,6,3000,,,,,
LRB,B148,xd1123,,1860,6_6500,6,6500,,,,,
LRB,B149,xd1130,,1870,6_3500,6,3500,,,,,
LRB,B150,xd1133,,1860,6_5500,6,5500,,,,,
LRB,B151,xd1124,,1860,6_92,6,92,,,,,
LRB,B152,xd1118,,1850,6_1000,6,1000,,,,,
LRB,B153,xd1107,,1850,6_1575,6,1575,,,,,
LRB,B154,xd1129,,1850,6_360,6,360,,,,,
LRB,B155,xd1121,,1850,6_1517,6,1517,,,,,
LRB,B156,xd1128,,1770,6_5000,6,5000,,,,,
LRB,B157,xd1122,,1870,6_387,6,387,,,,,
