xd_id,iso_6933,N_iso_shared,DialectLanguageGlottocode,DialectLanguageLevel,FamilyGlottocode,FamilyLevel
xd277,gur,2,taln1239,dialect,atla1278,family
xd1361,guu,1,yano1261,language,yano1260,family
xd283,gux,1,gour1243,language,atla1278,family
xd79,guz,1,gusi1247,language,atla1278,family
xd946,gvn,1,kuku1273,language,pama1250,family
xd1037,gwi,1,gwic1235,language,atha1245,family
xd932,gwj,1,gwii1239,language,khoe1240,family
xd952,gyd,1,kaya1319,language,tang1340,family
xd1314,gym,1,ngab1239,language,chib1249,family
xd1008,haa,1,hann1241,language,atha1245,family
xd132,haq,1,haaa1252,language,atla1278,family
xd1105,has,1,hais1244,language,waka1280,family
xd1334,hat,1,hait1244,language,indo1319,family
xd476,hau,4,araw1280,dialect,afro1255,family
xd486,hau,4,kano1249,dialect,afro1255,family
xd475,hau,4,haus1257,language,afro1255,family
xd458,hau,4,kano1249,dialect,afro1255,family
xd895,haw,1,hawa1245,language,aust1307,family
xd112,hay,1,haya1250,language,atla1278,family
xd602,haz,1,haza1239,language,indo1319,family
xd1288,hch,1,huic1243,language,utoa1244,family
xd1068,hdn,1,nort2938,language,haid1248,family
xd589,heb,1,hebr1245,language,afro1255,family
xd125,heh,1,hehe1240,language,atla1278,family
xd1083,hei,1,heil1246,language,waka1280,family
xd10,her,1,here1253,language,atla1278,family
xd930,hgm,1,haio1238,language,khoe1240,family
xd1214,hid,1,hida1246,language,siou1252,family
xd133,hke,1,hund1239,language,atla1278,family
xd480,hmb,1,humb1243,language,song1307,family
xd685,hne,1,chha1249,language,indo1319,family
xd745,hnn,1,hanu1241,language,aust1307,family
xd666,hoc,1,hooo1248,language,aust1305,family
xd1013,hoi,1,holi1241,language,atha1245,family
xd1268,hop,1,hopi1249,language,utoa1244,family
xd854,hrc,1,tang1355,language,lowe1437,family
xd572,hun,1,hung1274,language,ural1272,family
xd1096,hup,1,hupa1239,language,atha1245,family
xd1086,hur,2,halk1245,language,sali1255,family
xd1087,hur,2,cowi1241,dialect,sali1255,family
xd1297,hus,1,huas1242,language,maya1287,family
xd1305,huv,1,sanm1287,language,huav1256,family
xd328,hwo,1,hwan1240,language,afro1255,family
xd575,hye,1,nucl1235,language,indo1319,family
xd813,ian,1,iatm1242,language,nduu1242,family
xd750,iba,1,iban1264,language,aust1307,family
xd198,ibb,1,ibib1240,language,atla1278,family
xd201,ibo,2,afik1238,dialect,atla1278,family
xd187,ibo,2,nucl1417,language,atla1278,family
xd314,ich,1,etky1238,language,atla1278,family
xd110,ida,1,idak1243,language,atla1278,family
xd207,idu,1,idom1241,language,atla1278,family
xd743,ifb,1,bata1298,language,aust1307,family
xd213,ife,1,ifee1241,language,atla1278,family
xd190,igb,1,ebir1243,language,atla1278,family
xd209,igl,1,igal1242,language,atla1278,family
xd199,ijn,1,kala1381,language,ijoi1239,family
xd1030,ike,4,baff1240,dialect,eski1264,family
xd1039,ike,4,labr1244,dialect,eski1264,family
xd1017,ike,4,queb1248,dialect,eski1264,family
xd1061,ike,4,queb1248,dialect,eski1264,family
xd1038,ikt,7,cari1277,dialect,eski1264,family
xd1024,ikt,7,cari1277,dialect,eski1264,family
xd1022,ikt,7,copp1244,dialect,eski1264,family
xd1060,ikt,7,nets1241,dialect,eski1264,family
xd1023,ikt,7,nets1241,dialect,eski1264,family
xd1019,ikt,7,sigl1242,dialect,eski1264,family
xd1025,ikt,7,west2618,language,eski1264,family
xd33,ilb,1,ilaa1246,language,atla1278,family
xd1066,ing,1,dege1248,language,atha1245,family
xd1230,iow,2,iowa1246,dialect,siou1252,family
xd1231,iow,2,otoo1241,dialect,siou1252,family
xd448,irk,1,iraq1241,language,afro1255,family
xd542,isl,1,icel1247,language,indo1319,family
xd203,iso,1,isok1239,language,atla1278,family
xd621,itl,1,itel1242,language,chuk1271,family
xd200,its,1,isek1239,language,atla1278,family
xd555,izh,1,ingr1248,language,ural1272,family
xd1315,jac,1,popt1235,language,maya1287,family
xd751,jas,1,newc1244,language,aust1307,family
xd309,jbu,1,juku1254,language,atla1278,family
xd313,jib,1,jibu1239,language,atla1278,family
xd1316,jic,1,toll1241,language,jica1245,family
xd1367,jiv,1,shua1257,language,jiva1245,family
xd369,jle,1,ngil1242,language,narr1279,family
xd447,jnj,2,fuga1235,dialect,gong1255,family
xd436,jnj,2,toba1264,dialect,gong1255,family
xd648,jpn,1,nucl1643,language,japo1237,family
xd522,kab,1,kaby1243,language,afro1255,family
xd711,kac,1,kach1280,language,sino1245,family
xd308,kad,1,kada1284,language,atla1278,family
xd459,kai,1,kare1348,language,afro1255,family
xd1040,kal,3,east2535,dialect,eski1264,family
xd1031,kal,3,pola1254,dialect,eski1264,family
xd1041,kal,3,west2617,dialect,eski1264,family
xd103,kam,1,kamb1297,language,atla1278,family
xd259,kao,1,xaas1235,language,mand1469,family
xd670,kas,1,kash1277,language,indo1319,family
xd584,kat,2,imer1248,dialect,kart1248,family
xd578,kat,2,xevs1238,dialect,kart1248,family
xd1402,kay,1,kama1373,language,tupi1275,family
xd609,kaz,1,kaza1248,language,turk1311,family
xd1391,kbc,1,kadi1248,language,guai1249,family
xd580,kbd,1,kaba1278,language,abkh1242,family
xd801,kbk,1,gras1249,language,koia1260,family
xd467,kbl,1,kane1243,language,saha1256,family
xd287,kbp,1,kabi1261,language,atla1278,family
xd438,kbr,1,kafa1242,language,gong1255,family
xd468,kby,1,mang1399,language,saha1256,family
xd618,kca,1,khan1273,language,ural1272,family
xd310,kcg,2,kago1246,dialect,atla1278,family
xd298,kcg,2,kata1265,dialect,atla1278,family
xd969,kdd,1,yank1247,language,pama1250,family
xd68,kde,1,mako1251,language,atla1278,family
xd291,kdh,1,temm1241,language,atla1278,family
xd397,kdj,2,jiee1239,dialect,nilo1247,family
xd407,kdj,2,nucl1430,dialect,nilo1247,family
xd63,kdn,1,kund1255,language,atla1278,family
xd560,kdr,1,kara1464,language,turk1311,family
xd113,ked,1,kere1283,language,atla1278,family
xd1283,kee,4,coch1273,dialect,kere1287,family
xd1278,kee,4,sant1425,dialect,kere1287,family
xd1262,kee,4,sant1426,dialect,kere1287,family
