xd_id,iso_6933,N_iso_shared,DialectLanguageGlottocode,DialectLanguageLevel,FamilyGlottocode,FamilyLevel,xd_id
xd1145,fla,2,kali1309,dialect,sali1255,family,xd1145
xd947,fln,1,flin1247,language,pama1250,family,xd947
xd171,fmp,1,fefe1239,language,atla1278,family,xd171
xd792,foi,1,foii1241,language,east2499,family,xd792
xd186,fon,1,fonn1241,language,atla1278,family,xd186
xd809,for,1,fore1270,language,nucl1709,family,xd809
xd540,fra,1,stan1290,language,indo1319,family,xd540
xd471,fub,1,adam1253,language,atla1278,family,xd471
xd473,fuc,1,pula1263,language,atla1278,family,xd473
xd887,fud,1,east2447,language,aust1307,family,xd887
xd294,fuf,1,pula1262,language,atla1278,family,xd294
xd472,fuh,1,west2454,language,atla1278,family,xd472
xd348,fuj,1,kooo1244,language,heib1242,family,xd348
xd485,fuv,2,boro1274,dialect,atla1278,family,xd485
xd474,fuv,2,boro1274,dialect,atla1278,family,xd474
xd802,fuy,1,fuyu1242,language,goil1242,family,xd802
xd466,fvr,1,furr1244,language,fura1235,family,xd466
xd223,gaa,1,gaaa1244,language,atla1278,family,xd223
xd554,gag,1,gaga1249,language,turk1311,family,xd554
xd417,gax,1,bora1271,language,afro1255,family,xd417
xd419,gaz,1,west2721,language,afro1255,family,xd419
xd953,gbd,1,kara1476,language,pama1250,family,xd953
xd206,gby,1,gbar1246,language,atla1278,family,xd206
xd327,gde,1,gude1246,language,afro1255,family,xd327
xd232,ggu,1,gagu1242,language,mand1469,family,xd232
xd950,gia,1,kitj1240,language,jarr1235,family,xd950
xd829,gil,2,bana1287,dialect,aust1307,family,xd829
xd838,gil,2,nuii1237,dialect,aust1307,family,xd838
xd998,git,1,gitx1241,language,tsim1258,family,xd998
xd637,gld,1,nana1257,language,tung1282,family,xd637
xd543,gle,1,iris1253,language,indo1319,family,xd543
xd509,gnc,1,guan1277,language,afro1255,family,xd509
xd676,gno,1,nort2702,language,drav1251,family,xd676
xd233,goa,1,guro1248,language,mand1469,family,xd233
xd92,gog,1,gogo1263,language,atla1278,family,xd92
xd236,gol,1,gola1255,language,atla1278,family,xd236
xd457,gow,1,goro1270,language,afro1255,family,xd457
xd333,grh,1,gbir1241,language,atla1278,family,xd333
xd696,grt,1,garo1247,language,sino1245,family,xd696
xd1331,guc,1,wayu1243,language,araw1281,family,xd1331
xd1347,guh,1,guah1255,language,guah1252,family,xd1347
xd1394,gui,1,east2555,language,tupi1275,family,xd1394
xd671,guj,1,guja1252,language,indo1319,family,xd671
xd1408,gun,1,mbya1239,language,tupi1275,family,xd1408
xd939,gup,1,gunw1252,language,gunw1250,family,xd939
xd920,guq,1,ache1246,language,tupi1275,family,xd920
xd247,gur,2,nank1249,dialect,atla1278,family,xd247
xd277,gur,2,taln1239,dialect,atla1278,family,xd277
xd1361,guu,1,yano1261,language,yano1260,family,xd1361
xd283,gux,1,gour1243,language,atla1278,family,xd283
xd79,guz,1,gusi1247,language,atla1278,family,xd79
xd946,gvn,1,kuku1273,language,pama1250,family,xd946
xd1037,gwi,1,gwic1235,language,atha1245,family,xd1037
xd932,gwj,1,gwii1239,language,khoe1240,family,xd932
xd952,gyd,1,kaya1319,language,tang1340,family,xd952
xd1314,gym,1,ngab1239,language,chib1249,family,xd1314
xd1008,haa,1,hann1241,language,atha1245,family,xd1008
xd132,haq,1,haaa1252,language,atla1278,family,xd132
xd1105,has,1,hais1244,language,waka1280,family,xd1105
xd1334,hat,1,hait1244,language,indo1319,family,xd1334
xd476,hau,4,araw1280,dialect,afro1255,family,xd476
xd486,hau,4,kano1249,dialect,afro1255,family,xd486
xd475,hau,4,haus1257,language,afro1255,family,xd475
xd458,hau,4,kano1249,dialect,afro1255,family,xd458
xd895,haw,1,hawa1245,language,aust1307,family,xd895
xd112,hay,1,haya1250,language,atla1278,family,xd112
xd602,haz,1,haza1239,language,indo1319,family,xd602
xd1288,hch,1,huic1243,language,utoa1244,family,xd1288
xd1068,hdn,1,nort2938,language,haid1248,family,xd1068
xd589,heb,1,hebr1245,language,afro1255,family,xd589
xd125,heh,1,hehe1240,language,atla1278,family,xd125
xd1083,hei,1,heil1246,language,waka1280,family,xd1083
xd10,her,1,here1253,language,atla1278,family,xd10
xd930,hgm,1,haio1238,language,khoe1240,family,xd930
xd1214,hid,1,hida1246,language,siou1252,family,xd1214
xd133,hke,1,hund1239,language,atla1278,family,xd133
xd480,hmb,1,humb1243,language,song1307,family,xd480
xd685,hne,1,chha1249,language,indo1319,family,xd685
xd745,hnn,1,hanu1241,language,aust1307,family,xd745
xd666,hoc,1,hooo1248,language,aust1305,family,xd666
xd1013,hoi,1,holi1241,language,atha1245,family,xd1013
xd1268,hop,1,hopi1249,language,utoa1244,family,xd1268
xd854,hrc,1,tang1355,language,lowe1437,family,xd854
xd572,hun,1,hung1274,language,ural1272,family,xd572
xd1096,hup,1,hupa1239,language,atha1245,family,xd1096
xd1086,hur,2,halk1245,language,sali1255,family,xd1086
xd1087,hur,2,cowi1241,dialect,sali1255,family,xd1087
xd1297,hus,1,huas1242,language,maya1287,family,xd1297
xd1305,huv,1,sanm1287,language,huav1256,family,xd1305
xd328,hwo,1,hwan1240,language,afro1255,family,xd328
xd575,hye,1,nucl1235,language,indo1319,family,xd575
xd813,ian,1,iatm1242,language,nduu1242,family,xd813
xd750,iba,1,iban1264,language,aust1307,family,xd750
xd198,ibb,1,ibib1240,language,atla1278,family,xd198
xd201,ibo,2,afik1238,dialect,atla1278,family,xd201
xd187,ibo,2,nucl1417,language,atla1278,family,xd187
xd314,ich,1,etky1238,language,atla1278,family,xd314
xd110,ida,1,idak1243,language,atla1278,family,xd110
xd207,idu,1,idom1241,language,atla1278,family,xd207
xd743,ifb,1,bata1298,language,aust1307,family,xd743
xd213,ife,1,ifee1241,language,atla1278,family,xd213
xd190,igb,1,ebir1243,language,atla1278,family,xd190
xd209,igl,1,igal1242,language,atla1278,family,xd209
xd199,ijn,1,kala1381,language,ijoi1239,family,xd199
xd1030,ike,4,baff1240,dialect,eski1264,family,xd1030
xd1039,ike,4,labr1244,dialect,eski1264,family,xd1039
xd1017,ike,4,queb1248,dialect,eski1264,family,xd1017
xd1061,ike,4,queb1248,dialect,eski1264,family,xd1061
xd1038,ikt,7,cari1277,dialect,eski1264,family,xd1038
xd1024,ikt,7,cari1277,dialect,eski1264,family,xd1024
xd1022,ikt,7,copp1244,dialect,eski1264,family,xd1022
xd1060,ikt,7,nets1241,dialect,eski1264,family,xd1060
xd1023,ikt,7,nets1241,dialect,eski1264,family,xd1023
xd1019,ikt,7,sigl1242,dialect,eski1264,family,xd1019
xd1025,ikt,7,west2618,language,eski1264,family,xd1025
xd33,ilb,1,ilaa1246,language,atla1278,family,xd33
xd1066,ing,1,dege1248,language,atha1245,family,xd1066
xd1230,iow,2,iowa1246,dialect,siou1252,family,xd1230
xd1231,iow,2,otoo1241,dialect,siou1252,family,xd1231
xd448,irk,1,iraq1241,language,afro1255,family,xd448
xd542,isl,1,icel1247,language,indo1319,family,xd542
xd203,iso,1,isok1239,language,atla1278,family,xd203
xd621,itl,1,itel1242,language,chuk1271,family,xd621
xd200,its,1,isek1239,language,atla1278,family,xd200
xd555,izh,1,ingr1248,language,ural1272,family,xd555
xd1315,jac,1,popt1235,language,maya1287,family,xd1315
xd751,jas,1,newc1244,language,aust1307,family,xd751
xd309,jbu,1,juku1254,language,atla1278,family,xd309
xd313,jib,1,jibu1239,language,atla1278,family,xd313
xd1316,jic,1,toll1241,language,jica1245,family,xd1316
xd1367,jiv,1,shua1257,language,jiva1245,family,xd1367
xd369,jle,1,ngil1242,language,narr1279,family,xd369
xd447,jnj,2,fuga1235,dialect,gong1255,family,xd447
xd436,jnj,2,toba1264,dialect,gong1255,family,xd436
xd648,jpn,1,nucl1643,language,japo1237,family,xd648
xd522,kab,1,kaby1243,language,afro1255,family,xd522
xd711,kac,1,kach1280,language,sino1245,family,xd711
xd308,kad,1,kada1284,language,atla1278,family,xd308
xd459,kai,1,kare1348,language,afro1255,family,xd459
xd1040,kal,3,east2535,dialect,eski1264,family,xd1040
xd1031,kal,3,pola1254,dialect,eski1264,family,xd1031
xd1041,kal,3,west2617,dialect,eski1264,family,xd1041
xd103,kam,1,kamb1297,language,atla1278,family,xd103
xd259,kao,1,xaas1235,language,mand1469,family,xd259
xd670,kas,1,kash1277,language,indo1319,family,xd670
xd584,kat,2,imer1248,dialect,kart1248,family,xd584
xd578,kat,2,xevs1238,dialect,kart1248,family,xd578
xd1402,kay,1,kama1373,language,tupi1275,family,xd1402
xd609,kaz,1,kaza1248,language,turk1311,family,xd609
xd1391,kbc,1,kadi1248,language,guai1249,family,xd1391
xd580,kbd,1,kaba1278,language,abkh1242,family,xd580
xd801,kbk,1,gras1249,language,koia1260,family,xd801
xd467,kbl,1,kane1243,language,saha1256,family,xd467
xd287,kbp,1,kabi1261,language,atla1278,family,xd287
xd438,kbr,1,kafa1242,language,gong1255,family,xd438
xd468,kby,1,mang1399,language,saha1256,family,xd468
xd618,kca,1,khan1273,language,ural1272,family,xd618
xd310,kcg,2,kago1246,dialect,atla1278,family,xd310
xd298,kcg,2,kata1265,dialect,atla1278,family,xd298
xd969,kdd,1,yank1247,language,pama1250,family,xd969
xd68,kde,1,mako1251,language,atla1278,family,xd68
xd291,kdh,1,temm1241,language,atla1278,family,xd291
xd397,kdj,2,jiee1239,dialect,nilo1247,family,xd397
xd407,kdj,2,nucl1430,dialect,nilo1247,family,xd407
xd63,kdn,1,kund1255,language,atla1278,family,xd63
xd560,kdr,1,kara1464,language,turk1311,family,xd560
xd113,ked,1,kere1283,language,atla1278,family,xd113
xd1283,kee,4,coch1273,dialect,kere1287,family,xd1283
xd1278,kee,4,sant1425,dialect,kere1287,family,xd1278
xd1262,kee,4,sant1426,dialect,kere1287,family,xd1262
xd1276,kee,4,ziaa1251,dialect,kere1287,family,xd1276
xd770,kei,1,keii1239,language,aust1307,family,xd770
xd912,kej,1,kada1242,language,drav1251,family,xd912
xd140,kel,1,kela1254,language,atla1278,family,xd140
xd193,ken,1,keny1279,language,atla1278,family,xd193
xd389,keo,1,kakw1240,language,nilo1247,family,xd389
xd636,ket,1,kett1243,language,yeni1252,family,xd636
xd681,kfa,1,koda1255,language,drav1251,family,xd681
xd674,kff,1,koya1251,language,drav1251,family,xd674
xd368,kgo,1,kron1241,language,kadu1256,family,xd368
xd808,kgq,1,kamo1255,language,nucl1709,family,xd808
xd714,kha,1,khas1269,language,aust1305,family,xd714
xd611,khk,1,halh1238,language,mong1329,family,xd611
xd722,khm,2,nucl1298,dialect,aust1305,family,xd722
xd727,khm,2,sout2688,dialect,aust1305,family,xd727
xd22,khu,1,nkhu1238,language,atla1278,family,xd22
xd146,khy,1,kele1255,language,atla1278,family,xd146
xd367,kib,1,koal1240,language,heib1242,family,xd367
xd1235,kic,1,kick1244,language,algi1248,family,xd1235
xd852,kij,1,kili1267,language,aust1307,family,xd852
xd109,kik,1,kiku1240,language,atla1278,family,xd109
xd128,kin,1,kiny1244,language,atla1278,family,xd128
xd1216,kio,1,kiow1266,language,kiow1265,family,xd1216
xd789,kjd,1,sout2949,language,kiwa1251,family,xd789
xd1263,kjq,2,acom1246,dialect,kere1287,family,xd1263
xd1264,kjq,2,acom1246,dialect,kere1287,family,xd1264
xd121,kki,1,kagu1239,language,atla1278,family,xd121
xd1056,kkz,1,kask1239,language,atha1245,family,xd1056
xd1134,klb,1,kili1268,language,coch1271,family,xd1134
xd970,kld,1,gami1243,language,pama1250,family,xd970
xd228,klu,1,klao1243,language,atla1278,family,xd228
xd788,kmo,1,kwom1262,language,sepi1257,family,xd788
xd152,kmw,1,komo1260,language,atla1278,family,xd152
xd478,kna,1,dera1248,language,afro1255,family,xd478
xd739,knb,1,lubu1243,language,aust1307,family,xd739
xd260,knk,1,kura1250,language,mand1469,family,xd260
xd725,kns,1,kens1248,language,aust1305,family,xd725
xd763,kod,1,kodi1247,language,aust1307,family,xd763
xd1327,kog,1,cogu1240,language,chib1249,family,xd1327
xd114,koo,1,konz1239,language,atla1278,family,xd114
xd638,kor,1,kore1280,language,kore1284,family,xd638
xd826,kos,1,kosr1238,language,aust1307,family,xd826
xd346,kot,1,lagw1237,language,afro1255,family,xd346
xd1010,koy,1,koyu1237,language,atha1245,family,xd1010
xd1352,kpc,1,curr1243,language,araw1281,family,xd1352
xd886,kpg,1,kapi1249,language,aust1307,family,xd886
xd1407,kpj,1,kara1500,language,nucl1710,family,xd1407
xd633,kpy,1,kory1246,language,chuk1271,family,xd633
xd403,kpz,1,kups1238,language,nilo1247,family,xd403
xd797,kqi,1,koit1244,language,koia1260,family,xd797
xd58,kqn,1,kaon1241,language,atla1278,family,xd58
xd197,kqs,1,nort2765,language,atla1278,family,xd197
xd449,kqy,2,koor1239,language,gong1255,family,xd449
xd418,kqy,2,koor1239,language,gong1255,family,xd418
xd311,krh,1,kura1249,language,atla1278,family,xd311
xd229,krn,1,sapo1251,language,atla1278,family,xd229
xd668,kru,1,kuru1302,language,drav1251,family,xd668
xd227,krw,1,west2488,language,atla1278,family,xd227
xd77,ksb,1,sham1280,language,atla1278,family,xd77
xd169,ksf,1,bafi1243,language,atla1278,family,xd169
xd141,ksv,1,kusu1252,language,atla1278,family,xd141
xd800,kts,1,sout2940,language,nucl1709,family,xd800
xd1,ktz,1,juho1239,language,kxaa1236,family,xd1
xd1398,kui,1,kuik1246,language,cari1283,family,xd1398
xd579,kum,1,kumy1244,language,turk1311,family,xd579
xd279,kus,1,kusa1250,language,atla1278,family,xd279
xd757,kvb,1,kubu1239,language,aust1307,family,xd757
xd329,kvj,1,psik1239,language,afro1255,family,xd329
xd1309,kvn,1,bord1248,language,chib1249,family,xd1309
xd850,kwd,1,kwai1243,language,aust1307,family,xd850
xd811,kwe,1,nucl1595,language,kwer1242,family,xd811
xd1090,kwk,1,kwak1269,language,waka1280,family,xd1090
xd415,kxc,1,kons1243,language,afro1255,family,xd415
xd675,kxu,1,kuii1252,language,drav1251,family,xd675
xd1310,lac,1,laca1243,language,maya1287,family,xd1310
xd93,lag,1,lang1320,language,atla1278,family,xd93
xd409,laj,1,lang1324,language,nilo1247,family,xd409
xd341,lak,1,laka1252,language,atla1278,family,xd341
xd142,lal,1,lali1242,language,atla1278,family,xd142
xd71,lam,1,lamb1271,language,atla1278,family,xd71
xd530,lat,1,lati1261,language,indo1319,family,xd530
xd559,lav,1,latv1249,language,indo1319,family,xd559
xd748,lbk,1,cent2292,language,aust1307,family,xd748
xd716,lbn,1,lame1256,language,aust1305,family,xd716
xd951,lbz,1,lard1243,language,tang1340,family,xd951
xd52,lch,1,luch1239,language,atla1278,family,xd52
xd59,leb,1,lala1264,language,atla1278,family,xd59
xd358,led,1,lend1245,language,cent2225,family,xd358
xd1396,leg,1,leng1262,language,leng1261,family,xd1396
xd48,lel,1,lele1265,language,atla1278,family,xd48
xd655,lep,1,lepc1244,language,sino1245,family,xd655
xd360,les,1,lese1243,language,cent2225,family,xd360
xd362,lgg,1,lugb1240,language,cent2225,family,xd362
xd652,lic,1,hlai1239,language,taik1256,family,xd652
xd1207,lil,1,lill1248,language,sali1255,family,xd1207
xd573,lit,1,lith1251,language,indo1319,family,xd573
xd562,liv,1,livv1244,language,ural1272,family,xd562
xd408,lkr,1,pari1256,language,nilo1247,family,xd408
xd1227,lkt,1,lako1247,language,siou1252,family,xd1227
xd870,llx,1,laua1243,language,aust1307,family,xd870
xd155,lmi,1,lomb1254,language,cent2225,family,xd155
xd179,lmp,1,limb1268,language,atla1278,family,xd179
xd864,lmu,1,lame1260,language,aust1307,family,xd864
xd1120,lmw,1,lake1258,language,miwo1274,family,xd1120
xd178,lns,1,lamn1239,language,atla1278,family,xd178
xd321,lnu,1,long1389,language,atla1278,family,xd321
xd246,lob,1,lobi1245,language,atla1278,family,xd246
xd361,log,1,logo1259,language,cent2225,family,xd361
xd139,lol,3,ekon1238,dialect,atla1278,family,xd139
xd143,lol,3,kond1299,dialect,atla1278,family,xd143
xd160,lol,3,nkun1238,dialect,atla1278,family,xd160
xd387,lot,1,otuh1238,language,nilo1247,family,xd387
xd26,loz,1,lozi1239,language,atla1278,family,xd26
xd148,lse,1,luse1252,language,atla1278,family,xd148
xd134,lua,1,luba1249,language,atla1278,family,xd134
xd182,lub,1,luba1250,language,atla1278,family,xd182
xd35,lue,1,luva1239,language,atla1278,family,xd35
xd124,lug,1,gand1255,language,atla1278,family,xd124
xd1133,lui,1,luis1253,language,utoa1244,family,xd1133
xd53,lum,1,luim1238,language,atla1278,family,xd53
xd72,lun,1,lund1266,language,atla1278,family,xd72
xd411,luo,1,luok1236,language,nilo1247,family,xd411
xd334,maf,1,mafa1239,language,afro1255,family,xd334
xd827,mah,3,rali1241,dialect,aust1307,family,xd827
xd834,mah,3,rata1243,dialect,aust1307,family,xd834
xd832,mah,3,rata1243,dialect,aust1307,family,xd832
xd759,mak,1,maka1311,language,aust1307,family,xd759
xd1324,mam,1,mamm1241,language,maya1287,family,xd1324
xd395,mas,1,masa1300,language,nilo1247,family,xd395
xd1357,mav,1,sate1243,language,tupi1275,family,xd1357
xd284,maw,1,mamp1244,language,atla1278,family,xd284
xd1338,mbc,1,macu1259,language,cari1283,family,xd1338
xd917,mbr,1,nuka1242,language,kaku1242,family,xd917
xd1342,mch,1,maqu1238,language,cari1283,family,xd1342
xd383,mcn,1,masa1322,language,afro1255,family,xd383
xd331,mcu,1,came1252,language,atla1278,family,xd331
xd342,mdd,1,mbum1254,language,atla1278,family,xd342
xd379,mdi,1,mamv1243,language,cent2225,family,xd379
xd339,mdj,2,nucl1420,dialect,cent2225,family,xd339
xd357,mdj,2,popo1291,dialect,cent2225,family,xd357
xd39,mdp,1,mbal1257,language,atla1278,family,xd39
xd429,mdy,1,male1284,language,gong1255,family,xd429
xd460,mei,1,mido1240,language,nubi1251,family,xd460
xd799,mek,1,meke1243,language,aust1307,family,xd799
xd230,men,1,mend1266,language,mand1469,family,xd230
xd104,mer,1,meru1245,language,atla1278,family,xd104
xd786,meu,1,motu1246,language,aust1307,family,xd786
xd504,mey,6,hass1238,language,afro1255,family,xd504
xd495,mey,6,hass1238,language,afro1255,family,xd495
xd496,mey,6,hass1238,language,afro1255,family,xd496
xd487,mey,6,hass1238,language,afro1255,family,xd487
xd527,mey,6,hass1238,language,afro1255,family,xd527
xd497,mey,6,hass1238,language,afro1255,family,xd497
xd1243,mez,1,meno1252,language,algi1248,family,xd1243
xd289,mfq,1,moba1244,language,atla1278,family,xd289
xd376,mfz,1,maba1273,language,nilo1247,family,xd376
xd364,mgd,1,moru1253,language,cent2225,family,xd364
xd181,mgo,1,meta1238,language,atla1278,family,xd181
xd70,mgr,1,mamb1296,language,atla1278,family,xd70
xd65,mgs,1,mand1423,language,atla1278,family,xd65
xd798,mgu,1,mail1248,language,mail1249,family,xd798
xd120,mgz,1,mbug1242,language,atla1278,family,xd120
xd363,mhi,1,madi1260,language,cent2225,family,xd363
xd606,mhj,1,mogh1245,language,mong1329,family,xd606
xd170,mhk,1,mung1266,language,atla1278,family,xd170
xd752,mhp,1,bali1279,language,aust1307,family,xd752
xd1225,mhq,1,mand1446,language,siou1252,family,xd1225
xd568,mhr,1,east2328,language,ural1272,family,xd568
xd1238,mia,1,miam1252,language,algi1248,family,xd1238
xd1058,mic,1,mikm1235,language,algi1248,family,xd1058
xd1251,mik,1,mika1239,language,musk1252,family,xd1251
xd755,min,1,mina1268,language,aust1307,family,xd755
xd1325,miq,1,misk1235,language,misu1242,family,xd1325
xd610,mjg,1,tuuu1240,language,mong1329,family,xd610
xd641,mji,1,kimm1245,language,hmon1336,family,xd641
xd905,mjp,1,mala1468,language,drav1251,family,xd905
xd704,mjw,1,karb1241,language,sino1245,family,xd704
xd297,mlq,1,west2500,language,mand1469,family,xd297
xd866,mmg,1,nort2839,language,aust1307,family,xd866
xd677,mmk,1,mukh1238,language,drav1251,family,xd677
xd646,mnc,1,manc1252,language,tung1282,family,xd646
xd724,mng,1,east2333,language,aust1305,family,xd724
xd1164,mnr,4,mono1275,language,utoa1244,family,xd1164
xd1122,mnr,4,mono1275,language,utoa1244,family,xd1122
xd993,mnr,4,mono1275,language,utoa1244,family,xd993
xd1162,mnr,4,mono1275,language,utoa1244,family,xd1162
xd623,mns,1,mans1258,language,ural1272,family,xd623
xd877,mnv,1,renn1242,language,aust1307,family,xd877
xd1048,moe,1,mont1268,language,algi1248,family,xd1048
xd371,mor,1,moro1285,language,heib1242,family,xd371
xd285,mos,1,moss1236,language,atla1278,family,xd285
xd1272,mov,1,moha1256,language,coch1271,family,xd1272
xd851,mox,1,moli1248,language,aust1307,family,xd851
xd948,mpb,1,mull1237,language,nort1547,family,xd948
xd958,mpj,1,mart1256,language,pama1250,family,xd958
xd391,mqu,1,mand1425,language,nilo1247,family,xd391
xd909,mra,1,mlab1235,language,aust1305,family,xd909
xd1281,mrc,1,mari1440,language,coch1271,family,xd1281
xd710,mrh,1,mara1382,language,sino1245,family,xd710
xd891,mri,1,maor1246,language,aust1307,family,xd891
xd825,mrl,1,mort1237,language,aust1307,family,xd825
xd892,mrq,1,nort2845,language,aust1307,family,xd892
xd332,mrt,1,marg1265,language,afro1255,family,xd332
xd896,mrv,1,mang1401,language,aust1307,family,xd896
xd720,mtq,1,muon1246,language,aust1305,family,xd720
xd862,mtt,1,mota1237,language,aust1307,family,xd862
xd343,mua,1,mund1325,language,atla1278,family,xd343
xd347,mug,1,musg1254,language,afro1255,family,xd347
xd1252,mus,1,cree1270,language,musk1252,family,xd1252
xd806,mva,1,mana1295,language,aust1307,family,xd806
xd1099,mvb,1,matt1238,language,atha1245,family,xd1099
xd642,mvi,1,miya1259,language,japo1237,family,xd642
xd603,mvy,1,indu1241,language,indo1319,family,xd603
xd782,mwf,1,murr1258,language,sout2772,family,xd782
xd82,mwn,1,nyam1275,language,atla1278,family,xd82
xd937,mwp,1,kala1377,language,pama1250,family,xd937
xd728,mwt,1,moke1242,language,aust1307,family,xd728
xd756,mwv,1,ment1249,language,aust1307,family,xd756
xd709,mya,1,nucl1310,language,sino1245,family,xd709
xd167,mye,1,myen1241,language,atla1278,family,xd167
xd1084,myh,1,maka1318,language,waka1280,family,xd1084
xd268,myk,1,mama1271,language,atla1278,family,xd268
xd393,mym,1,meen1242,language,surm1244,family,xd393
xd434,myo,1,anfi1235,language,gong1255,family,xd434
xd1353,myu,1,mund1330,language,tupi1275,family,xd1353
xd552,myv,1,erzy1239,language,ural1272,family,xd552
xd126,myx,1,masa1299,language,atla1278,family,xd126
xd501,mzb,1,tumz1238,language,afro1255,family,xd501
xd322,mzm,1,nucl1240,language,atla1278,family,xd322
xd353,mzv,1,manz1243,language,atla1278,family,xd353
xd1401,nab,1,sout2994,language,namb1299,family,xd1401
xd859,nak,1,naka1262,language,aust1307,family,xd859
xd649,nan,1,minn1241,language,sino1245,family,xd649
xd532,nap,1,neap1235,language,indo1319,family,xd532
xd4,naq,2,dama1270,dialect,khoe1240,family,xd4
xd3,naq,2,nama1265,dialect,khoe1240,family,xd3
xd336,nar,1,igut1238,language,atla1278,family,xd336
xd828,nau,1,naur1243,language,aust1307,family,xd828
xd1279,nav,1,nava1243,language,atha1245,family,xd1279
xd975,nay,1,narr1259,language,pama1250,family,xd975
xd352,nbm,1,ngba1284,language,atla1278,family,xd352
xd856,ncf,1,nots1237,language,aust1307,family,xd856
xd1301,nci,1,clas1250,language,utoa1244,family,xd1301
xd18,ndc,1,ndau1241,language,atla1278,family,xd18
xd318,ndi,1,samb1305,language,atla1278,family,xd318
xd316,ndr,1,ndoo1241,language,atla1278,family,xd316
xd234,neb,1,tour1242,language,mand1469,family,xd234
xd625,neg,1,negi1245,language,tung1282,family,xd625
xd1153,nez,1,nezp1238,language,saha1239,family,xd1153
xd355,ngb,1,nort2774,language,atla1278,family,xd355
xd159,ngc,2,binj1250,dialect,atla1278,family,xd159
xd935,ngh,1,nuuu1241,language,tuuu1241,family,xd935
xd479,ngi,1,ngiz1242,language,afro1255,family,xd479
xd75,ngo,1,ngon1269,language,atla1278,family,xd75
xd122,ngp,1,ngul1246,language,atla1278,family,xd122
xd1308,nhn,1,cent2132,language,utoa1244,family,xd1308
xd7,nhr,1,naro1249,language,khoe1240,family,xd7
xd620,nio,1,ngan1291,language,ural1272,family,xd620
xd412,niq,1,nand1266,language,nilo1247,family,xd412
xd888,niu,1,niue1239,language,aust1307,family,xd888
xd707,njh,1,loth1237,language,sino1245,family,xd707
xd700,njm,1,anga1288,language,sino1245,family,xd700
xd701,njo,1,aona1235,language,sino1245,family,xd701
xd976,nju,1,ngad1258,language,pama1250,family,xd976
xd161,njy,1,njye1238,language,atla1278,family,xd161
xd272,nku,1,boun1243,language,atla1278,family,xd272
xd541,nld,1,dutc1256,language,indo1319,family,xd541
xd163,nmg,1,kwas1243,language,atla1278,family,xd163
xd934,nmn,1,huaa1248,language,tuuu1241,family,xd934
xd280,nnw,1,sout2795,language,atla1278,family,xd280
xd1107,nol,1,wint1259,language,wint1258,family,xd1107
xd702,nre,1,sout2732,language,sino1245,family,xd702
xd1063,nsk,1,nask1242,language,algi1248,family,xd1063
xd703,nsm,1,sumi1235,language,sino1245,family,xd703
xd15,nso,2,lobe1242,dialect,atla1278,family,xd15
xd16,nso,2,tswe1238,dialect,atla1278,family,xd16
xd1111,nsz,1,nise1244,language,maid1262,family,xd1111
xd965,ntj,1,ngaa1240,language,pama1250,family,xd965
xd1294,ntp,1,nort2959,language,utoa1244,family,xd1294
xd875,ntu,1,natu1246,language,aust1307,family,xd875
xd1070,nuk,1,nuuc1236,language,waka1280,family,xd1070
xd242,nup,1,nupe1254,language,atla1278,family,xd242
xd406,nus,1,nuer1246,language,nilo1247,family,xd406
xd944,nuy,1,nung1290,language,gunw1250,family,xd944
xd863,nwi,1,sout2869,language,aust1307,family,xd863
xd34,nya,2,chew1246,dialect,atla1278,family,xd34
xd64,nya,2,nucl1395,dialect,atla1278,family,xd64
xd101,nyf,1,giry1241,language,atla1278,family,xd101
xd374,nyi,1,amas1236,language,nyim1244,family,xd374
xd30,nyk,1,nyan1305,language,atla1278,family,xd30
xd88,nym,1,nyam1276,language,atla1278,family,xd88
xd115,nyn,1,nyan1307,language,atla1278,family,xd115
xd87,nyo,1,nyor1246,language,atla1278,family,xd87
xd83,nyy,2,ngon1268,dialect,atla1278,family,xd83
xd123,nyy,2,nyak1261,dialect,atla1278,family,xd123
xd315,nza,1,tigo1236,language,atla1278,family,xd315
xd627,oaa,1,orok1265,language,tung1282,family,xd627
xd629,oac,1,oroc1248,language,tung1282,family,xd629
xd1049,ojb,4,alba1270,dialect,algi1248,family,xd1049
xd1050,ojb,4,lacs1238,dialect,algi1248,family,xd1050
xd1229,ojb,4,lake1257,dialect,algi1248,family,xd1229
xd1053,ojb,4,rain1239,dialect,algi1248,family,xd1053
xd1051,ojc,1,cent2136,language,algi1248,family,xd1051
xd1055,ojg,1,east2542,language,algi1248,family,xd1055
xd1003,ojs,3,seve1241,dialect,algi1248,family,xd1003
xd1006,ojs,3,seve1241,dialect,algi1248,family,xd1006
xd1004,ojs,3,wini1244,dialect,algi1248,family,xd1004
xd884,ojv,1,onto1237,language,aust1307,family,xd884
xd1213,ojw,1,west1510,language,algi1248,family,xd1213
xd1174,oka,3,sanp1257,dialect,sali1255,family,xd1174
xd1001,oka,3,sout2963,dialect,sali1255,family,xd1001
xd1147,oka,3,sout2963,dialect,sali1255,family,xd1147
xd823,okv,1,orok1269,language,nucl1709,family,xd823
xd98,old,1,moch1256,language,atla1278,family,xd98
xd556,olo,1,livv1243,language,ural1272,family,xd556
xd1237,oma,2,omah1248,dialect,siou1252,family,xd1237
xd1232,oma,2,ponc1241,dialect,siou1252,family,xd1232
