xd_id,iso_6933,N_iso_shared,DialectLanguageGlottocode,DialectLanguageLevel,FamilyGlottocode,FamilyLevel,xd_id
xd1399,tpy,1,trum1247,language,trum1247,language,xd1399
xd1196,was,1,wash1253,language,wash1253,language,xd1196
xd1335,wba,1,wara1303,language,wara1303,language,xd1335
xd1221,xcw,1,coah1252,language,coah1252,language,xd1221
xd1383,yag,1,yama1264,language,yama1264,language,xd1383
xd1109,ynn,1,yana1271,language,yana1271,language,xd1109
xd1246,yuc,1,yuch1247,language,yuch1247,language,xd1246
xd1215,zkk,1,kara1289,language,kara1289,language,xd1215
xd1280,zun,1,zuni1245,language,zuni1245,language,xd1280
xd938,lrg,1,lara1258,language,lara1258,language,xd938
xd440,nrb,1,nara1262,language,nara1262,language,xd440
xd441,kun,1,kuna1268,language,kuna1268,language,xd441
xd1088,aes,1,alse1251,language,alse1251,language,xd1088
xd1091,tkm,1,take1257,language,take1257,language,xd1091
xd1378,pbb,1,paez1247,language,paez1247,language,xd1378
xd804,byz,1,bana1292,language,bana1292,language,xd804
xd6,sad,1,sand1273,language,sand1273,language,xd6
xd778,tiw,1,tiwi1244,language,tiwi1244,language,xd778
xd822,iar,1,pura1257,language,pura1257,language,xd822
xd1257,tjm,1,timu1245,language,timu1245,language,xd1257
xd1345,yae,1,pume1238,language,pume1238,language,xd1345
xd843,yle,1,yele1255,language,yele1255,language,xd843
xd653,adi,1,bori1243,language,sino1245,family,xd653
xd517,aeb,3,sahi1245,dialect,afro1255,family,xd517
xd210,ahs,1,ashe1269,language,atla1278,family,xd210
xd807,aon,1,bumb1241,language,nucl1708,family,xd807
xd686,apq,1,apuc1241,language,grea1241,family,xd686
xd513,ary,2,jebl1238,dialect,afro1255,family,xd513
xd251,bab,1,bain1259,language,atla1278,family,xd251
xd267,bbo,1,nort2819,language,mand1469,family,xd267
xd337,bbp,1,west2458,language,atla1278,family,xd337
xd153,bcp,1,bali1274,language,atla1278,family,xd153
xd60,bem,2,luun1238,dialect,atla1278,family,xd60
xd241,bet,1,guib1246,language,atla1278,family,xd241
xd249,bgo,1,baga1273,language,atla1278,family,xd249
xd667,bhb,1,bhil1251,language,indo1319,family,xd667
xd288,biv,1,sout2790,language,atla1278,family,xd288
xd614,bxr,1,russ1264,language,mong1329,family,xd614
xd691,caq,1,carn1240,language,aust1305,family,xd691
xd1380,cni,1,asha1243,language,araw1281,family,xd1380
xd1392,crq,1,iyow1239,language,mata1289,family,xd1392
xd1127,crz,1,cruz1243,language,chum1262,family,xd1127
xd1295,csa,1,chil1282,language,otom1299,family,xd1295
xd1136,csm,1,cent2140,language,miwo1274,family,xd1136
xd266,dbw,1,bank1259,language,dogo1299,family,xd266
xd276,dga,1,sout2789,language,atla1278,family,xd276
xd386,dik,1,sout2832,language,nilo1247,family,xd386
xd816,dnt,1,midg1235,language,nucl1709,family,xd816
xd271,dos,1,dogo1295,language,atla1278,family,xd271
xd754,dtp,1,cent2100,language,aust1307,family,xd754
xd1320,emp,1,nort2972,language,choc1280,family,xd1320
