ID,STANDARD SOCIETY NAME Binford,ISO693_3,LangNam,ISO_PAST (use with WLMS language GIS data),LangNam_PAST (use with WLMS language GIS data),LangFamily_R,Class2,Class3,ISO_Note,Prelim_BantuTreeName,Prelim_ANTreeName,Prelim_IETreeName,Prelim_UATreeName,Prelim_SemiticTreeName,Possible Bantoid society?,Possible Bantu society (narrow Bantu)?,Possible Austronesian society?,Possible Indo-European society?,Possible Uto-Aztecan society?,Possible Semitic society?
B167,Lassik,wlk,Wailaki,wlk,Wailaki,Eyak-Athabaskan,Athabaskan,Pacific Coast Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B168,Coast Miwok,csi,"Miwok, Coast",csi,"Miwok, Coast",Miwok-Costanoan,Miwokan,Western Miwokan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B169,Mattole,mvb,Mattole,mvb,Mattole,Eyak-Athabaskan,Athabaskan,Pacific Coast Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B170,Lake Miwok,lmw,"Miwok, Lake",lmw,"Miwok, Lake",Miwok-Costanoan,Miwokan,Western Miwokan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B171,Yuki Proper,yuk,Yuki,yuk,Yuki,Yukian,Core Yukian,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B172,Wappo,wao,Wappo,wao,Wappo,Yukian,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B173,Nothern Pomo,pej,"Pomo, Northern",pej,"Pomo, Northern",Pomoan,Western,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B174,Northern Yana,ynn,Yana,ynn,Yana,Language isolate,NA,NA,EXTINCT,NA,NA,NA,NA,NA,0,0,0,0,0,0
B175,Sierra Miwok,csm,"Miwok, Central Sierra",csm,"Miwok, Central Sierra",Miwok-Costanoan,Miwokan,Eastern Miwokan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B176,Tekelma,tkm,Takelma,tkm,Takelma,Oregon Penutian,NA,NA,EXTINCT,NA,NA,NA,NA,NA,0,0,0,0,0,0
B177,Coast Yuki,yuk,Yuki,yuk,Yuki,Yukian,Core Yukian,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B178,Tolowa,tol,Tolowa,tol,Tolowa,Eyak-Athabaskan,Athabaskan,Pacific Coast Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B179,Shasta,sht,Shasta,sht,Shasta,Language isolate,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B180,Hupa,hup,Hupa,hup,Hupa,Eyak-Athabaskan,Athabaskan,Pacific Coast Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B181,Tututni,tuu,Tututni,tuu,Tututni,Eyak-Athabaskan,Athabaskan,Pacific Coast Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B182,Karok,kyh,Karok,kyh,Karok,Language isolate,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B183,Atsugewi,atw,Atsugewi,atw,Atsugewi,Palaihnihan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B184,Wiyot,wiy,Wiyot,wiy,Wiyot,Algic,Ritwan,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B185,Mountain Maidu,vmv,"Maidu, Valley",vmv,"Maidu, Valley",Maiduan,Maidu,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B186,Yurok,yur,Yurok,yur,Yurok,Algic,Ritwan,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B187,Achomawi,acv,Achumawi,acv,Achumawi,Palaihnihan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B188,Modoc,kla,Klamath-Modoc,kla,Klamath-Modoc,Language isolate,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B189,Klamath,kla,Klamath-Modoc,kla,Klamath-Modoc,Language isolate,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B190,Guaicura,qjg,Guaicura,NO_ISO,NO_ISO,Unclassified,NA,NA,EXTINCT,NA,NA,NA,NA,NA,0,0,0,0,0,0
B191,Chichimec,pei,Chichimeca-Jonaz,pei,Chichimeca-Jonaz,Otomanguean,Western Otomanguean,Oto-Pame-Chinantecan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B192,Death Valley Shoshoni,par,Timbisha,par,Timbisha,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,check,NA,0,0,0,0,1,0
B193,Karankawa,zkk,Karankawa,zkk,Karankawa,Language isolate,NA,NA,EXTINCT,NA,NA,NA,NA,NA,0,0,0,0,0,0
B194,Coahuilenos,xcw,Coahuilteco,xcw,Coahuilteco,Language isolate,NA,NA,EXTINCT,NA,NA,NA,NA,NA,0,0,0,0,0,0
B195,Panamint Shoshoni,par,Timbisha,par,Timbisha,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,Pannamint,NA,0,0,0,0,1,0
B196,Yavapai,yuf,Havasupai-Walapai-Yavapai,yuf,Havasupai-Walapai-Yavapai,Cochimí-Yuman,Yuman,Pai,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B197,Koso Mountain Shoshoni,par,Timbisha,par,Timbisha,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,check,NA,0,0,0,0,1,0
B198,Walapai,yuf,Havasupai-Walapai-Yavapai,yuf,Havasupai-Walapai-Yavapai,Cochimí-Yuman,Yuman,Pai,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B199,Kawaiisu Shoshoni,xaw,Kawaiisu,xaw,Kawaiisu,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,Kawaiisu,NA,0,0,0,0,1,0
B200,Saline Valley Shoshoni,par,Timbisha,par,Timbisha,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,check,NA,0,0,0,0,1,0
B201,Antarianunts Southern Paiute,ute,Ute-Southern Paiute,ute,Ute-Southern Paiute,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,SouthernPaiute,NA,0,0,0,0,1,0
B202,Owens Valley Paiute (Eastern Mono),mnr,Mono,mnr,Mono,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,Mono,NA,0,0,0,0,1,0
B203,Kawich Mountain Shoshoni,shh,Shoshoni,shh,Shoshoni,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0
B204,Kaibab Souther Paiute,ute,Ute-Southern Paiute,ute,Ute-Southern Paiute,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,SouthernPaiute,NA,0,0,0,0,1,0
B205,Mono Lake Paiute,pao,"Paiute, Northern",pao,"Paiute, Northern",Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NorthernPaiute,NA,0,0,0,0,1,0
B206,Deep Springs Paiute,mnr,Mono,mnr,Mono,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,Mono,NA,0,0,0,0,1,0
B207,Salmon Eater Shoshoni,shh,Shoshoni,shh,Shoshoni,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0
B208,Kuyuidokado (Pyramid Lake Paiute),pao,"Paiute, Northern",pao,"Paiute, Northern",Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NorthernPaiute,NA,0,0,0,0,1,0
B209,Ute-timanogas,ute,Ute-Southern Paiute,ute,Ute-Southern Paiute,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,check,NA,0,0,0,0,1,0
B210,Cattail Paiute,pao,"Paiute, Northern",pao,"Paiute, Northern",Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NorthernPaiute,NA,0,0,0,0,1,0
B211,Fish Lake Paiute,mnr,Mono,mnr,Mono,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,Mono,NA,0,0,0,0,1,0
B212,Honey Lake Paiute,nmu,"Maidu, Northeast",nmu,"Maidu, Northeast",Maiduan,Maidu,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B213,Hukundika Shoshoni,shh,Shoshoni,shh,Shoshoni,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0
B214,Gosiute Shoshoni,shh,Shoshoni,shh,Shoshoni,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,Shoshoni_GosiuteDialect,NA,0,0,0,0,1,0
B215,Spring Valley Shoshoni,shh,Shoshoni,shh,Shoshoni,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0
B216,White Knife Shoshoni,shh,Shoshoni,shh,Shoshoni,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0
B217,Railroad Valley Shoshoni,shh,Shoshoni,shh,Shoshoni,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0
B218,Reese River Shoshoni,shh,Shoshoni,shh,Shoshoni,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0
B219,North Fork Mono Paiute,mnr,Mono,mnr,Mono,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,Mono,NA,0,0,0,0,1,0
B221,Grouse Creek Shoshoni,shh,Shoshoni,shh,Shoshoni,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0
B222,Southern Ute (Wimonantci Ute),ute,Ute-Southern Paiute,ute,Ute-Southern Paiute,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,SouthernUte,NA,0,0,0,0,1,0
B223,Bear Creek Paiute,pao,"Paiute, Northern",pao,"Paiute, Northern",Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NorthernPaiute,NA,0,0,0,0,1,0
B224,Antelope Valley Shoshoni,shh,Shoshoni,shh,Shoshoni,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0
B225,Washo,was,Washo,was,Washo,Language isolate,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B226,Kidutokado (Surprise Valley Paiute),pao,"Paiute, Northern",pao,"Paiute, Northern",Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NorthernPaiute,NA,0,0,0,0,1,0
B227,Wind River Shoshoni,shh,Shoshoni,shh,Shoshoni,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0
B228,Wadadika (Ruby Valley Shoshoni),shh,Shoshoni,shh,Shoshoni,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0
B229,Bohogue (Northern  Shoshoni),shh,Shoshoni,shh,Shoshoni,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0
B230,Uintah Ute,ute,Ute-Southern Paiute,ute,Ute-Southern Paiute,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,SouthernUte,NA,0,0,0,0,1,0
B231,Wadadokado Paiute,pao,"Paiute, Northern",pao,"Paiute, Northern",Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NorthernPaiute,NA,0,0,0,0,1,0
B232,Agaiduka Shoshoni,shh,Shoshoni,shh,Shoshoni,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0
B233,Little Smokey Shoshoni,shh,Shoshoni,shh,Shoshoni,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0
B234,Uncompahgre Ute,ute,Ute-Southern Paiute,ute,Ute-Southern Paiute,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,SouthernUte,NA,0,0,0,0,1,0
B240,Lipan Apache,apl,"Apache, Lipan",apl,"Apache, Lipan",Eyak-Athabaskan,Athabaskan,Apachean,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B241,Comanche,com,Comanche,com,Comanche,Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,Comanche,NA,0,0,0,0,1,0
B242,Chiricahua Apache,apm,"Apache, Mescalero-Chiricahua",apm,"Apache, Mescalero-Chiricahua",Eyak-Athabaskan,Athabaskan,Apachean,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B243,Kiowa,kio,Kiowa,kio,Kiowa,Kiowa-Tanoan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B244,Kiowa Apache,apk,"Apache, Kiowa",apk,"Apache, Kiowa",Eyak-Athabaskan,Athabaskan,Apachean,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B245,Cheyenne,chy,Cheyenne,chy,Cheyenne,Algic,Algonquian,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B246,Arapaho,arp,Arapaho,arp,Arapaho,Algic,Algonquian,Arapaho,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B248,Crow,cro,Crow,cro,Crow,Siouan-Catawban,Siouan,Missouri River Siouan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B249,Teton Sioux (Lakota),lkt,Lakota,lkt,Lakota,Siouan-Catawban,Siouan,Mississippi Valley-Ohio Valley Siouan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B250,Kutenai,kut,Kutenai,kut,Kutenai,Language isolate,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B252,Bannock,pao,"Paiute, Northern",pao,"Paiute, Northern",Uto-Aztecan,Northern Uto-Aztecan,Numic,NA,NA,NA,NA,NorthernPaiute,NA,0,0,0,0,1,0
B253,Gros-Ventre,ats,Gros Ventre,ats,Gros Ventre,Algic,Algonquian,Arapaho,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B254,Bungi (Plains Ojibwa),ojb,"Ojibwa, Northwestern",ojb,"Ojibwa, Northwestern",Algic,Algonquian,Ojibwa-Potawatomi,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B255,Peigan,bla,Blackfoot,bla,Blackfoot,Algic,Algonquian,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B256,Blackfoot,bla,Blackfoot,bla,Blackfoot,Algic,Algonquian,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B257,Assiniboine,asb,Assiniboine,asb,Assiniboine,Siouan-Catawban,Siouan,Mississippi Valley-Ohio Valley Siouan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B258,Plains Cree,crk,"Cree, Plains",crk,"Cree, Plains",Algic,Algonquian,Cree-Montagnais,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B259,Blood,bla,Blackfoot,bla,Blackfoot,Algic,Algonquian,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B260,Sarsi,srs,Sarsi,srs,Sarsi,Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B268,Squamish,squ,Squamish,squ,Squamish,Salish,Central Salish,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B269,Alsea,aes,Alsea,aes,Alsea,Oregon Penutian,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B270,Puyallup,slh,"Salish, Southern Puget Sound",slh,"Salish, Southern Puget Sound",Salish,Central Salish,Lushootseed,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B271,Twana,twa,Twana,twa,Twana,Salish,Central Salish,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B272,Chehalis,cea,"Chehalis, Lower",cea,"Chehalis, Lower",Salish,Tsamosan,Quinault,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B273,Nootka,nuk,Nuu-chah-nulth,noo,Nootka,Wakashan,Southern Wakashan,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B274,Chinook,chh,Chinook,chh,Chinook,Chinookan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B275,Coos,csz,Coos,csz,Coos,Coosan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B276,Lillooet,lil,Lillooet,lil,Lillooet,Salish,Interior,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B277,Lummi,str,"Salish, Straits",str,"Salish, Straits",Salish,Central Salish,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B278,Quinault,qun,Quinault,qun,Quinault,Salish,Tsamosan,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B279,Stalo,hur,Halkomelem,hur,Halkomelem,Salish,Central Salish,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B280,Cowichan,hur,Halkomelem,hur,Halkomelem,Salish,Central Salish,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B281,Tillamook,til,Tillamook,til,Tillamook,Salish,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B282,Comox,coo,Comox,coo,Comox,Salish,Central Salish,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B283,Bella-Bella,hei,Heiltsuk,hei,Heiltsuk,Wakashan,Northern Wakashan,Kwakuitlan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B284,Quileute,qui,Quileute,qui,Quileute,Chimakuan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B285,Clallam,clm,Clallam,clm,Clallam,Salish,Central Salish,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B286,Makah,myh,Makah,myh,Makah,Wakashan,Southern Wakashan,Nootkan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B287,Haisla,has,Haisla,has,Haisla,Wakashan,Northern Wakashan,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B288,Kwakiutl,kwk,Kwakiutl,kwk,Kwakiutl,Wakashan,Northern Wakashan,Kwakuitlan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B289,Tsimshim,tsi,Tsimshian,tsi,Tsimshian,Tsimshian,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B290,Haida,hdn,"Haida, Northern",hdn,"Haida, Northern",Haida,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B291,Bella-Coola,blc,Bella Coola,blc,Bella Coola,Salish,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B292,Tlingit,tli,Tlingit,tli,Tlingit,Language isolate,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B293,Gitksan,git,Gitxsan,git,Gitxsan,Tsimshian,Nass-Gitksan,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B294,Konaig,ale,Aleut,ale,Aleut,Eskimo-Aleut,Aleut,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B295,Eyak,eya,Eyak,eya,Eyak,Eyak-Athabaskan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B296,Kuskowagmut,esu,"Yupik, Central",esu,"Yupik, Central",Eskimo-Aleut,Eskimo,Yupik,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B297,Chugash,ems,"Yupik, Pacific Gulf",ems,"Yupik, Pacific Gulf",Eskimo-Aleut,Eskimo,Yupik,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B298,Aleut,ale,Aleut,ale,Aleut,Eskimo-Aleut,Aleut,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B299,Nunivak,esu,"Yupik, Central",esu,"Yupik, Central",Eskimo-Aleut,Eskimo,Yupik,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B315,Tenino,tqn,Tenino,tqn,Tenino,Sahaptian,Sahaptin,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B316,Umatilla,uma,Umatilla,uma,Umatilla,Sahaptian,Sahaptin,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B317,Wenatchi,col,Columbia-Wenatchi,col,Columbia-Wenatchi,Salish,Interior,Southern,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B318,Yakima,yak,Yakama,yak,Yakima,Sahaptian,Sahaptin,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B319,Wishram,wac,Wasco-Wishram,wac,Wasco-Wishram,Chinookan,Upper Chinookan,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B320,Coeur d'Alene,crd,Coeur d’Alene,crd,Coeur d'Alene,Salish,Interior,Southern,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B321,Sinkaietk,oka,Okanagan,oka,Okanagan,Salish,Interior,Southern,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B322,Okanagan,oka,Okanagan,oka,Okanagan,Salish,Interior,Southern,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B323,Sanpoil,oka,Okanagan,oka,Okanagan,Salish,Interior,Southern,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B324,Nez Perce,nez,Nez Perce,nez,Nez Perce,Sahaptian,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B325,Thompson,thp,Thompson,thp,Thompson,Salish,Interior,Northern,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B326,Kalispel,fla,Kalispel-Pend d’Oreille,fla,Kalispel-Pend Doreille,Salish,Interior,Southern,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B327,Kitchibaun Ojibwa,ojc,"Ojibwa, Central",ojc,"Ojibwa, Central",Algic,Algonquian,Ojibwa-Potawatomi,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B328,Katikitegon,ciw,Chippewa,ciw,Chippewa,Algic,Algonquian,Ojibwa-Potawatomi,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B329,Micmac,mic,Micmac,mic,Micmac,Algic,Algonquian,Eastern Algonquian,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B330,Flathead,fla,Kalispel-Pend d’Oreille,fla,Kalispel-Pend Doreille,Salish,Interior,Southern,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B331,Rainy River Ojibwa,ojb,"Ojibwa, Northwestern",ojb,"Ojibwa, Northwestern",Algic,Algonquian,Ojibwa-Potawatomi,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B332,North Saulteaux,ojb,"Ojibwa, Western",ojw,"Ojibwa, Western",Algic,Algonquian,Ojibwa-Potawatomi,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B333,Shuswap,shs,Shuswap,shs,Shuswap,Salish,Interior,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B334,Pekangekum Ojibwa,ojb,"Ojibwa, Northwestern",ojb,"Ojibwa, Northwestern",Algic,Algonquian,Ojibwa-Potawatomi,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B335,Round Lake Ojibwa,ojs,"Ojibwa, Severn",ojs,"Ojibwa, Severn",Algic,Algonquian,Ojibwa-Potawatomi,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B336,Allcatcho,crx,Carrier,crx,Carrier,Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B337,Nipigon Ojibwa,ojc,"Ojibwa, Central",ojc,"Ojibwa, Central",Algic,Algonquian,Ojibwa-Potawatomi,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B338,Mistassini Cree,crj,"Cree, Southern East",crj,"Cree, Southern East",Algic,Algonquian,Cree-Montagnais,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B339,North Albany Ojibwa,ojs,"Ojibwa, Severn",ojs,"Ojibwa, Severn",Algic,Algonquian,Ojibwa-Potawatomi,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B340,Waswanipi Cree,crj,"Cree, Southern East",crj,"Cree, Southern East",Algic,Algonquian,Cree-Montagnais,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B341,Wegamon Ojibwa,ojs,"Ojibwa, Severn",ojs,"Ojibwa, Severn",Algic,Algonquian,Ojibwa-Potawatomi,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B342,Montagnais,moe,Montagnais,moe,Montagnais,Algic,Algonquian,Cree-Montagnais,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B343,Sekani,sek,Sekani,sek,Sekani,Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B344,Beaver,bea,Beaver,bea,Beaver,Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B345,Slave,xsl,"Slavey, South",xsl,"Slavey, South",Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B346,Kaska,kkz,Kaska,kkz,Kaska,Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B347,Tahltan,tht,Tahltan,tht,Tahltan,Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B348,Chilcotin,clc,Chilcotin,clc,Chilcotin,Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B349,Carrier,crx,Carrier,crx,Carrier,Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B350,Mountain,scs,"Slavey, North",scs,"Slavey, North",Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B351,Han,haa,Han,haa,Han,Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B352,Hare,scs,"Slavey, North",scs,"Slavey, North",Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B353,Attawapiskat Cree,csw,"Cree, Swampy",csw,"Cree, Swampy",Algic,Algonquian,Cree-Montagnais,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B354,Koyukon,koy,Koyukon,koy,Koyukon,Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B355,Chippewyan,chp,Dene,chp,Dene,Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B356,Kutchin,gwi,Gwich’in,gwi,Gwichin,Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B357,Ingalik,ing,Degexit’an,ing,Degexitan,Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B358,Satudene-Bear Lake,scs,"Slavey, North",scs,"Slavey, North",Eyak-Athabaskan,Athabaskan,Northern Athabaskan,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
