ID,STANDARD SOCIETY NAME Binford,ISO693_3,LangNam,ISO_PAST (use with WLMS language GIS data),LangNam_PAST (use with WLMS language GIS data),LangFamily_R,Class2,Class3,ISO_Note,Prelim_BantuTreeName,Prelim_ANTreeName,Prelim_IETreeName,Prelim_UATreeName,Prelim_SemiticTreeName,Possible Bantoid society?,Possible Bantu society (narrow Bantu)?,Possible Austronesian society?,Possible Indo-European society?,Possible Uto-Aztecan society?,Possible Semitic society?
B45,Nambikwara,nab,"Nambikuára, Southern",nab,"Nambikuara, Southern",Nambiquaran,Mamaindê,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B46,Calusa,q9j,Calusa,NO_ISO,NO_ISO,Language isolate,NA,NA,"No ISO code, Not in Ethnologue",NA,NA,NA,NA,NA,0,0,0,0,0,0
B47,Guayaki (Ache),guq,Aché,guq,Ache,Tupian,Tupí-Guaraní,Guaraní,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B48,Botocudo,kqq,Krenak,kqq,Krenak,Botocudoan,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B49,Heta,xet,Xetá,xet,Xeta,Tupian,Tupí-Guaraní,Guaraní,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B50,Aweikomo,xok,Xokleng,xok,Xokleng,Jean,Southern,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B51,Tehuelche,teh,Tehuelche,teh,Tehuelche,Chon,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B52,Chono,064,Chono,NO_ISO,NO_ISO,Language isolate,NA,NA,EXTINCT,NA,NA,NA,NA,NA,0,0,0,0,0,0
B53,Alacaluf,alc,Qawasqar,alc,Qawasqar,Kaweskaran,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B54,Ona,ona,Ona,ona,Ona,Chon,Island Chon,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
B55,Yaghan,yag,Yámana,yag,Yamana,Language isolate,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
