Dataset,soc_id,VarID,Code,Comment
SCCS,147,Elevation,881.5286822,
SCCS,148,Elevation,1513.00633,
SCCS,149,Elevation,2112.141041,
SCCS,150,Elevation,1823.548909,
SCCS,151,Elevation,872.3212644,
SCCS,152,Elevation,667.0883457,
SCCS,153,Elevation,1612.250082,
SCCS,154,Elevation,135.7459382,
SCCS,155,Elevation,1481.195292,
SCCS,156,Elevation,0.013430198,
SCCS,157,Elevation,409.0022502,
SCCS,158,Elevation,115.213918,
SCCS,159,Elevation,53.81142977,
SCCS,160,Elevation,411.996407,
SCCS,161,Elevation,73.0764176,
SCCS,162,Elevation,7.969606046,
SCCS,163,Elevation,371.9399212,
SCCS,164,Elevation,123.7962262,
SCCS,165,Elevation,238.9938542,
SCCS,166,Elevation,276.2847185,
SCCS,167,Elevation,206.5130927,
SCCS,168,Elevation,890.2215043,
SCCS,169,Elevation,512.8703343,
SCCS,170,Elevation,378.9754301,
SCCS,171,Elevation,3865.750051,
SCCS,172,Elevation,334.2467435,
SCCS,173,Elevation,216.4127154,
SCCS,174,Elevation,474.4098809,
SCCS,175,Elevation,322.4355063,
SCCS,176,Elevation,430.4605752,
SCCS,177,Elevation,564.0096916,
SCCS,178,Elevation,449.1006891,
SCCS,179,Elevation,235.4973156,
SCCS,180,Elevation,998.6653611,
SCCS,181,Elevation,339.2511239,
SCCS,182,Elevation,90.89928307,
SCCS,183,Elevation,50.55743102,
SCCS,184,Elevation,190.2503976,
SCCS,185,Elevation,780.0804888,
SCCS,186,Elevation,35.70397339,
EA,Aa1,Elevation,1024.89219,
EA,Aa2,Elevation,2204.778224,
EA,Aa3,Elevation,1032.856327,
EA,Aa4,Elevation,1290.067165,
EA,Aa5,Elevation,805.0753666,
EA,Aa6,Elevation,1343.785994,
EA,Aa7,Elevation,941.8764401,
EA,Aa8,Elevation,1084.954077,
EA,Aa9,Elevation,1665.35726,
EA,Ab1,Elevation,1442.044548,
EA,Ab10,Elevation,63.24467804,
EA,Ab11,Elevation,445.1339961,
EA,Ab12,Elevation,280.5902567,
EA,Ab13,Elevation,975.552356,
EA,Ab14,Elevation,434.6451113,
EA,Ab15,Elevation,1567.999753,
EA,Ab16,Elevation,10.2955058,
EA,Ab17,Elevation,85.23603139,
EA,Ab18,Elevation,1309.606773,
EA,Ab19,Elevation,1126.174483,
EA,Ab2,Elevation,142.7527194,
EA,Ab20,Elevation,1236.542468,
EA,Ab21a,Elevation,361.1033001,
EA,Ab21b,Elevation,636.7317252,
EA,Ab22,Elevation,41.45072177,
EA,Ab3,Elevation,1048.138378,
EA,Ab4,Elevation,168.0009342,
EA,Ab5,Elevation,1655.279132,
EA,Ab6,Elevation,776.1113153,
EA,Ab7,Elevation,1380.915342,
EA,Ab8,Elevation,2345.147433,
EA,Ab9,Elevation,1289.504026,
EA,Ac1,Elevation,1078.256102,
EA,Ac10,Elevation,1036.922154,
EA,Ac11,Elevation,1080.157026,
EA,Ac12,Elevation,1089.975313,
EA,Ac13,Elevation,604.9057013,
EA,Ac14,Elevation,1000.971712,
EA,Ac15,Elevation,598.6494685,
EA,Ac16,Elevation,496.12335,
EA,Ac17,Elevation,875.0457515,
EA,Ac18,Elevation,401.2910699,
EA,Ac19,Elevation,569.2873912,
EA,Ac2,Elevation,613.3439131,
EA,Ac20,Elevation,638.9204942,
EA,Ac21,Elevation,642.8056962,
EA,Ac22,Elevation,450.9036848,
EA,Ac23,Elevation,513.6493497,
EA,Ac24,Elevation,353.508347,
EA,Ac25,Elevation,598.6494685,
EA,Ac26,Elevation,402.5027468,
EA,Ac27,Elevation,1108.539662,
EA,Ac28,Elevation,1399.457047,
EA,Ac29,Elevation,977.0337705,
EA,Ac3,Elevation,1331.514682,
EA,Ac30,Elevation,996.8984164,
EA,Ac31,Elevation,766.364351,
EA,Ac32,Elevation,1268.505791,
EA,Ac33,Elevation,753.9558026,
EA,Ac34,Elevation,1273.228594,
EA,Ac35,Elevation,1060.788698,
EA,Ac36,Elevation,604.9057013,
EA,Ac37,Elevation,655.6759386,
EA,Ac38,Elevation,514.0138612,
EA,Ac39,Elevation,1046.553607,
EA,Ac4,Elevation,544.0393164,
EA,Ac40,Elevation,118.7653479,
EA,Ac41,Elevation,97.17694399,
EA,Ac42,Elevation,324.5845137,
EA,Ac43,Elevation,402.2889343,
EA,Ac5,Elevation,1221.867252,
EA,Ac6,Elevation,1497.341084,
EA,Ac7,Elevation,710.8083683,
EA,Ac8,Elevation,330.7696533,
EA,Ac9,Elevation,1181.945222,
EA,Ad1,Elevation,2.699036545,
EA,Ad10,Elevation,530.827317,
EA,Ad11,Elevation,585.4013933,
EA,Ad12,Elevation,1772.318918,
EA,Ad13,Elevation,1564.505008,
EA,Ad14,Elevation,229.9743382,
EA,Ad15,Elevation,1243.62739,
EA,Ad16,Elevation,754.3291758,
EA,Ad17,Elevation,1296.15036,
EA,Ad18,Elevation,1231.306998,
EA,Ad19,Elevation,1466.464903,
