Name_on_tree_tip,xd_id,soc_id,fixed_order
Gangwon,,,
Gyeonggi,xd638,"Ed1, SCCS116",0
Hwanghae,,,
Jeju,,,
MiddleKorean,,,
NorthChungcheong,,,
NorthGyeongsang,,,
NorthHamgyong,,,
NorthJeolla,,,
NorthPyongan,,,
SouthChungcheong,,,
SouthGyeongsang,,,
SouthHamgyong,,,
SouthJeolla,,,
SouthPyongan,,,
