soc_id,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v1001,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88
Nc13,5,3,2,0,0,6,8,2,2,9,1,1,12,3,9,3,9,1,1,1,1,1,9,12,5,15,9,4,1,1,3,0,2,1,1,5,2,1,1,1,1,1,1,6,9,9,1,9,9,1,5,1,2,9,9,10,10,9,10,10,9,9,9,9,10,10,2,9,1,9,1,1,1,1,0,0,1,9,2,2,1,11,4,9,2,2,11,4,4
Nc14,3,3,4,0,0,6,8,2,2,12,2,1,12,3,9,4,9,1,1,1,1,1,9,7,8,15,9,6,1,1,2,2,2,1,2,5,3,1,2,1,1,1,2,6,9,9,1,9,9,2,5,1,1,9,9,10,10,9,10,10,9,9,9,9,10,10,2,9,1,9,1,1,1,1,1,9,1,9,0,2,1,11,4,9,2,2,11,4,4
Nc15,4,2,4,0,0,6,8,5,5,9,1,2,2,9,11,4,9,1,1,1,1,1,9,8,7,15,9,4,1,1,2,0,2,1,2,5,2,1,1,1,1,1,8,6,9,9,8,9,9,0,5,1,2,9,9,10,10,9,10,10,0,9,9,9,10,10,1,9,1,9,1,1,7,5,1,9,1,9,3,2,2,11,4,4,2,2,11,4,8
Nc17,5,3,2,0,0,6,8,7,6,9,1,2,2,9,11,3,9,1,1,1,1,1,9,8,7,15,9,6,1,1,2,0,3,1,1,5,2,1,0,1,1,1,1,6,9,9,1,9,9,0,4,1,2,9,9,10,10,9,10,10,0,9,9,9,10,10,0,0,1,9,1,1,1,1,1,9,1,9,3,2,1,11,4,9,0,0,0,0,0
Nc18,4,3,3,0,0,6,8,7,2,2,2,2,2,9,11,3,9,1,1,1,1,1,9,12,5,15,9,6,1,1,3,3,3,1,2,5,0,1,1,1,1,1,1,6,9,9,1,9,9,1,5,1,2,9,9,10,10,9,10,10,9,9,9,9,10,10,2,9,1,9,1,1,7,5,1,9,7,1,0,2,2,11,2,8,0,0,0,0,0
Nc19,4,3,3,0,0,6,8,7,1,9,2,3,9,9,11,3,9,1,1,1,1,1,9,8,7,15,9,1,1,1,2,0,3,1,0,5,0,1,0,1,1,1,1,6,9,9,1,9,9,0,0,1,0,9,9,10,10,9,10,10,0,0,9,0,10,10,2,9,1,9,1,1,2,3,1,9,1,9,0,2,2,11,2,8,0,0,0,0,0
Nc20,5,3,2,0,0,6,8,7,1,2,2,2,2,9,11,3,9,1,1,1,1,1,9,7,8,15,9,1,1,1,2,3,3,1,0,5,0,1,1,1,1,1,1,6,9,9,9,9,9,1,5,1,1,9,9,10,10,9,10,10,0,9,9,9,10,10,0,0,1,9,2,3,7,5,1,9,1,9,6,2,2,11,2,8,0,0,0,0,0
Nc23,5,3,2,0,0,6,8,2,2,9,1,1,8,3,9,3,9,3,1,1,1,9,9,7,8,15,9,4,1,1,2,2,2,1,0,5,3,1,0,1,1,1,1,1,9,9,1,6,9,2,5,1,0,9,9,10,10,9,9,10,9,9,9,0,10,10,2,9,1,9,1,1,1,1,1,9,1,9,0,2,1,11,4,8,2,2,11,4,4
Nc24,5,2,3,0,0,6,8,8,2,9,1,1,8,9,11,6,1,6,6,1,1,9,9,7,8,15,9,6,1,1,2,0,3,1,1,5,0,1,1,1,1,1,1,1,9,9,1,9,9,0,6,1,0,9,9,10,10,9,10,10,0,9,9,0,10,10,2,9,1,9,1,1,0,0,1,9,0,0,0,3,2,11,1,7,0,0,0,0,0
Nc25,4,3,3,0,0,6,8,7,2,9,1,1,8,9,11,3,9,3,3,1,1,9,9,7,8,15,9,4,1,1,2,0,3,1,0,5,3,1,2,1,1,1,1,1,9,9,1,6,0,2,5,1,2,9,9,10,10,9,9,0,9,9,9,9,10,10,2,9,1,9,1,1,1,2,0,0,0,0,0,2,1,11,4,8,1,2,11,5,4
Nc29,4,2,4,0,0,6,8,2,2,9,1,1,8,9,11,6,1,6,6,1,1,9,9,8,7,15,9,0,1,1,3,0,2,1,2,5,0,1,0,1,1,1,8,1,9,9,1,9,8,0,6,1,0,9,9,10,10,9,10,9,0,9,9,0,10,10,2,9,1,9,1,1,1,1,0,0,7,1,0,2,2,11,2,8,0,0,0,0,0
Nc3,4,3,3,0,0,6,8,8,5,9,1,1,8,9,11,2,9,6,3,1,1,9,9,7,8,15,9,4,1,1,2,0,3,1,1,5,3,1,1,1,1,1,1,1,9,9,0,6,9,0,4,1,2,9,9,10,10,0,9,10,0,9,9,9,10,10,2,9,1,9,1,1,1,2,1,9,1,9,0,2,2,11,2,8,2,1,11,2,9
