Name_on_tree_tip,xd_id,soc_id,fixed_order
Kwamera,,,
KwaraaeSolomonIslands,,,
Lahanan,,,
LamboyaLaboya,,,
Lampung,,,
Leipon,,,
Lenakel,,,
Letinese,,,
Levei,,,
Likum,,,
LioFloresTongah,,,
Loniu,,,
Lou,,,
Luang,,,
LungaLungaMinigir,,,
LwepeSantaCruz,,,
Maanyan,,,
Madara,,,
Madurese,,,
MagoriSouthEastPapua,,,
MalayBahasaIndonesia,,,
Maleu,,,
Maloh,,,
MaloSantaCruz,,,
Mamanwa,,,
Mambai,,,
Mamboru,,,
Manggarai,,,
ManoboAtadownriver,,,
ManoboAtaupriver,,,
ManoboDibabawon,,,
ManoboIlianenKibudtungan_D,,,
ManoboKalamansigCotabatoParil_D,,,
ManoboSaranganiKayaponga_D,,,
ManoboTigwaIglogsad_D,,,
Mansaka,,,
Mapun,,,
Maranao,,,
MarovoNewGeorgia,,,
Masiwang,,,
Matukar,,,
Megiar,,,
MelanauMukah,,,
MelayuBrunei_D,,,
Merei,,,
Modang,,,
Mokilese,,,
Mor,,,
Mori,,,
Mouk,,,
MunaKatobuTongkuno_D,,,
MurnatenAlune,,,
Mussau,,,
Mwotlap,,,
Nalik,,,
Namakir,,,
Naman,,,
Nanggu,,,
Nati,,,
Nauna,,,
NehanHape,,,
Nelemwa,,,
Nembao,,,
Nengone,,,
Nese,,,
Neveei,,,
Ngadha,,,
NgaiborSAru,,,
Nggela,,,
Nguna,,,
Nias,,,
Nila,,,
Nissan,,,
NorthBabar,,,
Nukuoro,,,
NumbamiSiboma,,,
Numfor,,,
Ogan,,,
OldChinese,,,
Orkon,,,
PaameseSouth,,,
Pangasinan,,,
Patpatar,,,
Paulohi,,,
Pazeh,,,
Perai,,,
PeteraraMaewo,,,
Pondok,,,
Popalia,,,
PuloAnnan,,,
Puluwatese,,,
Raga,,,
RejangRejang,,,
Ririo,,,
Roviana,,,
Rukai,,,
Rurutuan,,,
Saaroa,,,
Saisiat,,,
SakaoPortOlry,,,
Saliba,,,
SamalSiasi_D,,,
SangilSaraganiIslands,,,
Sangir,,,
SangirTabukang_D,,,
SantaAna,,,
SaranganiBlaan,,,
Sasak,,,
Satawalese,,,
Savu,,,
Sediq,,,
Seimat,,,
Sekar,,,
Sengseng,,,
Serili,,,
Serua,,,
Siar,,,
Sika,,,
Sikaiana,,,
Singhi,,,
Siraya,,,
Sisingga,,,
Soa,,,
Soboyo,,,
SouthEastBabar,,,
SouthEfate,,,
SubanonSiocon,,,
Sunda,,,
Surigaonon,,,
Tabar,,,
Tagalog,,,
TagbanwaKalamianCoronIsland_D,,,
Taiof,,,
Takuu,,,
Talur,,,
Tanema,,,
Tanimbili,,,
Tape,,,
TausugJolo_D,,,
TboliTagabili,,,
Teanu,,,
TelaMasbuar,,,
Teop,,,
Tetum,,,
Teun,,,
Thao,,,
Tiang,,,
Tigak,,,
TimugonMurut,,,
Toambaita,,,
Tolo,,,
Tontemboan,,,
Tsou,,,
Tugun,,,
TungagTungakLavongai,,,
Tunjung,,,
Ubir,,,
UjirNAru,,,
Ura,,,
UveaEast,,,
UveaWest,,,
VaeakauTaumako,,,
Vano,,,
Varisi,,,
Wanukaka,,,
Watubela,,,
WejewaTanaRighu_D,,,
Werinama,,,
WindesiWandamen,,,
Wolio,,,
Wuna,,,
Yakan,,,
Yamdena,,,
