xd_id,xd_name,iso_6933,N_iso_shared,glottocode,DND.TempVsFinal,DND.glottocodeNotes,DND.glottocodeEditor,GlottoMaxParentID,GlottoMaxParentName,GlottoMaxParentLevel,EthnologueLangFam
xd214,Adangme,ada,1,adan1247,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd653,Abor,adi,1,bori1243,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,sino1245,Sino-Tibetan,family,
xd803,Ngarawapum,adz,1,adze1240,final,final,1,aust1307,Austronesian,family,
xd517,Sahel,aeb,3,sahi1245,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd511,Hamama,aeb,3,sout3114,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd520,Tunisians,aeb,3,tuni1260,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd516,Saadi,aec,1,said1239,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,afro1255,Afro-Asiatic,family,
xd772,Northern Aranda,aer,1,east2379,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,pama1250,Pama-Nyungan,family,
xd205,Afo,afo,1,eloy1241,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd537,Boers,afr,1,afri1274,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,indo1319,Indo-European,family,
xd908,Agta (Cagayan),agt,1,cent2084,final,final,1,aust1307,Austronesian,family,
xd439,Falasha,ahg,1,qima1242,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,afro1255,Afro-Asiatic,family,
xd729,Akha,ahk,1,akha1245,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,sino1245,Sino-Tibetan,family,
xd210,Koro,ahs,1,ashe1269,final,final,1,atla1278,Atlantic-Congo,family,
xd698,Aimol,aim,1,lang1312,final,final,1,sino1245,Sino-Tibetan,family,
xd430,Bako,aiw,3,aari1239,final,final,1,sout2845,South Omotic,family,
xd432,Shangama,aiw,3,aari1239,final,final,1,sout2845,South Omotic,family,
xd433,Ubamer,aiw,3,aari1239,final,final,1,sout2845,South Omotic,family,
xd871,Ajie,aji,1,ajie1238,final,final,1,aust1307,Austronesian,family,
xd592,Jordanians,ajp,1,sout3123,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,afro1255,Afro-Asiatic,family,
xd189,Akyem,aka,3,akye1239,TEMP,"final, though may be over-resolved",2,atla1278,Atlantic-Congo,family,
xd208,Ashanti,aka,3,asan1239,TEMP,"final, though may be over-resolved",2,atla1278,Atlantic-Congo,family,
xd222,Fanti,aka,3,fant1241,TEMP,"final, though may be over-resolved",2,atla1278,Atlantic-Congo,family,
xd741,Bisayan,akl,1,akla1241,final,final,1,aust1307,Austronesian,family,
xd916,Akuriyo,ako,1,akur1238,final,final,1,cari1283,Cariban,family,
xd216,Buem,akp,1,lele1264,final,final,1,atla1278,Atlantic-Congo,family,
xd1387,Alacaluf,alc,1,aksa1237,final,final,1,kawe1237,Kawesqar,family,
xd224,Alagya,ald,1,alla1248,final,final,1,atla1278,Atlantic-Congo,family,
xd999,Konaig,ale,2,beri1255,TEMP,"final, though may be over-resolved",2,eski1264,Eskimo-Aleut,family,
xd1067,Aleut,ale,2,east2533,TEMP,"final, though may be over-resolved",2,eski1264,Eskimo-Aleut,family,
xd528,Gheg,aln,1,gheg1238,final,final,1,indo1319,Indo-European,family,
xd964,Alyawara,aly,1,alya1239,final,final,1,pama1250,Pama-Nyungan,family,
xd392,Alur,alz,1,alur1250,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,nilo1247,Nilotic,family,
xd1372,Amahuaca,amc,1,amah1246,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,pano1256,Panoan,family,
xd425,Banna,amf,2,hame1242,final,final,1,sout2845,South Omotic,family,
xd428,Hammar,amf,2,hame1242,final,final,1,sout2845,South Omotic,family,
xd455,Amhara,amh,1,amha1245,final,final,1,afro1255,Afro-Asiatic,family,
xd749,Ami,ami,1,amis1246,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,aust1307,Austronesian,family,
xd305,Angas,anc,1,ngas1240,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,afro1255,Afro-Asiatic,family,
xd903,Jarawa,anq,1,jara1245,final,final,1,jara1244,Jarawa-Onge,family,
xd375,Anuak,anu,1,anua1242,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,nilo1247,Nilotic,family,
xd218,Anyi,any,1,anyi1245,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd1337,Camaracoto,aoc,2,cama1252,TEMP,"final, though may be over-resolved",2,cari1283,Cariban,family,
xd1341,Taulipang,aoc,2,taul1252,TEMP,"final, though may be over-resolved",2,cari1283,Cariban,family,
xd776,Groote Eylandt,aoi,1,anin1240,final,final,1,gunw1250,Gunwinyguan,family,
xd764,Alorese,aol,1,alor1247,final,final,1,aust1307,Austronesian,family,
xd807,Arapesh,aon,1,bumb1241,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,nucl1708,Nuclear Torricelli,family,
xd858,Ulawans,apb,1,saaa1240,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,aust1307,Austronesian,family,
xd586,Syrians,apc,3,nort3140,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd593,Lebanese,apc,3,nort3141,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd594,Druze,apc,3,sunn1238,final,final,3,afro1255,Afro-Asiatic,family,
xd481,Hasania,apd,5,khar1296,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd461,Gimma,apd,5,nort3133,final,final,3,afro1255,Afro-Asiatic,family,
xd462,Habbania,apd,5,nort3133,final,final,3,afro1255,Afro-Asiatic,family,
xd503,Kababish,apd,5,nort3133,final,final,3,afro1255,Afro-Asiatic,family,
xd464,Messiria Humr,apd,5,west2773,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd1266,Jicarilla,apj,1,jica1244,final,final,1,atha1245,Athapaskan-Eyak-Tlingit,family,
xd1219,Kiowa Apache,apk,1,kiow1264,final,final,1,atha1245,Athapaskan-Eyak-Tlingit,family,
xd1275,Lipan,apl,1,lipa1241,final,final,1,atha1245,Athapaskan-Eyak-Tlingit,family,
xd1259,Chiricahua,apm,2,mesc1238,final,final,1,atha1245,Athapaskan-Eyak-Tlingit,family,
xd1265,Mescalero,apm,2,mesc1238,final,final,1,atha1245,Athapaskan-Eyak-Tlingit,family,
xd1415,Apinaye,apn,1,apin1244,final,final,1,nucl1710,Nuclear-Macro-Je,family,
xd686,Andamanese,apq,1,apuc1241,final,final,1,grea1241,Great Andamanese,family,
xd1267,Western Apache,apw,1,west2615,final,final,1,atha1245,Athapaskan-Eyak-Tlingit,family,
xd524,Ancient Egypt,areg,1,egyp1246,final,final,1,afro1255,Afro-Asiatic,family,
xd1209,Arikara,ari,1,arik1262,final,final,1,cadd1255,Caddoan,family,
xd1384,Mapuche,arn,1,mapu1245,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,arau1255,Araucanian,family,
xd1228,Arapaho,arp,1,arap1274,final,final,1,algi1248,Algic,family,
xd510,Algerians,arq,4,algi1247,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd494,Chaambra,arq,4,algi1247,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd515,Nail,arq,4,cons1245,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd512,Hamyan,arq,4,oran1236,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd588,Rwala,ars,2,nort3137,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd591,Mutair,ars,2,sout3119,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd424,Arbore,arv,1,arbo1245,final,final,1,afro1255,Afro-Asiatic,family,
xd1336,Locono,arw,1,araw1276,final,final,1,araw1281,Arawakan,family,
xd513,Jebala,ary,2,jebl1238,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd514,Moroccans,ary,2,sout3117,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd518,Egyptians,arz,1,egyp1253,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,afro1255,Afro-Asiatic,family,
xd105,Pare,asa,1,asut1235,final,final,1,atla1278,Atlantic-Congo,family,
xd1210,Assiniboine,asb,1,assi1247,final,final,1,siou1252,Siouan,family,
xd221,Attie,ati,1,atti1239,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd1208,Gros Ventre,ats,1,gros1243,final,final,1,algi1248,Algic,family,
xd1135,Atsugewi,atw,1,atsu1245,final,final,1,pala1350,Palaihnihan,family,
xd225,Avikam,avi,1,avik1243,final,final,1,atla1278,Atlantic-Congo,family,
xd1406,Aueto,awe,1,awet1244,final,final,1,tupi1275,Tupian,family,
xd1390,Abipon,axb,1,abip1241,final,final,1,guai1249,Guaicuruan,family,
xd923,Aka,axk,2,bamb1264,final,final,3,atla1278,Atlantic-Congo,family,
xd924,Bayaka,axk,2,beka1240,final,final,3,atla1278,Atlantic-Congo,family,
xd968,Southern Aranda,axl,1,lowe1436,final,final,1,pama1250,Pama-Nyungan,family,
xd519,Sanusi,ayl,1,liby1240,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,afro1255,Afro-Asiatic,family,
xd595,Yemeni,ayn,1,sana1295,final,final,1,afro1255,Afro-Asiatic,family,
xd1375,Aymara,ayr,1,cent2142,final,final,1,ayma1253,Aymara,family,
xd251,Banyune,bab,1,bain1259,final,final,1,atla1278,Atlantic-Congo,family,
xd549,Bashkir,bak,1,bash1264,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,turk1311,Turkic,family,
xd244,Bambara,bam,1,bamb1269,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,mand1469,Mande,family,
xd172,Bamum,bax,1,bamu1253,final,final,1,atla1278,Atlantic-Congo,family,
xd753,Batak,bbc,1,bata1289,final,final,1,aust1307,Austronesian,family,
xd267,Bobo,bbo,1,nort2819,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,mand1469,Mande,family,
xd337,Banda,bbp,1,west2458,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd651,Minchia,bca,1,cent2004,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,sino1245,Sino-Tibetan,family,
xd243,Baule,bci,1,baou1238,final,final,1,atla1278,Atlantic-Congo,family,
xd153,Ndaka Babali,bcp,1,bali1274,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd477,Bachama,bcy,1,baca1246,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,afro1255,Afro-Asiatic,family,
xd482,Buduma,bdm,1,budu1265,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,afro1255,Afro-Asiatic,family,
xd85,Bende,bdp,1,bend1258,final,final,1,atla1278,Atlantic-Congo,family,
xd166,Kundu,bdu,1,orok1266,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,atla1278,Atlantic-Congo,family,
xd966,Badjalang,bdy,1,band1339,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,pama1250,Pama-Nyungan,family,
xd1045,Beaver,bea,1,beav1236,final,final,1,atha1245,Athapaskan-Eyak-Tlingit,family,
xd442,Ababda,bej,4,abab1239,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd443,Amarar,bej,4,amar1281,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd453,Bisharin,bej,4,bish1251,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd452,Hadendowa,bej,4,hade1248,TEMP,"final, though may be over-resolved",2,afro1255,Afro-Asiatic,family,
xd570,Byelorussians,bel,1,bela1254,TEMP,"final for now, assigned language-level code bc only society for language, but maybe possible to further resolve",1,indo1319,Indo-European,family,
xd60,Luapula,bem,2,luun1238,final,final,3,atla1278,Atlantic-Congo,family,
