ISO 693-3 code,Language name,FAMILY-CORRECTED,Classification,Class1,Class2,Class3,,,
nkk,Nokuku,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
nrg,Narango,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
ptr,Piamatsina,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
rga,Roria,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tsr,Akei,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tmt,Tasmate,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tgp,Tangoa,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tlm,Tolomako,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tls,Tambotalo,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tmi,Tutuba,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
vlp,Valpei,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
vnp,Vunapu,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
wsi,Wusi,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
wlr,Wailapa,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Remote Oceanic, North and Central Vanuatu, Northeast Vanuatu-Banks Islands, West Santo",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
aty,Aneityum,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, South Vanuatu, Aneityum",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
erg,Sie,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, South Vanuatu, Erromanga",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
iff,Ifo,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, South Vanuatu, Erromanga",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
uur,Ura,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, South Vanuatu, Erromanga",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
nwi,"Tanna, Southwest",Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, South Vanuatu, Tanna",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tnk,Kwamera,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, South Vanuatu, Tanna",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tnl,Lenakel,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, South Vanuatu, Tanna",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tnn,"Tanna, North",Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, South Vanuatu, Tanna",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tnp,Whitesands,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, South Vanuatu, Tanna",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
bgt,Bughotu,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Gela-Guadalcanal, Bughotu",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
lgr,Lengo,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Gela-Guadalcanal, Gela",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
nlg,Gela,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Gela-Guadalcanal, Gela",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
brr,Birao,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Gela-Guadalcanal, Guadalcanal",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
gri,Ghari,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Gela-Guadalcanal, Guadalcanal",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
mln,Malango,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Gela-Guadalcanal, Guadalcanal",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tlr,Talise,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Gela-Guadalcanal, Guadalcanal",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
lgu,Longgu,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Longgu",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
bvc,Baelelea,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Northern",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
bvd,Baeggu,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Northern",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
far,Fataleka,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Northern",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
gmb,Gula’alaa,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Northern",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
kwd,Kwaio,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Northern",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
kwf,Kwara’ae,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Northern",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
lgl,Wala,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Northern",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
llu,Lau,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Northern",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
mlu,To’abaita,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Northern",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
apb,Sa’a,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Southern",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
alu,’Are’are,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Southern",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
dor,Dori’o,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Southern",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
ora,Oroha,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, Malaita, Southern",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
agw,Kahua,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, San Cristobal",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
aia,Arosi,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, San Cristobal",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
bxa,Tairaha,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, San Cristobal",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
faf,Fagani,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, San Cristobal",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
stn,Owa,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Central-Eastern Oceanic, Southeast Solomonic, Malaita-San Cristobal, San Cristobal",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
emi,Mussau-Emira,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, St. Matthias",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tns,Tenis,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, St. Matthias",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
nfl,Äiwoo,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Temotu, Reefs-Santa Cruz",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
nlz,Nalögo,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Temotu, Reefs-Santa Cruz",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
ngr,Engdewu,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Temotu, Reefs-Santa Cruz",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
ntu,Natügu,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Temotu, Reefs-Santa Cruz",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tnx,Tanema,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Temotu, Utupua-Vanikoro",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tkw,Teanu,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Temotu, Utupua-Vanikoro",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
vnk,Lovono,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Temotu, Utupua-Vanikoro",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
aua,Asumboa,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Temotu, Utupua-Vanikoro, Utupua",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tbe,Tanibili,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Temotu, Utupua-Vanikoro, Utupua",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
utp,Amba,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Temotu, Utupua-Vanikoro, Utupua",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
bbn,Uneapa,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, Bali-Vitu",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
wiv,Vitu,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, Bali-Vitu",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
leu,Kara,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, Lavongai-Nalik",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
lcm,Tungag,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, Lavongai-Nalik",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
nal,Nalik,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, Lavongai-Nalik",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tbf,Mandara,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, Lavongai-Nalik",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tbj,Tiang,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, Lavongai-Nalik",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tgc,Tigak,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, Lavongai-Nalik",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
bjk,Barok,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, Madak",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
lbv,Lavatbura-Lamusong,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, Madak",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
mmx,Madak,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, Madak",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
bxf,Minigir,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
baa,Babatana,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Choiseul",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
rri,Ririo,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Choiseul",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tva,Vaghua,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Choiseul",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
vrs,Varisi,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Choiseul",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
mte,Mono,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Mono-Uruava",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
ttu,Torau,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Mono-Uruava",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
urv,Uruava,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Mono-Uruava",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
vmg,Lungalunga,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Mono-Uruava",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
pex,Petats,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Nehan-North Bougainville, Buka",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
hao,Hakö,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Nehan-North Bougainville, Buka, Halia",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
hla,Halia,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Nehan-North Bougainville, Buka, Halia",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
nsn,Nehan,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Nehan-North Bougainville, Nehan",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
ppn,Papapana,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Nehan-North Bougainville, Papapana",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
hah,Hahon,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Nehan-North Bougainville, Saposa-Tinputz",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
sps,Saposa,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Nehan-North Bougainville, Saposa-Tinputz",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tio,Teop,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Nehan-North Bougainville, Saposa-Tinputz",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
tpz,Tinputz,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Nehan-North Bougainville, Saposa-Tinputz",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
sol,Solos,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, Nehan-North Bougainville, Solos",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
mvo,Marovo,Austronesian,"Austronesian, Malayo-Polynesian, Central-Eastern Malayo-Polynesian, Eastern Malayo-Polynesian, Oceanic, Western Oceanic, Meso Melanesian, New Ireland, South New Ireland-Northwest Solomonic, New Georgia, East",Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,,,
