ID,STANDARD SOCIETY NAME Binford,801_FULL_NAME,807_FULLNAME,804_FULLNAME,603_FULLNAME,901_FULLNAME,,
B85,Mirrngadja,MIRRNGADJA,MIRRNGADJA,MIRRNGADJA,MIRRNGADJA,Mirrngadja,,
B86,Anbarra,ANBARRA,ANBARRA,ANBARRA,,Anbarra,,
B87,Gidjingali,GIDJINGALI,GIDJINGALI,GIDJINGALI,,Gidjingali,,
B88,Murngin,MURNGIN,MURNGIN,MURNGIN,MURNGIN,Murngin,,
B89,Jeidji,JEIDJI,JEIDJI,JEIDJI,,Jeidji,,
B90,Wikmunkan,WIKMUNKAN,WIKMUNKAN,WIKMUNKAN,,Wikmunkun,,
B91,Kakadu,KAKADU,KAKADU,KAKADU,,Kakadu,,
B92,Nunggubuyu,NUNGGUBUYU,0,NUNGGUBUYU,NUMGGUGUYU,Nunggubuyu,,
B93,Yintjingga,YINTJINGGA,YINTJINGGA,YINTJINGGA,,Yintjingga,,
B94,Yir-yoront,YIR-YORONT,YIR-YORONT,YIR (YORONT),,Yir-yoront,,
B95,Tiwi,TIWI,TIWI,TIWI,TIWI,Tiwi,,
B96,Kuku (Yalanji),KUKU (YALANJI),YUKU,KUKU (YALANJI),,Kuku (Yalanji),,
B97,Groote Eylandt,GROOTE EYELANDT,GROOTE EYLANDT,GROOTE EYELANDT,,Groote Eylandt,,
B98,Walmbaria,WALMBARIA,WALMBARIA,WALMBARIA,WALMBARIA,Walmbaria,,
B99,Mulluk,MULLUK,MULLUK,MULLUK,MULLUK,Mulluk,,
B100,Worora,WORORA,WORORA,WORORA,,Worora,,
B101,Lungga,#N/A,LUNGGA,,,Lungga,,
B102,Lardil,LARDIL,LARDIL,LARDIL,,Lardil,,
B103,Kaiadilt,KAIADILT,KAIADILT,KAIADILT,,Kaiadilt,,
B104,Karadjeri,#N/A,#N/A,,,Karadjeri,,
B105,Mamu,MAMU,MAMU,MAMU,MAMU,Mamu,,
B106,Kariera,KARIERA,KARIERA,KARIERA,,Kariera,,
