ID,STANDARD SOCIETY NAME Binford,801_FULL_NAME,807_FULLNAME,804_FULLNAME,603_FULLNAME,901_FULLNAME,,
B347,Tahltan,TAHLTAN,TAHLTAN,,TAHLTAN,Tahltan,,
B348,Chilcotin,#N/A,CHILCOTIN,,CHILCOTIN,Chilcotin,,
B349,Carrier,CARRIER,CARRIER,CARRIER,CARRIER,Carrier,,
B350,Mountain,MOUNTAIN,0,,,Mountain,,
B351,Han,HAN,HAN,,,Han,,
B352,Hare,HARE,HARE,HARE,,Hare,,
B353,Attawapiskat Cree,ATTAWAPISKAT CREE,ATTAWAPISKAT CREE,ATTAWAPISKAT CREE,ATTAWAPISKAT,Attawapiskat Cree,,
B354,Koyukon,KOYUKON,KOYUKON,KOYUKON,,Koyukon,,
B355,Chippewyan,CHIPPEWYAN (1800),CHIPPEWYAN,CHIPPEWYAN,CHIPEWYAN,Chippewyan,,
B356,Kutchin,KUTCHIN,KUTCHIN,KUTCHIN,KUTCHIN,Kutchin,,
B357,Ingalik,INGALIK,INGALIK,INGALIK,,Ingalik,,
B358,Satudene-Bear Lake,SATUDENE-BEAR LAKE,SATUDENE-BEAR LAKE,SATUDENE,,Satudene-Bear Lake,,
B359,Nabesna,NABESNA,NABESNA,NABESNA,NEBESNA,Nabesna,,
B360,Rupert House Cree,RUPERT HOUSE CREE,RUPERT HOUSE CREE,RUPERT HOUSE CREE,,Rupert House Cree,,
B361,Dogrib,DOGRIB,DOGRIB,DOGRIB,DOGRIB,Dogrib,,
B362,Tanaina,TANAINA (1843),TANAINA,TANAINA (1843),,Tanaina,,
B363,Tutchone,TUTCHONE,TUTCHONE,TUTCHONE,,Tutchone,,
B364,Holikachuk,HOLIKACHUK,HOLIKACHUK,HOLIKACHUK,,Holikachuk,,
B365,Naskapi,NASKAPI,NASKAPI,NASKAPI,NASKAPI,Naskapi,,
B369,Norton Sound Inuit,NORTON SOUND INUIT,NORTON SOUND INUIT,NORTON SOUND INUIT,NORTON SOUND,Norton Sound,,
B370,Kobuk Inuit,KOBUK INUIT,KOBUK INUIT,KOBUK INUIT,,Kobuk Eskimo,,
B371,Kotzebue Sound Inuit,KOTZEBUE SOUND INUIT,KOTZEBUE SOUND INUIT,KOTZEBUE SOUND INUIT,KOTZEBUE,Kotzebue Sound,,
B372,Labrador Inuit,LABRADOR INUIT,LABRADOR INUIT,LABRADOR INUIT,LABRADOR ESKIMO,Labrador Eskimo,,
B373,Great Whale Inuit,GREAT WHALE INUIT,GREAT WHALE INUIT,GREAT WHALE INUIT,,Great Whale,,
B374,Caribou Inuit,CARIBOU INUIT,CARIBOU INUIT,CARIBOU INUIT,,Caribou Eskimo,,
B375,Noatak Inuit,NOATAK INUIT,NOATAK INUIT,NOATAK INUIT,NOATAK,Noatak Eskimo,,
B377,Nunamiut Inuit,NUNAMUIT INUIT,NUNAMIUT INUIT,NUNAMIUT INUIT,NUNAMIUT,Nunamiut Eskimo,,
B378,Mackenzie Inuit,MACKENZIE INUIT,MACKENZIE DELTA INUIT,MACKENZIE INUIT,MACKENZIE ESKIMO,Mackenzie Eskimo,,
B379,Sivokamiut Inuit,SIVOKAMIUT INUIT,SIVOKAMIUT INUIT,SIVOKAMIUT INUIT,SIVOKAMIUT,Sivokamiut,,
B380,Point Hope Inuit,POINT HOPE INUIT,POINT HOPE INUIT,POINT HOPE INUIT,POINT HOPE,Point Hope Eskimo,,
B381,Copper Inuit,COPPER INUIT.,COPPER INUIT,COPPER INUIT,COPPER ESKIMO,Copper Eskimo,,
B382,Utkuhikhalingmiut,UTKUHIKHALINGMIUT,UTKUHIKHALINGMIUT,UTKUHIKHALINGMIUT,,Utkuhikhalingmiut,,
B383,Aivilingmiut Inuit,AIVILINGMIUT INUIT,AIVILINGMIUT INUIT,AIVILINGMIUT INUIT,AIVILINGMIUT,Aivilingmiut,,
B384,Iglulik Inuit,INGULIK INUIT,INGLULIK INUIT,INGULIK INUIT,IGLULIK,Iglulik,,
B385,West Greenland,WEST GREENLAND,WEST GREENLAND,WEST GREENLAND,WEST GREENLAND,West Greenland,,
B386,Baffin Island Inuit,BAFFIN ISLAND INUIT,BAFFIN ISLAND INUIT,BAFFIN ISLAND INUIT,BAFFIN ISLAND,Baffin Island,,
B387,Netsilik Inuit,NETSILIK INUIT,NETSILIK INUIT,NETSILIK INUIT,,Netsilik Eskimo,,
B388,Angmaksalik,ANGMAKASLIK,0,ANGMAKASLIK,ANGMAKSALIK,Angmaksalik,,
B389,Tareumiut Inuit,TAREUMIUT INUIT,TAREUMIUT INUIT,TAREUMIUT INUIT,TAREUMIUT (BARROW),Tareumiut,,
B390,Polar Inuit,POLAR INUIT,POLAR INUIT,POLAR INUIT,POLAR ESKIMO,Polar Eskimo,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
