soc_id,region,tdwg_code
Nd28,Southwestern U.S.A.,76
Nd40,Southwestern U.S.A.,76
Nc2,Southwestern U.S.A.,76
Nd47,Northwestern U.S.A.,73
Nd29,Southwestern U.S.A.,76
Nd58,Southwestern U.S.A.,76
Nd62,Northwestern U.S.A.,73
Nd22,Northwestern U.S.A.,73
Nd41,Southwestern U.S.A.,76
Nd26,Southwestern U.S.A.,76
Nd43,Southwestern U.S.A.,76
Nd64,Northwestern U.S.A.,73
Nd36,Southwestern U.S.A.,76
Nd44,Northwestern U.S.A.,73
Nh2,Southwestern U.S.A.,76
Nh11,South-Central U.S.A.,77
Nh10,South-Central U.S.A.,77
Nh9,South-Central U.S.A.,77
Nh6,Northwestern U.S.A.,73
Nh8,South-Central U.S.A.,77
Sa11,Central America,80
Sa3,Central America,80
Sa10,Mexico,79
Sa8,Central America,80
Sa13,Central America,80
Sa6,Mexico,79
Nj6,Mexico,79
Nj7,Mexico,79
Nj3,Mexico,79
Ni5,Mexico,79
Nj10,Mexico,79
Si3,Brazil,84
Sb1,Caribbean,81
Sa7,Central America,80
Sb2,Western South America,83
Sc11,Northern South America,82
Sb4,Northern South America,82
Si10,Brazil,84
Sc12,Northern South America,82
Sc13,Northern South America,82
Sc15,Brazil,84
Sc10,Northern South America,82
Sd7,Brazil,84
Sc7,Northern South America,82
Sc16,Northern South America,82
Sb7,Northern South America,82
Se4,Western South America,83
Se6,Western South America,83
Sa5,Central America,80
Sc3,Northern South America,82
Sf3,Western South America,83
Sf6,Western South America,83
Sa1,Central America,80
Sf5,Western South America,83
Sf4,Western South America,83
Sa9,Central America,80
Sj7,Brazil,84
Sd4,Northern South America,82
Sd5,Brazil,84
Sj11,Brazil,84
Se10,Western South America,83
Si1,Brazil,84
Sf1,Western South America,83
Sj3,Brazil,84
Sh3,Southern South America,85
Sh4,Brazil,84
Sh8,Southern South America,85
Sh5,Southern South America,85
Sh1,Southern South America,85
Sh9,Southern South America,85
Se8,Brazil,84
Se11,Western South America,83
Se9,Western South America,83
Sh6,Southern South America,85
Si5,Brazil,84
Sj10,Southern South America,85
Sh7,Western South America,83
Si8,Brazil,84
Sj2,Brazil,84
Sd1,Brazil,84
Se1,Western South America,83
Sd2,Brazil,84
Sj6,Brazil,84
Sj8,Brazil,84
Se5,Western South America,83
Sf7,Western South America,83
Sc9,Northern South America,82
Sb6,Western South America,83
Sj4,Brazil,84
Sd3,Brazil,84
Sb5,Northern South America,82
Si7,Brazil,84
Sc17,Western South America,83
Sb8,Caribbean,81
Sh2,Southern South America,85
Sc5,Brazil,84
Sg2,Southern South America,85
Sg3,Southern South America,85
Sg4,Southern South America,85
Sf2,Western South America,83
Sj9,Brazil,84
Ec7,Eastern Asia,38
Sg5,Southern South America,85
Eh1,Indo-China,41
Ce4,Southwestern Europe,12
Sj5,Brazil,84
Ee2,China,36
Sj1,Brazil,84
Nj1,Mexico,79
Sa4,Central America,80
Nc28,Southwestern U.S.A.,76
Nb21,Northwestern U.S.A.,73
Nb5,Subarctic America,70
Cb17,Northeast Tropical Africa,24
Ec1,Russian Far East,31
Sc4,Western South America,83
Si6,Western South America,83
Nb1,Western Canada,71
Se3,Western South America,83
Ne16,South-Central U.S.A.,77
Ec8,Siberia,30
Ne17,North-Central U.S.A.,74
Ed1,China,36
Nd7,Western Canada,71
Sa12,Central America,80
Si4,Brazil,84
Sc8,Northern South America,82
Sd8,Northern South America,82
Ni4,Mexico,79
Sd6,Northern South America,82
Cb3,West Tropical Africa,22
Ce8,Southwestern Europe,12
Nj8,Mexico,79
Id8,Australia,50
