soc_id,region,tdwg_code
Ca32,Northeast Tropical Africa,24
Aj8,Northeast Tropical Africa,24
Aj18,Northeast Tropical Africa,24
Aj19,East Tropical Africa,25
Aj11,Northeast Tropical Africa,24
Aa2,East Tropical Africa,25
Aj13,Northeast Tropical Africa,24
Aj26,East Tropical Africa,25
Aj21,East Tropical Africa,25
Ai36,Northeast Tropical Africa,24
Aj14,Northeast Tropical Africa,24
Cb21,West-Central Tropical Africa,23
Aj9,East Tropical Africa,25
Aj15,Northeast Tropical Africa,24
Aj22,East Tropical Africa,25
Aj4,East Tropical Africa,25
Aj12,Northeast Tropical Africa,24
Aj6,East Tropical Africa,25
Aj2,East Tropical Africa,25
Cb22,West Tropical Africa,22
Aj16,Northeast Tropical Africa,24
Aj7,East Tropical Africa,25
Aj3,Northeast Tropical Africa,24
Cb8,West Tropical Africa,22
Aj29,East Tropical Africa,25
Aj27,East Tropical Africa,25
Ai6,Northeast Tropical Africa,24
Aj20,Northeast Tropical Africa,24
Aj28,East Tropical Africa,25
Aj1,East Tropical Africa,25
Aj24,Northeast Tropical Africa,24
Aj5,East Tropical Africa,25
Ca33,Northeast Tropical Africa,24
Cd1,Northern Africa,20
Ai8,Northeast Tropical Africa,24
Cb11,Northeast Tropical Africa,24
Ai43,Northeast Tropical Africa,24
Cc14,Northeast Tropical Africa,24
Cb18,Northeast Tropical Africa,24
Cb19,West Tropical Africa,22
Cc2,Northeast Tropical Africa,24
Ai46,Northeast Tropical Africa,24
Ai47,Northeast Tropical Africa,24
Cc5,West Tropical Africa,22
Cc10,West Tropical Africa,22
Cc8,West Tropical Africa,22
Cc11,Northern Africa,20
Cd7,Northern Africa,20
Cc15,Northern Africa,20
Cd11,Macaronesia,21
Cc12,West Tropical Africa,22
Cd4,Northern Africa,20
Cc4,Northern Africa,20
Cd3,Northern Africa,20
Cd8,Northern Africa,20
Cd5,Northern Africa,20
Cc3,Northern Africa,20
Cd9,Northern Africa,20
Cc9,Northern Africa,20
Cc13,West Tropical Africa,22
Cd10,Northern Africa,20
Ca34,Northern Africa,20
Ca6,Northeast Tropical Africa,24
Ca35,Northeast Tropical Africa,24
Ca27,Northeast Tropical Africa,24
Ca18,Northeast Tropical Africa,24
Ca11,Northeast Tropical Africa,24
Ca40,Northeast Tropical Africa,24
Ca23,Northeast Tropical Africa,24
Ca19,Northeast Tropical Africa,24
Ca28,Northeast Tropical Africa,24
Ca36,Northeast Tropical Africa,24
Ca5,Northeast Tropical Africa,24
Ca37,Northeast Tropical Africa,24
Ca14,Northeast Tropical Africa,24
Ca15,Northeast Tropical Africa,24
Ca24,Northeast Tropical Africa,24
Ca41,Northeast Tropical Africa,24
Ca10,Northeast Tropical Africa,24
Ca20,Northeast Tropical Africa,24
Ca12,Northeast Tropical Africa,24
Ca9,East Tropical Africa,25
Ca21,Northeast Tropical Africa,24
Ca4,East Tropical Africa,25
Ca29,Northeast Tropical Africa,24
Ca39,Northeast Tropical Africa,24
Ca30,Northeast Tropical Africa,24
Ca1,Northeast Tropical Africa,24
Ca13,Northeast Tropical Africa,24
Ca22,Northeast Tropical Africa,24
Ca42,Northeast Tropical Africa,24
Ca25,Northeast Tropical Africa,24
Ca16,Northeast Tropical Africa,24
Ca2,Northeast Tropical Africa,24
Ca17,Northeast Tropical Africa,24
Ca26,Northeast Tropical Africa,24
Ah16,West Tropical Africa,22
Cb27,West Tropical Africa,22
Ah34,West Tropical Africa,22
Cb7,West Tropical Africa,22
Cb5,Northeast Tropical Africa,24
Ah35,West Tropical Africa,22
Cb28,West Tropical Africa,22
Ai17,West-Central Tropical Africa,23
Ah36,West Tropical Africa,22
Cb9,West Tropical Africa,22
Ah37,West Tropical Africa,22
Ah38,West-Central Tropical Africa,23
Cb10,West Tropical Africa,22
Ai18,West-Central Tropical Africa,23
Cb1,West Tropical Africa,22
Ah5,West Tropical Africa,22
Ah7,West-Central Tropical Africa,23
Ai19,West-Central Tropical Africa,23
Cb29,West Tropical Africa,22
Ah39,West-Central Tropical Africa,23
Cb25,West Tropical Africa,22
Cb6,West Tropical Africa,22
Ai20,West-Central Tropical Africa,23
Cb26,West Tropical Africa,22
Cd6,Northern Africa,20
Cd12,Northern Africa,20
Ca7,Northeast Tropical Africa,24
Cj4,Western Asia,34
Cc7,West Tropical Africa,22
Cc16,Northern Africa,20
Cc17,Northern Africa,20
Cj8,Western Asia,34
Cd2,Northern Africa,20
Ca31,Northeast Tropical Africa,24
Cb12,Northeast Tropical Africa,24
Ca8,Northeast Tropical Africa,24
Cb13,Northeast Tropical Africa,24
Cd13,Northern Africa,20
Cd14,Northern Africa,20
Cb4,Northeast Tropical Africa,24
Cj3,Western Asia,34
Cb14,Northeast Tropical Africa,24
Cd15,Northern Africa,20
Cj6,Western Asia,34
Cc6,Northeast Tropical Africa,24
Cc18,West Tropical Africa,22
Cj7,Western Asia,34
Cj10,Western Asia,34
Cb15,Northeast Tropical Africa,24
Cd16,Northern Africa,20
Cj5,Arabian Peninsula,35
Cd17,Northern Africa,20
Cc1,West Tropical Africa,22
Cj2,Western Asia,34
Cd18,Northern Africa,20
Cd19,Northern Africa,20
Cd20,Northern Africa,20
Cb16,Northeast Tropical Africa,24
Cj1,Western Asia,34
Ca38,Northeast Tropical Africa,24
Ca3,Northeast Tropical Africa,24
Cc19,West Tropical Africa,22
Cd21,Northern Africa,20
Cj9,Arabian Peninsula,35
Cc20,West Tropical Africa,22
Ee1,Indian Subcontinent,40
Ei11,Indian Subcontinent,40
Ej7,Indo-China,41
Ei13,Indian Subcontinent,40
Ei14,Indian Subcontinent,40
Ei3,Indo-China,41
Ei19,Indo-China,41
Ei1,Indian Subcontinent,40
Ei5,Indo-China,41
Ei7,Indo-China,41
Ei4,Indo-China,41
Ee3,China,36
Ei2,Indian Subcontinent,40
Ch4,Caucasus,33
Ee8,Indian Subcontinent,40
Ed8,China,36
Ei9,Indo-China,41
Ei6,Indian Subcontinent,40
Ei16,Indian Subcontinent,40
Ee6,China,36
Ei12,Indian Subcontinent,40
Ee4,China,36
Ci2,Caucasus,33
Ci5,Western Asia,34
Ea12,Western Asia,34
Eg1,Indian Subcontinent,40
Eg5,Indian Subcontinent,40
Eb3,Mongolia,37
Eg11,Indian Subcontinent,40
Eg3,Indian Subcontinent,40
Eg13,Indian Subcontinent,40
Ef6,Indian Subcontinent,40
Eg14,Indian Subcontinent,40
Eg2,Indian Subcontinent,40
Eg10,Indian Subcontinent,40
Eg4,Indian Subcontinent,40
Ej5,Indo-China,41
Ej15,Indo-China,41
Ej2,Indo-China,41
Ei8,Indian Subcontinent,40
Ej1,Indo-China,41
Ej12,Indo-China,41
Eh5,Indo-China,41
Ei18,Indo-China,41
Eg9,Indian Subcontinent,40
Eb7,China,36
Ef4,Indian Subcontinent,40
Ed10,China,36
Ef1,Indian Subcontinent,40
Ej3,Malesia,42
Ej14,Malesia,42
Ej4,Indo-China,41
Ej13,Indo-China,41
Ih5,Southwestern Pacific,60
Ic2,Malesia,42
Ic11,Malesia,42
Ia9,Eastern Asia,38
Eh9,Western Indian Ocean,29
Eh7,Western Indian Ocean,29
Ia1,Eastern Asia,38
Ig13,Papuasia,43
Ia13,Malesia,42
Ib3,Malesia,42
Ib4,Malesia,42
Ic3,Malesia,42
If12,Northwestern Pacific,62
Ia8,Malesia,42
Ih3,Southwestern Pacific,60
Ia10,Eastern Asia,38
Ie28,Papuasia,43
If15,Northwestern Pacific,62
Ej11,Indo-China,41
If8,Northwestern Pacific,62
Ig12,Papuasia,43
Ig14,Papuasia,43
Ig5,Papuasia,43
Ib5,Malesia,42
Ij9,South-Central Pacific,61
Ii4,Southwestern Pacific,60
Ii8,Southwestern Pacific,60
If7,Southwestern Pacific,60
Ia5,Malesia,42
Ij6,North-Central Pacific,63
Ib1,Malesia,42
Ia3,Malesia,42
If4,Northwestern Pacific,62
Ic7,Malesia,42
Ib2,Malesia,42
Ia16,Malesia,42
Ig20,Papuasia,43
Ii7,Northwestern Pacific,62
Ic8,Malesia,42
Ib8,Malesia,42
Ig3,Papuasia,43
If11,Northwestern Pacific,62
Ig7,Papuasia,43
If16,Northwestern Pacific,62
Ih4,Southwestern Pacific,60
Ig4,Papuasia,43
Ih7,Southwestern Pacific,60
Ic1,Malesia,42
If3,Northwestern Pacific,62
If14,Southwestern Pacific,60
Ej8,Malesia,42
Ie29,Papuasia,43
Ij1,South-Central Pacific,61
Ij7,South-Central Pacific,61
Ij4,Southwestern Pacific,60
Ia15,Malesia,42
Ig9,Papuasia,43
Ij2,New Zealand,51
Ij3,South-Central Pacific,61
If17,Northwestern Pacific,62
Ih14,Southwestern Pacific,60
Ib7,Malesia,42
Eh2,Western Indian Ocean,29
Ib6,Malesia,42
Ih1,Southwestern Pacific,60
Ie10,Papuasia,43
If13,Southwestern Pacific,60
Ej16,Indo-China,41
Ii9,Southwestern Pacific,60
Ii5,Papuasia,43
Ia6,Eastern Asia,38
If1,Northwestern Pacific,62
If5,Northwestern Pacific,62
Ii3,Southwestern Pacific,60
Ia11,Eastern Asia,38
Ij5,South-Central Pacific,61
Ii10,Papuasia,43
Ej10,Indo-China,41
Ic4,Malesia,42
Ih6,Southwestern Pacific,60
Ia2,Malesia,42
Eh8,Western Indian Ocean,29
Ii1,Southwestern Pacific,60
Ej6,Indo-China,41
Ih2,Southwestern Pacific,60
Ia4,Malesia,42
Ia12,Malesia,42
Ic9,Malesia,42
Ic12,Malesia,42
Ia7,Malesia,42
Ij8,South-Central Pacific,61
Eh3,Western Indian Ocean,29
Ig21,Papuasia,43
Ic6,Malesia,42
Ih10,Southwestern Pacific,60
Ii2,Southwestern Pacific,60
Ii6,Southwestern Pacific,60
Ii12,Southwestern Pacific,60
Ij10,Southwestern Pacific,60
Ic5,Malesia,42
Ig2,Papuasia,43
If2,Northwestern Pacific,62
Ig6,Papuasia,43
If9,Northwestern Pacific,62
Ii14,Southwestern Pacific,60
Ig10,Papuasia,43
